jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Desktop Engineer,Fazo Software,Chennai,0-1years,Not Specified,Desktop Support Engineer. |  Fresher. |  Immediate Joining. |  Salary 10000,HardwareEngineer|DesktopSupportEngineer|HardwareEngineerHardware|Freshers|Undergraduates|GraduateFresher|Graduates|DesktopEngineer|CustomerSupportEngineer|Networkengineer|Networking|Lan|Wan|Routers|NetworkAdministrator|Storage|
Desktop Support Engineer  for Freshers We have Openings,Career Mantra Management Services,Mumbai|Pune,0-1years,120000 - 240000 INR,"Required Desktop Engineer with basic networking Knowledge, communication,reporting skills Strong sense of discretion and confidentiality required. Software installation,configuration, and troubleshooting for end users. Strong attention to details .",DesktopEngineering|Networking|DesktopSupport|
Desktop Support Engineer - Fresher,Fazo Software,Chennai|Salem,Fresher,Not Specified,Desktop Support Engineer. |   Fresher wanted. |   Salary 10000. |   Location : Chennai. |   Immediate joining. |,HardwareEngineer|DesktopSupportEngineer|DesktopSupportEngineer|DesktopEngineer|Networkengineer|Networking|TechnicalSupportEngineer|ItServiceDesk|ItHelpDesk|LaptopSupport|TechnicalSupport|TechSupport|ItHelpdesk|DesktopSupport|System|
Desktop Support Engineer,Excel It Services Private Limited,Pune,1-3years,120000 - 220000 INR,Urgently Looking For Desktop Support Engineer,DesktopSupportEngineer|SystemAdministrator|SystemEngineer|
Network Engineer  Network Administrator System Administrator Desktop Support Engineer,Excel It Services Private Limited,Bengaluru/Bangalore|Pune,0-5years,350000 - 650000 INR,Network Engineer  |           Network Administrator |           System Administrator |           Desktop Support Engineer,DesktopSupportEngineer|NetworkEngineer|NetworkAdministrator|SystemAdministrator|ItServiceDesk|LaptopSupport|ItHelpDesk|
Network Engineer  Network Administrator System Administrator Desktop Support Engineer,Team Computers Private Limited,Delhi|Mumbai,0-5years,350000 - 650000 INR,Network Engineer  |           Network Administrator |           System Administrator |           Desktop Support Engineer,DesktopSupportEngineer|NetworkEngineer|NetworkAdministrator|SystemAdministrator|Networking|
Desktop Support Engineer,Roundworld Immigration Private Limited,Ahmedabad|Mehsana,1-3years,120000 - 200000 INR,Urgently Looking For Desktop Support Engineer,DesktopSupportEngineer|SystemAdministrator|SystemEngineer|
Desktop Support Engineer,Team Computers Private Limited,Delhi|Noida,1-6years,Not Specified,Desktop Support Engineer L1 & L2 Level @ Noida Sec-16 (Film City),DesktopSupportEngineer|DesktopSupportEngineers|ActiveDirectory|HardwareNe|TechnicalSupportEngineer|DhcpServer|Dns|Tcp/ip|
Technical Support Engineer Desktop Support,Subrata Mondal (Proprietor Of Cafe Industry),Delhi,1-4years,150000 - 200000 INR,"The Support Analyst is responsible for providing support to server infrastructure, LAN WAN networks and VMWare by answering questions or resolving problems in person, via telephone or from a remote location.",Fmsengineer|DesktopSupportEngineer|Hardwareengineer|Hardwarenetworkingmale|DesktopEngineer|Desktopsupport|CustomerSupportEngineer|NetworkEngineer|ITSupport|
Desktop Support Engineer,Aaryan Technology,Jaipur,1-3years,100000 - 200000 INR,"Role: Desktop Support Engineer |  Location: Jaipur |  Experience: Min 1 Year |  Salary: 13,000 in hand + PF + ESI + Gratuity |   |  Skills Required: |  Hands on experience in outlook configuration, hardware troubleshooting. |  Knowledge on incident management.",DesktopSupportEngineer|HardwareEngineer|DesktopEngineer|CustomerSupportEngineer|TechnicalSupportEngineer|
