jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Desktop Support Engineer  for Freshers We have Openings,Career Mantra Management Services,Mumbai|Pune,0-1years,120000 - 240000 INR,"Required Desktop Engineer with basic networking Knowledge, communication,reporting skills Strong sense of discretion and confidentiality required. Software installation,configuration, and troubleshooting for end users. Strong attention to details .",DesktopEngineering|Networking|DesktopSupport|
Hiring for Networking Voice SUPPORT- GRAD Freshers - 16K to 22K - Call 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Hiring for Technical SUPPORT- GRAD Freshers - 16K - Call 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Hiring for Networking Voice SUPPORT- GRAD Freshers - 16K to 22K - Call 9960920092,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
Helpdesk Engineer - L2,Continuum Managed Solutions LLP,Mumbai|Pune,3-10years,Not Specified,"The Helpdesk Engineer needs to have excellent communication skills and will be required to troubleshoot Microsoft Office Products, resolve Windows 10 desktop issues, windows update and driver issues.",RingCentral|WindowsTroubleshooting|Dns|Ping|DesktopSupport|
Desktop Support Engineer  for Freshers We have Openings,Career Mantra Management Services,Pune|Nagpur,0-1years,170000 - 240000 INR,"Required Desktop Engineer with basic networking Knowledge, communication,reporting skills Strong sense of discretion and confidentiality required. Software installation,configuration, and troubleshooting for end users. Strong attention to details .",DesktopEngineering|Networking|DesktopSupport|
Hardware Engineer (Freshers) Job In Kolkata,Alpha Tech Solutions,Kolkata,0-2years,150000 - 250000 INR,Hardware Engineer,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|
Hardware Engineer (Freshers) Job In Bangalore,Alpha Tech Solutions,Bengaluru/Bangalore,0-2years,150000 - 250000 INR,Hardware Engineer,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|
Hardware Engineer (Freshers) Job In Delhi,Alpha Tech Solutions,Delhi,0-2years,150000 - 250000 INR,Hardware Engineer,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|
Desktop Support Engineers,Esther Jeevitha (Proprietor of Morgan Techno India),Hyderabad/Secunderabad,1-6years,250000 - 450000 INR,Requirement for the post of Desktop Support Engineer.,DesktopSupportEngineers|DesktopSupportEngineer|ServiCeDesk|HardwareEngineer|DesktopSupport|DesktopEngineer|LaptopSupport|Technicalsupport|SystemAdmin|CustomerSupportEngineer|ItHelpdesk|
IT Support Engineer - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,3-8years,Not Specified,"The IT Support team maintains the computer networks of all types of organisations, providing technical support and ensuring the whole company runs smoothly. IT Support monitors and maintains the company computer systems, installs.",ITSupportEngineer|Helpdesk|TechnicalSupport|DesktopSupport|TechnicalSupportEngineer|
IT Support Engineer - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,9-14years,Not Specified,"The IT Support team maintains the computer networks of all types of organisations, providing technical support and ensuring the whole company runs smoothly. IT Support monitors and maintains the company computer systems, installs.",ITSupportEngineer|Helpdesk|TechnicalSupport|DesktopSupport|TechnicalSupportEngineer|
ITO- B2B VOICE SUPPORT- WORK FROM OFFICE @ PUNE | 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
BPO-Technical support voice process @ Kharadi - Magarpatta | 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
