jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Mobile Application Development,Simple Logic IT Private Limited,Mumbai,2-7years,Not Specified,Greetings from Simple Logic IT Pvt Ltd! |   |  We are looking to onboard a passionate coder who loves to develop new features in mobile applications. The person must be customer centric and must have worked on either android/flutter or IOS applications.,AndroidNativeDevelopment|Mobileapps.|AndroidDevelopment|Flutter|IosDevelopment|ReactNative|MobileApplication|
Java Developer,Simple Logic IT Private Limited,Mumbai,3-8years,Not Specified,Greetings from Simple Logic IT Pvt Ltd!! |   |  We are actively hiring for roles in our java team in mumbai. Currently there will be a work from home setup until the lockdown exists. |   |  We are looking to interact with passionate coders and problem solvers.,SOAPWebServices|CoreJava|AdvanceJava|Spring|Hibernate|Servlets|Jsp|j2ee|Junit|Jboss|Tomcat|Restful|
FullStack Developer (C#/Angular6+) with Product MNC (Mumbai) Immediate Joiners,Mulya Consulting,Mumbai|Thane,5-15years,Not Specified,FullStack Developer (C#/MVC/WebAPI/Entity Framework/Angular6+) with Product MNC (Mumbai)  Short Joiners,C#|Mvc|EntityFramework|WebApi|Wcf|Angular|
Android Developer  iOS developer  Mobile Application Developer,CosyTech,Bengaluru/Bangalore|Mumbai,2-4years,Not Specified,We are hiring for iOS / Android - Mobile Application Developer- Remote  |  Hands on experience in the full life cycle of Android application development |  Experience with iOS frameworks,androiddeveloper|iosdeveloper|Iphone|MobileDeveloper|
React Native Developer,Hiteshi Infotech Private Limited,Indore,2-5years,Not Specified,We are looking for a React Native developer interested in building performant cross platform mobile apps on both the iOS and Android platforms.,"""reactnative""""Reactnative""react|"
Front End Developer,C P Careers Private Limited,Chennai|Noida,4-8years,800000 - 1600000 INR,Job description |  Roles and Responsibilities |  Job Description: |  We are looking for a Front-End Engineer who is responsible for the complex |  development Applications. |  Must have excellent communication and technical skills and solid experience,AngularJasmine|Angular2+|Html5|Css3|Oojs|Jquery|FrontEnd|Javascript|Html5|Workflow|JQuery|Angular5|Karma|Angular2|Sql|
Mindship Software Engineer in Test,Orbitouch Outsourcing Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-8years,670000 - 1270000 INR,Mindship Software Engineer  |    |   URGENT HIRING...,Analyst|Developer|Devlopment|SoftwareDeveloper|Softwareprogrammer|Programmer|Program|SoftwareEngineer|
.Net Developer,Simple Logic IT Private Limited,Gurgaon/Gurugram,3-12years,10000 - 700000 INR,Skills Required |    |   Must have:- |    |   ASP.NET (web forms) |   Microsoft Sql Server |   Web API,ASP.netDeveloper|WebDevelopers|Asp.Net|.NET|DotNet|SQLServer|C#|WebApi|MSSql|
SQL Developer,C P Careers Private Limited,Mumbai,2-4years,Not Specified,Looking for a SQL developer who will be responsible for converting business requirements into SQL Logic. |  -Work directly with the Business user to understand data requirements. |  -Help write and optimize SQL statements to solve business requirements.,SQLDeveloper|Tsql|Etl|UNIX|UnixShell|
Sr. Java developers,Precision It Solutions Private Limited,Chennai|Noida,6-10years,800000 - 1600000 INR,Sr. Java developers |   |  Skills: |  Core Java |  Spring |  Hibernate |  OOPS |  Collection |  Multithreading |  Database |   |  Exp: 6-10 Yrs |  Salary Range: maximum 16 Lac,Collection|Core|Java|Spring|Hibernate|Oops|Multithreading|Database|
