jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Business Development Associate,Simple Logic IT Private Limited,Delhi|Gurgaon/Gurugram,1-4years,800000 - 1000000 INR,Urgent Hiring for Business Development Associates,BusinessDevelopmentAssociate|Mba|BusinessDevelopment|Sales|ClientServicing|LeadGeneration|
Mobile Application Development,Vishal Sushil Bhuta (Proprietor of Beat The Virus Startup),Mumbai,2-7years,Not Specified,Greetings from Simple Logic IT Pvt Ltd! |   |  We are looking to onboard a passionate coder who loves to develop new features in mobile applications. The person must be customer centric and must have worked on either android/flutter or IOS applications.,AndroidNativeDevelopment|Mobileapps.|AndroidDevelopment|Flutter|IosDevelopment|ReactNative|MobileApplication|
App Development,2COMS Consulting Private Limited,Bengaluru/Bangalore|Chennai,Fresher,Not Specified,|                                  |,
Business Development,KPDI Industries Limited,Pune,1-2years,Not Specified,"This is a remote position.In pursuit of the expansion plan of our manpower solutions business, we are looking forward to hiring Business Development professionals for our B2B setup core NAPS Project Team.Work Locations - Pune, Mumbai, Delhi, and",BusinessDevelopment|
Business Development,Innointel LLC,MumbaiCity|NaviMumbai|Thane,8-10years,Not Specified,We are looking for an ambitious and energetic Business Development Manager to help us expand our clientele. You will be the front of the company and will have the dedication to create and apply an effective sales strategy. |,BusinessDevelopmentManager|
IoT Development Engineer,SR Group,Hyderabad/Secunderabad,3-5years,1300000 - 1800000 INR,"As a IoT Development Engineer |    •	Work jointly with the Chief software architect on operating of existing eSIM platform.  |    •	Coordinate the development work via cross functional team engagement including IS, Operations and R&D.  |",C/C++|PHPwithOOP|Codestructure|IoTapplicationdevelopment|Javascript|Nodejs|RESTful|SoapApi|Devops|Mvc|Mysql|ActiveMQ|Rabbitmq|Nosql|AWS|
Vendor Development,Provance Business Consulting Private Limited,Ludhiana,3-5years,240000 - 300000 INR,"Urgent requirement for Vender Development Executive having experience in Sheet Metal, Fabrication, Costing, Salary Up to 25 K only for Male Candidate Location will Ludhiana. Candidate should be Active. Company dealing with fabrication.",VendorDevelopment|Purchase|Procurement|PurchaseVendorDevelopment|VendorManagement|
Business Development Associate,Millennium Ims Private Limited,Delhi|Kanpur,1-3years,Not Specified,Business Development Associate. |  Experience-1 to 3 |  Location-All over the India,B2C|Sales|Businessdevelopment|SalesMarketing|DirectSales|
QA Development,Andor Tech India Private Limited,Bengaluru/Bangalore|OtherIndia,5-8years,Not Specified,Requirement for QA Development Roles - 6 Positions |  5+ years of Experience |  Location- Remote or Bangalore |   |,Maven|Jenkins|Selenium|Testng|Java|ApiTesting|Zephyr|Sql|
"Apigee Development,-Bangalore-Immediate joinee",Nexplace Info Private Limited,Bengaluru/Bangalore,4-7years,Not Specified,"Good understanding of REST API and JSON |   •	Knowledge of existing API Testing Tools (Postman, SoapUI, or any equivalent tools) |   •	Understanding of Apigee is plus. |   •	Java experience is plus |   •	Good understanding of monetization and ecommerce module and pa",Apigee|Drupal|
Software Development Engineer - Android Development 7-10yrs exp,MIT Jobs,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-10years,1050000 - 1650000 INR,We are hiring for a geeky Programmer As a developer,Hardwarenetworkingithardwarewebdeveloper|scratch|Developer|ContinuousDeliveryProgramming|SoftwareDeveloper|SoftwareEngineer|Softwareprogrammer|Programmer|Coding|ContinuousIntegration|Kotlin|
Senior Business Development Manager / Business Development Manager,MP Dominic & Co,Bengaluru/Bangalore,10-16years,Not Specified,Looking for Senior Business Development Manager,BusinessAnalyst|BusinessDevelopmentManager|Bdm|
Senior .Net Development Engineer,Freelancer Divekar Kaniza Ishaq,Bengaluru/Bangalore|Chennai,6-10years,Not Specified,"C#, ADO.NET, ASP.NET, ASP.NET MVC, Test Driven Development, .NET CORE",.NETCORE|C#|Ado.net|ASP.NET|Asp.netMvc|TestDrivenDevelopment|
Business Development - IT Sales,Esn Technologies India Private Limited,Cochin/Kochi/Ernakulam,2-7years,Not Specified,Excellent experience in IT Sales,"""ITSales""|""BusinessDevelopmentITSales""|""InternationalITSales""|B2b|B2C|"
Software Development Engineer - Android Development,White Horse Manpower Consultancy Private Limited,Chennai|Mumbai,0-5years,380000 - 650000 INR,We are hiring for a geeky Programmer As a developer,Hardwarenetworkingithardwarewebdeveloper|scratch|Developer|ContinuousDeliveryProgramming|SoftwareDeveloper|SoftwareEngineer|Softwareprogrammer|Programmer|Coding|ContinuousIntegration|Kotlin|
Sales Executive /Business development,JDC Recruitment Services,Bengaluru/Bangalore,1-6years,200000 - 509999 INR,Urgent opening for Sales Executive/Business Development,FieldSales|DirectSales|RealEstate|
Sales / Business development Executive,Parul University,Hyderabad/Secunderabad,2-7years,Not Specified,Responsible for handling the entire sales cycle from lead generation through to close. The position plays an integral role in accelerating the growth and executing sales plans.,SalesleadgenerationCRMcampaignspresentationsproposals|
Business Development Manager,Techknomatic Services Private Limited,Bengaluru/Bangalore,2-8years,Not Specified,Business Development Manager,BusinessDevelopmentManager|BusinessDevelopment|Branding&Awareness|MarketIntelligence|ClientServicing|
Busniness Development Executive,Miracle Software Systems India Private Limited,Bengaluru/Bangalore,1-3years,220000 - 350000 INR,Hiring for Business Development Executive,ColdCalling|LeadGeneration|InsideSales|BusinessDevelopment|OutboundCalling|EngineeringSales|TeleSales|
