jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Wintel Admin,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,5-10years,Not Specified,Experience - 5+ years |  Must have hands on experience in SCOM Monitoring tool. |  Notice Period - Immediate to 30 days. |,Scom|Vmware|Dns|DHCP|Antivirus|
Windows System Admin,Sun Technology Integrators Private Limited,Bengaluru/Bangalore,7-12years,350000 - 850000 INR,"They should have worked on windows, Active directory, DNS, DHCP, Group policies, Outlook, Firewall, VPN, Share folders, Backups, recovery and storage. |  Switching, routing and Voip phones(Added advantage) |   |  Need to support for both Server & desktop.",Administrator|ActiveDirectory|Dns|DHCP|
Network Engineer,Millennium Ims Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"DNS JD (Sr admin/ASME) |  • Network/ System Engineer with experience in DNS / DHCP management of a large environment. |  Location- Bangalore, Ecospace Bellandur |  Required Skill- DNS, DHCP,DDI and Infoblox |  Preference- Immediate Joiners -15days only",Dns|DHCP|LoadBalancers|Linux|Infoblox|
C++ Python Developer,Best infosystems Ltd,Bengaluru/Bangalore,4-7years,Not Specified,Looking for C++ Python Developer,Networking|Python|C++|LLDP|DHCP|Java|Python|
Active Directory & VMWare Administrator,Continuum Managed Solutions LLP,Mumbai|Pune,3-8years,600000 - 1000000 INR,"Skills Required in Active Directory (L2 level) –AD Replication, FRS, DFSR, AD Troubleshooting, File Server, Network, DNS, DHCP, GPO |     |    Skills Required in VMWare – L1  |     |    Pls Note - Knowledge of AD Replication, FRS, DFSR & AD troubleshooting is mandatory",ADReplication|ADtroubleshooting|DFSR|Dns|DHCP|GroupPolicy|Gpo|Frs|
L3 Network Security Protocols Developer using C programming,Neugene International Inc,Bengaluru/Bangalore,6-15years,Not Specified,6-15 years experience in Network L3 Security Protocols Development using C programming,Acls|Dot1x|MacAuth|MacSec|WebAuth|DhcpSnoop|IPSG|L3Routing|Arp|Vlans|Linux|CProgramming|
Technical Support Representative  (Sam-9999300435),Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-6years,300000 - 560000 INR,Technical Support Representative  (Sam-9999300435) |   |  Min 1yr+ technical support voice experience is required. |  Skype interviews |   |  Call@ Sam - 9999300435,Activedirectory|TechnicalSupportRepresentative|Technicalsupportvoice|Fsmo|ExchangeServer|Dns|DHCP|TechnicalProcess|
Openings for technical Support Voice Process / Enterprise Support,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,2-9years,300000 - 560000 INR,Openings for technical Support Voice Process / Enterprise Support |   |  Skype Interviews |  CTC- 5lpa + incentives |   |  Sam-9999300435,technicalnalayst|CustomerSupport|Activedirectory|MsOutlook|TSE|TSR|Technicalsupport|TechnicalHelpdesk|Dns|DHCP|Fsmo|ExchangeServer|O365|Ipv4|Ipv6|
Windows Exchange Server Technician Or Storage Tech Spotoffer,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,2-7years,Not Specified,Windows Exchange Server Technician,Hyper-V|TechnicianActivities|AnalyticalSkills|Dns|DHCP|FileServer|ExchangeServer|Antivirus|Vmware|Windows10|Storage|
Networking Active Directory FSMO DNS DHCP Tcp/ip Call Fathima,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,3-8years,500000 - 1000000 INR,Troubleshooting Network issues and Active Directory through calls and remote support |   Networking |   Active directory |   FSMO |   DNS |   DHCP |   TCP/IP,Activedirectory|Troubleshooting|TechnicalSupport|Dns|Fsmo|DHCP|Tcp/ip|NetworkIssues|RemoteSupport|
Technical Support Engineer - Voice Process,Weone Business Solutions Private Limited,Chennai,0-4years,Not Specified,"Roles and Responsibilities : Handling calls & resolving enterprise level customer tickets, forensic work based on virus related issues, handling escalation calls, resolving tickets based on SLA, following internal process & keeping self-updated",Printer|Activedirectory|Networking|Os|Windows|Desktop|Laptop|Dns|DHCP|
