jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Mechanical Engineer,Rao Electro Mechanical Relays Private limited,Delhi,0-5years,Not Specified,Someone who has a experience of 0-8+ years. Should possess a good and proper knowledge of Production. Quality Engineers would not be entertained.,MechanicalEngineer|ManufacturingEngineer|ProductionEngineer|
Fresher Diploma Mechanical,Q Visas Immigration,Pune|Dehradun,0-1years,Not Specified,"Dear Candidate, |   We have urgent opening for production ,quality maintenance trainee engineer fresher.  |   B-tech/mechanical/automobile/E&TC/electrical engineer  |   Office address: |   S & D Manpower Placement service |   shop no. 164,1st floor |   contact 8002551517 |",MechanicalEngineer|ElectricalEngineer|Electrical|DiplomaMechanical|Mechanicaldesignengineer|MaintenanceEngineer|
Fresher Diploma Mechanical,Career Mantra Management Services,Pune,Fresher,Not Specified,"Dear Candidate, |  We have urgent opening for production ,quality maintenance trainee engineer fresher. Diploma /mechanical/automobile/E&TC/electrical engineer |  interview date Monday to Saturday 9:00 AM to 2:00 PM |  Contact mr. shashi sir  7066472312",MechanicalEngineer|ElectricalEngineer|Electrical|DiplomaMechanical|MaintenanceEngineer|
Diploma In Mechanical FRESHER,Freelancer Ganesh Popat Sontakke,Pune|Varanasi,Fresher,Not Specified,"Dear Candidate |     We have urgent opening for production ,quality maintenance trainee engineer fresher.  |     B-tech/mechanical/automobile/E&TC/electrical engineer  |     ALL DIPLOMA CANDIDATE |     MONDAY TO SATURDAY INTERVIEW 9:00AM TO 2:00 PM |     8002551517",MechanicalEngineer|ElectricalEngineer|Electrical|DiplomaMechanical|MaintenanceEngineer|
Diploma or BE mechanical,Freelancer Ganesh Popat Sontakke,Pune|Dehradun,0-5years,Not Specified,Position :- Quality System Engineer ( MR ) Female* |  Education:- Diploma or BE mechanical.  |  Experience:- 5 to 8 years in Quality management system coordinator ( MR ) in manufacturing company. Knowledge of IATF/ EMS / OHSAS / ISO audit handling must.,MechanicalEngineer|ElectricalEngineer|Electrical|DiplomaMechanical|Mechanicaldesignengineer|MaintenanceEngineer|
"Mechanical engineer, Diploma Mechanical Engineer, Service/Maintenance Engineer",Alpha Tech Solutions,Chennai|Pune,0-4years,350000 - 650000 INR,"We are having 24X7 rotational shift 1st, 2nd & 3rd. The job description of the candidate is to operate the CNC & VMC Machine for that we will definitely provide them training which is required for that particular job.",Cnc|Vmc|MechanicalEngineering|PreventiveMaintenance|ReportPreparation|FollowUps|
Mechanical Engineer,Freelancer Ganesh Popat Sontakke,Australia|Canada,2-7years,3010000 - 5310000 INR,"Plan and manage projects, and prepare material, cost, and timing estimates, reports and design specifications for machinery and systems |  Design power plants, machines, components, tools, fixtures, and equipment",MechanicalEngineer|AutomobileEngineer|DesignEngineer|ManufacturingEngineering|InjectionMolding|CncOperator|MaintenanceSupervisor|Mining|ThermalPowerPlant|AutoCad|MaintenanceEngineer|ServiceEngineer|
FRESHER DIPLOMA MECHANICAL CANDIDATE ARGENT REQUIREMENT,Career Mantra Management Services,Pune,Fresher,Not Specified,"DEAR CANDIDATE WE HAVE ARGENT HIRING FOR FRESHER DIPLOMA MECHANICAL CANDIDATE ARGENT REQUIREMENT  |  FOR PRODUCTION, QUALITY, DESIGN, MAINTENANCE  |  JOB LOCATION PUNE CHAKAN  |  INTERVIEW TIMING 9:00AM TO 2:00PM  |  ORIGINAL DOCUMENT REQUIRE  |  CON. 8002551517",MechanicalEngineer|ElectricalEngineer|Electrical|DiplomaMechanical|Mechanicaldesignengineer|MaintenanceEngineer|
FRESHER DIPLOMA MECHANICAL CANDIDATE ARGENT REQUIREMENT,Jailaxmi Enterprises,Pune,Fresher,Not Specified,"DEAR CANDIDATE WE HAVE ARGENT HIRING FOR FRESHER DIPLOMA MECHANICAL CANDIDATE ARGENT REQUIREMENT  |   FOR PRODUCTION, QUALITY, DESIGN, MAINTENANCE  |   JOB LOCATION PUNE CHAKAN  |   INTERVIEW TIMING 9:00AM TO 2:00PM  |   ORIGINAL DOCUMENT REQUIRE  |   CON. 800255151 |",MechanicalEngineer|ElectricalEngineer|Electrical|DiplomaMechanical|Mechanicaldesignengineer|MaintenanceEngineer|
WE HAVE ARGENT REQUIREMENT FOR DIPLOMA MECHANICAL ENGINEER,Hopes Technology,Pune,Fresher,260000 - 310000 INR,"Dear Candidate, |   We have urgent opening for production ,quality maintenance trainee engineer fresher.  |   B-tech/mechanical/automobile/E&TC/electrical engineer. |   Interested candidate visit to my office and send the resume. |   CON. ER. SANTOSH 8002551517",MechanicalEngineer|AutomobileEngineer|ElectricalEngineer|Electrical|DiplomaMechanical|Mechanicaldesignengineer|MaintenanceEngineer|
