jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Project Manager  Visa/ Master Card domain,Sysmedac Technologies India Private Limited,Bengaluru/Bangalore|Chennai,6-11years,1000000 - 1500000 INR,We have an Immediate position for Project Manager 8-15 yrs experience--Cards & Payments ( This role requires candidatures who has good understanding of how Visa/ Master Cards work/ issuing& acquiring side,Pmp|PMI|CardDomain|CreditCardDomain|ProjectManager|ProgramManager|CardDomain|Prince2|
Data Scientist (Credit risk domain) - Expert in Python at Mumbai,HeadHunters HR Private Limited,Mumbai,3-8years,Not Specified,"DUCATION - in a numerate field |  2. EXPERIENCE  - 3-5 years as data scientist in Credit analytics in consumer lending |  3. PROGRAMMING - Python (Expert)-(Python libraries like NumPy, Pandas, SciPy, SciKitLearn, Keras, TensorFlow, MatPlotLib),",CreditRisk|StatisticalModeling|Python|PredictiveModeling|
Business Analyst -Travel / airlines Domain,Best infosystems Ltd,Gurgaon/Gurugram|Pune,2-8years,Not Specified,Looking for Business Analyst -Travel / airlines Domain,PredictiveAnalyticsandModeling|SQLServer|Oracle|PowerBi|PredictiveAnalytics|
2021 NEW EMPLOYMENT || PRIVATE BANK || BACK OFFICE EXECUTIVE,Career Development Management,Kolkata,0-1years,180000 - 270000 INR,"JOB LOCATION/POSITION :- |  Kolkata / Hooghly /Howrah / Alipurduar, Bankura /Birbhum /Cooch Behar / Dakshin Dinajpur,/(South Dinajpur / Darjeeling , Jalpaiguri / Jhargram / Kalimpong / Malda, Murshidabad/ Nadia / North 24 Parganas , Paschim Medinipur /",BankingDomain|
Back Office Coordinator || Document Verification Executive || IN HOUSE Branch Banking,Career Development Management,Burdwan|Bankura,0-1years,Not Specified,Back Office Executive |  Office Assistant |  Customer Service Officer Or Others,BankingDomain|
PEGA SSA Developer (CRM Marketing Domain),Virtusa Software Services Private Limited,Hyderabad/Secunderabad,4-8years,Not Specified,•Experience in design and development of Business Process Management (BPM) and Business Rules Engines (BRE) applications using Pega Systems Pega Rules Process Commander (PRPC 7.1 and above); atLeast 3 yrs development experience with Pega PRPC. |,PegaPrpc|
KYC Verification Executive Docomant Collection Private Bank Back Office (Branch Bank),Career Development Management,Siliguri|Jalpaiguri,0-1years,110000 - 220000 INR,Good Working Capability. |   NRI Customer Handling. |   Confidence & Willing Capability. |   Back Office Executive |   Office Assistant |   Customer Service Officer Or Others |   Good Communication skill |   Basic Computer Knowledge |   Good Bihavior,BankingDomain|
immediate job opening for banking sector,Diraa HR Services,Coimbatore|Tiruppur,0-5years,220000 - 1090000 INR,"Job Roles : Responsible to manage Banking and Treasury operations, prepare credit proposal, liasoning with bank authorities, etc. |   Should have good working knowledge in corporate banking sector..",BankingOperations|BankingDomain|
CPE Wi-Fi Test Engineer – Networking Domain,Osworld Technology,Bengaluru/Bangalore,4-12years,Not Specified,-	Manual and test automation of Wi-Fi element (802.11 a/b/g/n/ac). Strong knowledge on WiFi area. |   -	Test automation using Python/Selniumm/Robotframework  scripting |   -	CLi tools on linux like Iperf/ping and working knowledge on Linux is must. |,testautomationofWi-Fielement(802.11a/b/g/n/ac)|Python/Selniumm/Robotframeworkscripting|EmbeddedLinuxandHomegatewaystandrads.|Linux|Wireshark|Jira|
Bank Relationship Officer,Osworld Technology,Bhubaneswar,0-3years,Not Specified,Looking for Bank Relationship Officer,BankingOperations|Freshers|BusinessRelationships|BankingDomain|
