jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,AIS Technolabs Private Limited,Delhi|Gurgaon/Gurugram,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
Web Designer,Akken Technologies Private Limited,Ahmedabad,3-6years,100000 - 350000 INR,"Proven web designing experience |  Experience in JQUERY , Javascipt |  experience in creating wireframes, storyboards, user flows, process flows and site maps |  Proficiency in Photoshop, Illustrator, or other visual design and wire-framing tools |  Proficiency",WebDesigner|HTML|Javascript|Dreamweaver|jQuery|
Sr. UI Developer,Adal Immigrations LLP,Hyderabad/Secunderabad,5-10years,Not Specified,We are looking for creative and enthusiastic Sr. UI Developer to join our product development team. He / She should be able to take ownership of all aspects of user interface development to meet business requirements across platforms.,UIDeveloper|WebDeveloper|Photoshop|CSS|Javascript|HTML|AJAX|Dreamweaver|
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,Esther Jeevitha (Proprietor of Morgan Techno India),Delhi|Gurgaon/Gurugram,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
Creative Graphic Designer/Hiring for Abroad,Cloud Visa Immigration LLP,Australia|Canada,2-7years,2000000 - 5000000 INR,"Working as part of a team with printers, copywriters, photographers, stylists, illustrators, other designers, account executives, web developers and marketing specialists.",CreativeDesigner|Illustrator|newsletter|Freehand|Photoshop|Dreamweaver|InteractionDesign|Flash|
Web Designer,Cloud Visa Immigration LLP,Hyderabad/Secunderabad,1-6years,250000 - 450000 INR,Requirement for the post of Web Designer.,Photoshop|WebDesigner|CSS|Javascript|Flash|Dreamweaver|Xml|HTML|
Graphic Designer in Canada and Australia,Scope Telecom Private Limited,Australia|Canada,3-8years,4500000 - 5500000 INR,"|  Graphic designers use computers or hand tools to create posters, websites, logos, brochures, magazines and many other materials to communicate ideas and information visually.  |",GraphicDesigner|CSS|WebDesigner|Js|Javascript|Flash|Dreamweaver|HTML|Xml|
Hiring For Creative Graphic Designer in Canada and Australia,Startech Placement Services,Australia|Canada,3-8years,4500000 - 5500000 INR,"call & what's app to Pooja-9311529770 |   |  Graphic designers use computers or hand tools to create posters, websites, logos, brochures, magazines and many other materials to communicate ideas and information visually.  |",GraphicDesigner|CSS|WebDesigner|Js|Javascript|Flash|Dreamweaver|HTML|Xml|
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,Cloud Visa Immigration LLP,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,Hewlett Packard Enterprise,Chennai|Coimbatore,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
Web Designing and Development,Way2web World,Ambala|Panchkula,0-1years,Not Specified,"Write well designed, testable, efficient code by using best software development practices |  Create website layout/user interface by using standard HTML/CSS practices |  Integrate data from various back-end services and databases |  Gather",Photoshop|Photoshop|HTML|Dreamweaver|CSS|WebDesigner|Js|Javascript|Flash|Xml|
Design Engineer,Startech Placement Services,Pune,2-3years,250000 - 350000 INR,Design Engineer,DesignEngineer|WebDesigner|Javascript|Dreamweaver|CSS|Flash|HTML|
Creative Graphic Designer Required In Canada,Esther Jeevitha (Proprietor of Morgan Techno India),Canada|NewZealand,2-7years,5000000 - 6000000 INR,"A Creative Designer works in areas of marketing and advertising to create various materials, such as product labels or brochures, that provide information about a company's offerings.",Creative&Design|Designer|Photoshop|GraphicDesigner|Javascript|Dreamweaver|
Learning and Development Manager - NPI,Star Tech,Bengaluru/Bangalore,5-10years,Not Specified,"Leads multiple projects and programs with global and cross-organizational program teams on needs assessment, intervention selection,design, development,implementation,delivery reporting,and continuous innovation and improvement of learning solutions.",TrainingDevelopment|InstructionalDesign|Brainshark|NPI.NSI|PSM|Dreamweaver|AdobeCaptivate|Html5|Javascript|
Web Designer,Sparity Soft Technologies Private Limited,Delhi,1-4years,240000 - 360000 INR,"Required a Web Designer with good Experience having Good Knowledge of HTML5, CSS, Bootstrap and JavaScript.",Photoshop|WebDesigner|CSS|Javascript|Flash|Dreamweaver|Xml|HTML|
Design Engineer,Riju Karan (Proprietor Of Toyota Climax India),Pune,1-3years,Not Specified,Design Engineer,DesignEngineer|CSS|WebDesigner|Javascript|Dreamweaver|HTML|
Web Designer,Sumedha Management Consultancy,Delhi,0-3years,210000 - 390000 INR,Urgent Hiring For Web Designer  |   Freshers Can Also Apply,Photoshop|WebDesigner|CSS|Javascript|Flash|Dreamweaver|Xml|HTML|
NEED GRAPHIC DESIGNER PAID INTERN,Star Tech,Delhi|Gurgaon/Gurugram,0-2years,320000 - 550000 INR,"Role Fresher |    Industry Type Advertising, PR, MR, Event Management |    Functional Area Marketing, Advertising, MR, PR, Media Planning |    Role Category Other",GraphicDesigner|Flash|HTML|Xml|Dreamweaver|Javascript|Js|WebDesigner|CSS|
