jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
A210180-Electrical Design Engineer for Datacenters.,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,10-12years,Not Specified,Responsible to design the Electrical works of Datacenter,ElectricalDesignEngineer|
A210186-MEP Electrical Design Engineer for EDGE Datacenters,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,8-12years,Not Specified,Responsible to design the Electrical works of Data center,ElectricalEngineer|ElectricalDesignEngineer|
A210183-Jr.Electrical Design Engineer for Data centers,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,8-12years,Not Specified,Responsible to design the Electrical works of Data center,ElectricalDesignEngineer|DesignConsultant|Transformers|UpsSystems|PatchPanels|DgSets|
A210181-Electrical Draughtsman for Datacenters,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,10-12years,Not Specified,Responsible to design the Electrical works of Datacenter,ElectricalDesignEngineer|
Electrical Design Engineer (Freshers) Job In Hyderabad,Alpha Tech Solutions,Hyderabad/Secunderabad,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Engineer (Freshers) Job In Kolkata,Alpha Tech Solutions,Kolkata,0-2years,150000 - 250000 INR,Electrical Engineer,ElectricalEngineer|Electricalexecutive|ElectricalDesignEngineer|ElectricalMaintenance|
Electrical Engineer (Freshers) Job In Delhi,Alpha Tech Solutions,Delhi,0-2years,150000 - 250000 INR,Electrical Engineer,ElectricalEngineer|Electricalexecutive|ElectricalDesignEngineer|ElectricalMaintenance|
Electrical Design Engineer For Freshers,Magna India Services,Mumbai,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Engineer (Freshers) Job In Bangalore,Alpha Tech Solutions,Bengaluru/Bangalore,0-2years,150000 - 250000 INR,Electrical Engineer,ElectricalEngineer|Electricalexecutive|ElectricalDesignEngineer|ElectricalMaintenance|
Electrical Design Engineer For Freshers,Magna India Services,Delhi,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Magna India Services,Kolkata,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer (Freshers) Job In Vadodara,Magna India Services,Vadodara,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Magna India Services,Delhi,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer (Freshers) Job In Delhi,Magna India Services,Delhi,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Biz Industries,Mumbai,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Biz Industries,Hyderabad/Secunderabad,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Biz Industries,Mumbai,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Biz Industries,Hyderabad/Secunderabad,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Biz Industries,Mumbai,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Urgent Hiring For Electrical Engineer,Wright Placements,Bengaluru/Bangalore|Hyderabad/Secunderabad,Fresher,240000 - 480000 INR,"Electrical engineers design, develop, and test electrical devices and equipment, including communications systems, power generators, motors and navigation systems, and electrical systems. They also oversee the manufacture of these devices.",ElectricalEngineer|ElectricalMaintenance|Electricalincharge|ElectricalDesignEngineer|Mechanicalengineer|ElectronicsEngineer|
Electrical Design Engineer For Freshers,Biz Industries,Mumbai,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Biz Industries,Bengaluru/Bangalore,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Biz Industries,Delhi,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
Electrical Design Engineer For Freshers,Biz Industries,Mumbai,0-2years,150000 - 250000 INR,Electrical Design Engineer,ElectricalDesignEngineer|
