jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Mechanical Engineer/Electrical engineer/Electronic engineer,Hopes Technology,Chennai,0-5years,570000 - 880000 INR,"CT.KAVITHA.9787152003.We are urgently requirement wanted for fresher/experience. Researching, interpreting, and applying information, developing solution. Mechanical engineer to be technically minded. Free food and accommodation also provided.",MaintenanceExecutive|MaintenanceTechnician|DesignEngineer|Autocad|ITIDraftsmanship|Maintenance|MaintenanceEngineer|Draftsman|
Electrical Engineer,Vishvas Gopal Navare ( Proprietor of Vishvas Management Consultants ),NaviMumbai,3-8years,190000 - 280000 INR,1. Manage day to day electrical maintenance of two chemical plants |  2. Lead team of electricians & helpers. |  3. Manage new Projects electrical work |  4. Ensure electrical safety. |  5.Train users of safe practices & risks |  6. Manage Electrical stores spares,ElectricalEngineer|BE(Electrical)|BTech(Electrical)|Taloja|Panvel|Kharghar|Dombivli|
Electrical Engineer / Electronics Engineer,The NaukriWala,Pune|Nagpur,0-2years,180000 - 200000 INR,Requirement for the position of Production / Quality Engineer.,ElectricalEngineer|ElectronicsEngineer|ProductionEngineer|QualityEngineer|
Electrical Engineer,JDC Recruitment Services,Kolkata|Mumbai,5-9years,600000 - 700000 INR,Designing of Electrical Power Distribution for all types of buildings including service sizing. |  Creation of one line diagrams and Power device/ Equipment layouts,ElectricalEngineer|Electricalexecutive|ElectricalMaintenance|Mechanicalengineer|Electricalofficer|Mechanical|Electricalincharge|ElectricalDesignEngineer|
A210180-Electrical Design Engineer for Datacenters.,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,10-12years,Not Specified,Responsible to design the Electrical works of Datacenter,ElectricalDesignEngineer|
Electrical Engineer Electronics Engineer,Hopes Technology,Chennai,0-5years,360000 - 770000 INR,"CT.GAYATHRI.8940337863.We are urgently requirement wanted for fresher/experience. Researching, interpreting, and applying information. developing solution, Electrical engineer to be technically minded. free food and accommodation also provided.",ElectricalEngineer|ElectricalDesignEngineer|Electricalincharge|Mechanicalengineer|Mechanical|Electricalofficer|ElectricalMaintenance|Electricalexecutive|
A210186-MEP Electrical Design Engineer for EDGE Datacenters,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,8-12years,Not Specified,Responsible to design the Electrical works of Data center,ElectricalEngineer|ElectricalDesignEngineer|
Electrical Engineer,Hopes Technology,Chennai,0-5years,350000 - 670000 INR,ct.kavitha.7397309985.we are urgently requirement wanted for fresher/experience. The candidate should have good knowledge and professional experience in sheet shop and rolling mills. Electrical engineer to be technically minded.,Manufacturing|qualityt|ProductionSupervisor|ProductionExecutive|ProductionIncharge|
A210183-Jr.Electrical Design Engineer for Data centers,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,8-12years,Not Specified,Responsible to design the Electrical works of Data center,ElectricalDesignEngineer|DesignConsultant|Transformers|UpsSystems|PatchPanels|DgSets|
Electrical Engineer,Freelancer Prem Kumar S,Chennai,1-5years,320000 - 750000 INR,"Dear Aspirants, |   We are urgently requirement wanted for FRESHER/EXPERIENCE. Design and developing solution, test devices and equipment, power generators, motor, Technically skill. Free food and accommodation will be provided. |   Contact-ANU 9043901696",ElectricalEngineer|Electricalexecutive|ElectricalMaintenance|Electricalincharge|
