jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Email Chat Support / Non Voice / Process Associate,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Process Associate - Chat Support - Email Process - Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |     Free cab facilities available in night shift)/5 Days working |     Fresher/Experience Both can apply |      Salary upto :-20k too 32 k   |     contact:- Sonali  9687676597 |     share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Technical Support / Email Chat Support / Web Chat Support / IT Help Desk / BPO,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Process Associate -Rotational Shift - Chat Support - Email Process - Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |      Free cab facilities available in night shift)/5 Days working |      Fresher/Experience Both can apply |       Salary upto :-20k too 32 k   |      contact:- Sonali  9687676597 |      share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
BPO Hiring/Call center/Inbound/Outbound/Email support/Tele sales,Transformcx,NaviMumbai|Thane,0-5years,200000 - 280000 INR,Looking candidates for BPOs/ Navi Mumbai Location- |  -Inbound/Outbound/Email Support |  -Salary Upto 20K as per skillset |  -Work from office |  -Good communication skills |  -Please call us @ 8595728636 for more queries,EmailSupport|VoiceProcess|CallCenterExecutive|TeleSalesExecutive|CustomercareExecutive|BPOExecutive|
Customer Service Representative,Eteam Info Services Private Limited,Bengaluru/Bangalore,1-2years,Not Specified,Role:Customer Service Representative  |  Payroll: eTeam Infoservices |  Employment: Contract to Hire |  Location: Bangalore |  Shift Timing- Rotational |  Exp. in Global market is fine// US market is good to have. |  1 or 2 years of experience in Email & Chat support,CustomerSupport|CustomerService|EmailSupport|Nonvoice|Automotive|
Vacancy For Banking Non Voice process @ MMC Infotech,MMC Infotech Services Private Limited,Chennai,0-1years,Not Specified,"We have exciting openings and career opportunities to be a part of Banking Non - Voice Process | A career at MMC Infotech will engage your mind, inspire your creativity and develop your career in BFSI Sector. | Required to handle Banking Related Queries over the mail | Should be able to resolve and give appropriate solutions to the customer | Good Typing Skills | Walk-in directly along with your updated resume to the below-mentioned address. | 101, Oceanic Towers, Santhome High Road, Pattinapakkam, Chennai 600028 | Contact - Kirthivasan @ 9840264662",NonVoiceBpo|NonVoice|DomesticBPO|EmailSupport|EmailWriting|QueryResolution|ChatSupport|CustomerSupport|CustomerService|DayShifts|emailprocess|
Hiring Graduate & UG Fresher / EXP / International BPO / Technical support Associate.,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
International Technical Support / Rotational Shifts / Sal upto 3lpa,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Telesales  Telemarketing  Telesales Executive  Telecaller,Hi Tides Consulting,Ludhiana,1-2years,210000 - 250000 INR,"Mandatory Skills :  candidates with good convincing skills & knowledge of E-mail & MS- Excel. |   Responsibilities – |   1.	Generating and qualifying leads from cold calling |  2.	Managing, tracking and following up on leads by calling them |  3.	Conduc",Email|WebBrowsing|Mis|emailclients|onlinesupport|Excel|MsExcel|
