jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
English Teacher,Manheer Singh (Proprietor Of BigBoss Decor),Pune,1-6years,300000 - 500000 INR,Requirement for English Teachers. (Online Teaching).,EnglishTeacher|Teaching|Education|Faculty|Teachers|OnlineTutor|
Language Trainer - English ( Full Time /  Part time ),Huligemma Consultancy Services,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-10years,200000 - 1000000 INR,Language Trainer - English ( Full Time /  Part time ),EnglishTeacher|EnglishFaculty|EnglishLecturer|EnglishTutor|EnglishLanguage|EnglishGrammar|
Urgently required Spoken English Trainer-work from home REF: 9916560596,Skylar Consultancy,Bengaluru/Bangalore,3-8years,120000 - 350000 INR,"Excellent English speaking, reading & writing skills (English phonetics pref.) |   - Ability to write & understand engaging & detailed lesson plans is a definite advantage. |   - Great command in the English language |   - Good screen presence |    |",EnglishTeacher|EnglishLecturer|English|English|Faculty|English|EnglishProfessor|EnglishTrainer|EnglishTutor|EnglishTrainer|Englishaccent|SoftSkill|SoftSkillTrainer|Voice|Language|Communication|
We Have OPENINGS For Work From Home,GA Solutions Private Limited,Bengaluru/Bangalore,6-6years,150000 - 250000 INR,We R Hiring For International Voice Process,ExcellentEnglish|
manager,Delhi Public School,Kolkata,0-5years,200000 - 350000 INR,"Overseas Admission process, Taking mock interviews, counselling students and preparing them for VISA interviews",MAEnglish|
English Teacher (PGT),Vishal Sushil Bhuta (Proprietor of Beat The Virus Startup),Vijayawada,3-13years,Not Specified,Looking for candidate with M.A. English with BEd. Minimum 3 yrs experience in CBSE affiliated schools.,M.A.EnglishwithBEd.Minimum3yrsexperienceinCBSEaffiliatedschools.|
Corporate Sales,Vishal Sushil Bhuta (Proprietor of Beat The Virus Startup),Bengaluru/Bangalore|Chennai,Fresher,Not Specified,|                                  |,
Human Resources Intern,Teachers Recruitment Solution,Bengaluru/Bangalore|Chennai,Fresher,Not Specified,|                                  |,
TGT English,Sumedha Management Consultancy,Ajmer|Jaipur,2-3years,310000 - 320000 INR,WE NEED TGT ENGLISH FOR RAJASTHAN STATE DISTRICT NAGAUR . THE CANDIDATE MUST BE EXPERIENCED AND B.ED. ITS A RESIDENTIAL SCHOOL FREE ACCOMOCATION AND MEAL . SALARY 250000-300000 / YEARLY..send cv AT 9958495350 WATSAPP.,TeacherFaculty|Tutor|Trainer|Instructor|Principal|Lecturer|
Language Trainer - English ( Full Time /  Part time ),Sumedha Management Consultancy,Chennai|Coimbatore,1-10years,200000 - 1000000 INR,Language Trainer - English ( Full Time /  Part time ),EnglishTeacher|EnglishFaculty|EnglishLecturer|EnglishTutor|EnglishLanguage|EnglishGrammar|
TGT English,Poonam IT Consulting Services Private Limited,Noida|Hapur,2-4years,280000 - 350000 INR,He/she supports students in their studies to the best extent.,English|EnglishLanguage|EnglishTeacher|EnglishGrammar|
Language Trainer - English ( Full Time /  Part time ),Adil Muhammed Rafeek (Proprietor of Edexel),Chennai|Coimbatore,1-10years,200000 - 1000000 INR,Language Trainer - English ( Full Time /  Part time ),EnglishTeacher|EnglishFaculty|EnglishLecturer|EnglishTutor|EnglishLanguage|EnglishGrammar|
PGT English,Gautam Consultancy,Noida|Hapur,2-4years,310000 - 480000 INR,PGT English is required in a reputed school at Hapur  Noida & ghaziabad on urgent basis.,pgtEnglish|
Business developer executive,Vishal Sushil Bhuta (Proprietor of Beat The Virus Startup),Bengaluru/Bangalore|Belgaum,0-3years,170000 - 270000 INR,B2B  sales  we can explain the direct to the clients,Hindi|English|
Video Jockey Presenter Anchor,I Growth Services,Bengaluru/Bangalore,0-5years,Not Specified,"You will explain concepts to learners, in the most effective and expressive manner.",VideoJockey|VideoJournalist|Anchor|Anchoring|MassCommunication|MassComm|ContentWriter|English|Englishaccent|SoftSkill|Communication|Voice|Language|SoftSkillTrainer|
