jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Cybersecurity Analyst,Enigmasoft Technologies Private Limited,Bengaluru/Bangalore,2-5years,Not Specified,Hiring for Bangalore Location,phishingandpharming|EthicalHacking|Cybersecurity|ApplicationSecurity|VulnerabilityManagement|
White-Hat hacker / Ethical hacker,El Talento Solutions,Chennai|Hyderabad/Secunderabad,10-15years,Not Specified,MNC client of El Talento solutions is looking for Principal Software Engineers - White-Hat hacker / Ethical hacker |   |,EthicalHacking|
Linux Administrator Bash Scripting Shell Scripting Virtualization Virtual / cloud Server Devops,Qssot Technologies Private Limited,Bengaluru/Bangalore,1-5years,200000 - 500000 INR,"Recruitment for Internal Position Bangalore |          |        Walk-In Mon - Sat: 11 to 17 hours |          |        Address: |        https://maps.app.goo.gl/SPGomYTCVnZPGwtZA |         |        S-1210 |        Qssot, software solution, |        Ardente Office One, |        Hoodi Main Rd, Hoodi, Bengaluru 560048 |        PH: 09618919049",cloudserver|ServerAdministrator|ServerAdministration|LinuxServer|LinuxAdministration|VirtualServer|ShellScript|ShellProgramming|Vulnerability|EthicalHacking|Ansible|Siem|EthicalHacking|CyberSecurity|Devops|Devops|LinuxAdministrator|Linux|
Cyber Security Analyst,Pleco Migration Private Limited,Canada|HongKong,2-7years,2500000 - 3000000 INR,Call Priya : 8800604691,CyberSecurityAnalyst|SecuritySystem|CyberSecurity|SecurityAnalyst|Networking|InformationSecurityRisk|Vulnerability|EthicalHacking|Iam|
Security consultants { VA/PT specialist --  OSCP certified },Aayam Consultants,Gurgaon/Gurugram,4-7years,1400000 - 1800000 INR,To work as Specialist – VA/PT @ Client site in Gurgaon,Penetration|AVD|Metaspoit|Oauth2.0|InformationSecurity|SecurityConsultant|PenetrationTesting|Vulnerability|EthicalHacking|Owasp|Oscp|BurpSuite|KaliLinux|Postman|VirtualBox|Sso|
Recruitment Executive,Corient Business Solutions Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,1-3years,100000 - 200000 INR,"We are looking for an experienced and highly motivated Recruiter to join our company, you will be responsible for finding, sourcing, and hiring talent with the goal to full-fill company's hiring needs.",Screening|Sourcing|Recruitment|BulkHiring|Staffing|Recruiter|HrRecruitment|
Scientific Sales Executive  Scientific Officer  Scientific Assistant,Hi Tides Consulting,Ludhiana,2-5years,200000 - 300000 INR,"Job roles : |     |   1.	Develop related content for multiple platforms such as Website , Apps  & other marketing tools like : pamphlets , brochures , books , product description etc  |   2.	Ensure content is not duplicated at all levels  |   3.	Handling all the doc",FoodTechnology|Biotechnology|Biotech|
Professor Required Under PR Visa,Adal Immigrations LLP,Australia|Canada,2-7years,2000000 - 5000000 INR,Teaching/Preparing Curriculum and Syllabus/ Handling departmental activities/ Research activities/ Expert in areas like artificial Intelligence and Data.,Hod|AssistantProfessor|AssociateProfessor|HeadAssistant|Teaching|TeachingFaculty|Education|Trainer|Lecturer|
Immediate openings for Banking Role.,Diraa HR Services,Chennai|Coimbatore,0-5years,Not Specified,Open Challenge to the Candidates,AccountsOfficer|FinanceExecutive|AccountsManager|
Branch Manager,Global Colliance LLP,Ahmedabad,3-7years,Not Specified,Global Colliance is looking for a Smart and Talented Branch Manager at Ahmedabad Location.,BranchManager|BranchHead|AssistantBranchManager|BranchSalesManager|BM|CentreManager|CentreHead|
ASM/ RSM/ Branch Manager Required In Abroad,Cloud Visa Immigration LLP,Canada|Kuwait,3-8years,5000000 - 6000000 INR,"Branch Manager will manage staff, foster a positive environment and ensure customer satisfaction and proper branch operation.",BranchManager|BranchHead|AssistantBranchManager|BranchSalesManager|BM|BranchIncharge|CentreManager|CentreHead|
Bank Manager Required In Canada,Cloud Visa Immigration LLP,Canada,3-8years,4500000 - 5500000 INR,"Manage staff, foster a positive environment and ensure customer satisfaction and proper branch operation.",bankmanager|Management|SeniorManager|
Conservation Planner Required In Canada,Cloud Visa Immigration LLP,Canada,2-7years,3500000 - 4500000 INR,"Conservation planners provide environmental resource management advice, consult about land use and protection, and engage with multiple stakeholders.",conservationplanner|naturalenvironmentmanagement|Environment|
Security Analyst,Team Hunt Hr Solutions,Mumbai|MumbaiCity|NaviMumbai|Thane,1-3years,200000 - 350000 INR,•	Complete Knowledge on Web application VAPT. |      •	Complete Knowledge on Mobile application VAPT |      •	Should be able to create reports with proof of Concept |      •	Monitoring security access |,VAPT.|
Project Manager,Guires Solutions Private Limited,Chennai,3-12years,300000 - 500000 INR,Experience in managing or coordinating the provision of statistical services.,ProvenProjectManagement(PMS)|SPSSorSAS|NVIVOorQDAMiner|Quirkos|MsExcel|
Senior Penetration Tester,Expertia Ai Technologies Private Limited,Thrissur,4-6years,Not Specified,"Your role is to conduct advanced penetration tests, identify any breaches or weaknesses in the security setup.",SecurityTechnologies|Phyton|Powershell|Ruby|Bash|CyberSecurity|PenetrationTesting|
