jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Business Development Manager – Video Producation Services,CCT Digisol Private Limited,Ahmedabad,4-5years,509999 - 730000 INR,Looking for International Sales Experience in IT Sales in Services only through Outbound,ExcellentWrittenAndVerbalCommunicationSkills|
Hiring for a Banking Voice Process!,Esteem Placement And Consultancy Services,Mumbai|Thane,1-10years,Not Specified,Hiring for one the most reputed U.S Bank for their Customer service domain!,ExcellentCommunicationSkills|
Sales Manager - US Shift,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,4-8years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheet, and PowerPoint",Powerpoint|Spreadsheets|Salesforce|Organizational|ExcellentCommunication|InterpersonalSkills|ProblemSolving|Presentation|Target|Sales|BusinessDevelopment|CommunicationSkills|
BE/B.Tech Fresher’s for BPO Voice Openings Excellent Salary,White Horse Manpower Consultancy Private Limited.,Bengaluru/Bangalore,0-5years,150000 - 420000 INR,* Should be open to work in Night shifts.  |  * Responsible for dealing with International Clients  |  * Responsible for dealing with Clients Queries  |  * Huge Growth and Prosperity opportunity.,Excellentwrittenandoralcommunicationskills|
Store Manager  Retail Store Manager,Mast Careers,Bengaluru/Bangalore,1-5years,Not Specified,"Supporting the Store Manager in managing the day-to-day operations of the store ,Excellent communication skills (both written and verbal)Ability to write clear, detailed reports",Excellentcommunicationskills(bothwrittenandverbal)|
Hiring for #Bankingprocess #Customerservice #Salaryupto35k #Easyselection #Applynow!,Esteem Placement And Consultancy Services,MumbaiCity|Thane,1-11years,Not Specified,Hiring for one of the most prominent bank's of U.S!,ExcellentCommunicationskills.|
Urgent Hiring For Electrical Engineer,Royal Placement,Vadodara|Puri,0-3years,250000 - 850000 INR,"We’re looking for a strong Mechanical Engineer & Electrical Engineer to join our organization. We pride ourselves on offering innovative solutions to everyday mechanical problems. While acting as mentors to our production teams, our mechanical engi",SKILLS*Strongverbalcommunicationskills|GoodGrammar.*ExcellentPersonality*BasicDesktopandcomputerElectricalMaintenance|Production|qualitycontrolEngineer-Production&Maintenance|
Urgent Hiring For Mechanical Engineer & Electrical Engineer Maintenance,Royal Placement,Bengaluru/Bangalore|Coimbatore,0-3years,250000 - 550000 INR,"We’re looking for a strong Mechanical Engineer & Electrical Engineer to join our organization. We pride ourselves on offering innovative solutions to everyday mechanical problems. While acting as mentors to our production teams, our mechanical engi",SKILLS*Strongverbalcommunicationskills|GoodGrammar.*ExcellentPersonality*BasicDesktopandcomputerElectricalMaintenance|Production|qualitycontrolEngineer-Production&Maintenance|
Urgent Hiring For Electrical Engineer,Royal Placement,Vadodara|Puri,0-3years,250000 - 850000 INR,"We’re looking for a strong Mechanical Engineer & Electrical Engineer to join our organization. We pride ourselves on offering innovative solutions to everyday mechanical problems. While acting as mentors to our production teams, our mechanical engi",SKILLS*Strongverbalcommunicationskills|GoodGrammar.*ExcellentPersonality*BasicDesktopandcomputerElectricalMaintenance|Production|qualitycontrolEngineer-Production&Maintenance|
Urgent Hiring For Electrical Engineer,Royal Placement,Vadodara|Puri,0-3years,250000 - 850000 INR,"We’re looking for a strong Mechanical Engineer & Electrical Engineer to join our organization. We pride ourselves on offering innovative solutions to everyday mechanical problems. While acting as mentors to our production teams, our mechanical engi",SKILLS*Strongverbalcommunicationskills|GoodGrammar.*ExcellentPersonality*BasicDesktopandcomputerElectricalMaintenance|Production|qualitycontrolEngineer-Production&Maintenance|
Coordinator – Program Scheduling & MIS : Adv Excel ; Excellent communication & Coordination Skills,P3 Synergy Consulting,Chennai,1-3years,Not Specified,"Need person with strong communication skills in English with good hands on exposure in working on Advance Excel for  managing and coordinating for timetable and program scheduling. Capable of patience, persuasion & able to work under pressure",Coordinator|Mis|DataAnalyst|ERPSystem|AnalyzingData|Databasemanagement|Mis|AnalyticalSkill|SPOC|ProjectCoordinator|Dbms|
Customer Support Associate,Teamweavers Consulting Private Limited,Hyderabad/Secunderabad,0-1years,Not Specified,"Customer Service Associates Do Customer service associates have a variety of duties, the most important of which is assisting customers with any troubles or inquiries that they might have. Often, customer service associates help customer.",ExcellentCommunicationSkills|Graduates|Fresher|VoiceProcess|Cce|Tamil|English|
urgent hiring for cabin crew for girls,Practo Technologies Private Limited,Bengaluru/Bangalore|Chennai,0-1years,320000 - 780000 INR,"As a cabin crew member, you'll provide excellent customer service to passengers while ensuring their comfort and safety throughout the flight. Serving refreshments and meals and selling gifts and duty-free items are all part of the job.",excellentcommunicationskillsexceptionalcustomerserviceconfidenceindealingwitharangeofpeoplegoodco-operationskillsasyou'llworkwithdifferentteamsday-to-daycompassionandtheabilitytosupportyourcolleaguesdiscretionwhendea|
Ground Staff,Synergistic Compusoft Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-4years,360000 - 790000 INR,The ground staff is the one of important department in airport management. The duties performed by ground staff vast. Ground staff is works in technical to commercial and handling for safe and steady departure and arrival of an aircraft.,Goodcommunicationskills.Excellentinterpersonalskills|GoodcolourvisionandhearingGoodgeneralhealthandfitness|
Health Editors - Contract,Vibrantzz Management Services,Bengaluru/Bangalore,2-5years,Not Specified,Health Editors - Contract,ExcellentWrittenAndVerbalCommunicationSkills|TimeManagement|pharmaceuticaldrug|ResearchSkills|managingdrugdatabase|drugcontent|MsOffice|
INTL. SALES EXECUTIVE – US/UK OUTBOUND CALLING - FROM EDUCATIONAL COURSES SALE BACKGROUND -PAN INDIA,Royal Placement,Gurgaon/Gurugram|Pune,1-4years,Not Specified,". Candidates will be resp. for generating the leads through outbound calling. |  . Candidates having exp. into academic counselling, selling educational courses will be preferred for the position. |  . 5 days a week working. Work from home |  . Night shift |",InternationalSales|AcademicCounselling|OutboundCalling|VoiceProcess|Careercounselling|EducationalSalesbackground|ExcellentEnglishcommunicationskills|
Customer Service Inbound Salary Upto 35 K In Hand-Excellent Communication Skills Required,Gautam Consultancy,Mumbai,0-3years,Not Specified,Good Salary With Incentives  |  Transport Facilities Are Available |  Weekly Two Rotational Offs  |  Excellent Communication Skills Required For This Opportunity,Bpo|CallCenter|VoiceProcess|InternationalCallCenter|Inbound|internationalbpoOutbound|Fresher|
Cabin Crew,MP Dominic & Co,Delhi|Hyderabad/Secunderabad,0-2years,459999 - 780000 INR,Cabin crew jobs involve a lot of hard work and commitment but the rewards can be excellent.Cabin Crew are a vital part of commercial aviation for a number of reasons. Their role is to provide a high standard of customer care.,ExcellentCommunicationSkills|ExcellentCustomerService|worktogetherasateam|Inthecaseofanemergency|itisessentialthatcabincrewhavetheabilitytoremaincalm.|
Urgent Hiring For Mechanical Engineer & Electrical Engineer Maintenance,Royal Placement,Bengaluru/Bangalore|Coimbatore,0-3years,250000 - 550000 INR,"We’re looking for a strong Mechanical Engineer & Electrical Engineer to join our organization. We pride ourselves on offering innovative solutions to everyday mechanical problems. While acting as mentors to our production teams, our mechanical engi",SKILLS*Strongverbalcommunicationskills|GoodGrammar.*ExcellentPersonality*BasicDesktopandcomputerElectricalMaintenance|Production|qualitycontrolEngineer-Production&Maintenance|
Outbound International Voice Process,Royal Placement,Visakhapatnam,0-3years,Not Specified,|                                  |,
Dialysis Nurse,Inlinked management and Training Institute,SaudiArabia,2-8years,Not Specified,Warm greetings from the M P Dominic & Company HR ! ! |   We are  looking for Staff  Nurses  to Saudi Arabia  for reputed hospital through a skype interview  . Vacancy for  female Nurses.  |,Strongattentiontodetail.Strongclinicalskillsandknowledge.Highlyorganized.Solidassessmentanddocumentationskills.Greatinterpersonalskills.Excellentcommunicationskills|Professionalattitude.|
Urgent Hiring For Electrical  Engineering,Royal Placement,Bengaluru/Bangalore|Mumbai,0-2years,250000 - 560000 INR,"We are hiring an Electrical Engineer to design and implement complex industrial,commercial,and domestically electrical systems. To do well in this role you should be a licensed professional engineer and have extensive experience as an electrical engi",SKILLS*Strongverbalcommunicationskills|GoodGrammar.*ExcellentPersonality*BasicDesktopandcomputer|Designing|maintaining|implementing|orimprovingelectricalinstruments|Facilities|equipmentproducts|Components|
