jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Accounts & Finance Manager,Q Visas Immigration,Canada,2-7years,4140000 - 6040000 INR,"Finance Manager, Accounts manager plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments.",FinanceManager|AccountsManager|FinanceExecutive|FinancialController|FinanceAccounts|Accountant|AccountsManager|AccountsOfficer|AccountsHead|
FINANCE MANAGER/FINANCE CONTROLLER,Avi Global Plast Private Limited,Chennai|Hyderabad/Secunderabad,2-5years,360000 - 650000 INR,"Manage all accounting operations including Billing, A/R, A/P, P and L, Cost Accounting, Inventory Accounting and Revenue Recognition.",FinancialReporting|CorporateAccounting|Auditing|FinanceControl|BankingOperations|IndirectTaxation|FinancialManagement|
Finance Manager,Shalitin Immigrations LLP,Mumbai|MumbaiCity|NaviMumbai|Thane,8-10years,700000 - 1300000 INR,"The manager is expected to perform in Accounting, Auditing, Reporting, Banking/ Treasury and Compliance areas",Accounting|Finance|Taxation|Auditing|TreasuryDomainKnowledge|
Accounts & Finance Manager,Subrata Mondal (Proprietor Of Cafe Industry),Canada|Singapore,2-5years,450000 - 550000 INR,"UP TO 80% SPONSORSHIP PROVIDED BY EMPLOYERS END. |   |  Prepares monthly statements by collecting data; analyzing and investigating variances; summarizing data, information, and trends. |  Prepares state quarterly and annual statements by assembling data. |",Accounting|Taxation|AccountsExecutive|GeneralLedger|Auditing|FinanceManager|
"Accounts & Finance Executive, Accounts & Finance Manager",Sigma Consultancy Services,Mumbai|Pune,0-5years,310000 - 560000 INR,"Accounts & Finance Executive, Accounts & Finance Manager",Accountant|AccountsExecutive|Accountassistant|AccountsOfficer|FinanceExecutive|AccountsManager|Tally|SeniorAccountant|
"Accounts & Finance Executive, Accounts & Finance Manager",Sankalp Placements India LLP,Hyderabad/Secunderabad|Kolkata,0-5years,350000 - 650000 INR,"Accounts & Finance Executive, Accounts & Finance Manager",Accounts&FinanceExecutive|Accounts&FinanceManager|Accounting|AccountsExecutive|
Finance Manager,A V Immigration And Careers Consultancy Private Limited,Pune,8-10years,Not Specified,This function is a key role in partnering with the senior leadership team in strategic decision making and operations.,Finance|Statuatory|FinancialAnalysis|SapFico|
Finance Manager,A V Immigration And Careers Consultancy Private Limited,Cochin/Kochi/Ernakulam,1-6years,250000 - 450000 INR,Hiring for Finance Manager.,FinanceManager|AccountsManager|FinanceHead|FinanceAccounts|FinanceExecutive|FinancialController|Ca|FinanceController|
Sr Manager - Finance & Accounts,2COMS Consulting Private Limited,Gurgaon/Gurugram,5-10years,700000 - 1500000 INR,'Candidate should have working knowledge ofGST and IND-AS |  Should be computer savvy and working knowledge of MS Office and Oracle11i ERP',Gst|Mis|Finance|Accounting|Taxation|Auditing|GeneralLedger|Oracle|Erp|
Sr. Manager Finance,Roundworld Immigration Private Limited,Delhi|Gurgaon/Gurugram,2-5years,550000 - 600000 INR,India's leading premier coach and lavatory furnishing company based in Delhi(Dwarka) offering world class products and services offers positions for SNR MANAGER FINANCE  for their Company,MbaFinance|Ca|PGDMFinance|
Manager Corporate Finance,Aosta Overseas Careers,Mumbai|MumbaiCity|NaviMumbai|Thane,4-7years,Not Specified,CA having experience of 5 to 7years post qualification.,GeneralLedger|INDAS|IFRS|
"Accounts Manager,Finance Manager,Finance Executive",Shalitin Immigrations LLP,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-12years,350000 - 720000 INR,"Employment type Permanent |          Industry of the Employer Banking / Financial Services |          Department / Functional Area of the Job Private Banking, Banking Officer, Bank Operations",AccountsManager|FinanceManager|FinanceExecutive|AccountsPayable&Receivable|budgeting|CashFlow|MisReports|GeneralLedger|statutorydeductions|FinancialStatements|DataEntry|utilitybills|Gst|ServiceTax|Tds|Tally|
Finance Manager- Australia,E-Friend Solutions India,Australia|Canada,9-14years,1600000 - 3000000 INR,"A Finance Manager distributes the financial resources of a company, is responsible for the budget planning, and supports the executive management team by offering insights and financial advice that will allow them to make the best business decisions.",FinanceManager|accounting|Audit|FinancialStatements|financialreportingsystems|financialmanagement|budgetprocess|FinancialPlanning|
Finance Manager- Australia,Cloud Visa Immigration LLP,Australia|Canada,3-8years,1600000 - 3000000 INR,"A Finance Manager distributes the financial resources of a company, is responsible for the budget planning, and supports the executive management team by offering insights and financial advice that will allow them to make the best business decisions.",FinanceManager|accounting|Audit|FinancialStatements|financialreportingsystems|financialmanagement|budgetprocess|FinancialPlanning|
Assistant Manager - General Ledger (R2R),Sri Balaji Associates,Chennai,5-10years,800000 - 1000000 INR,"* Minimum 5+ years of experience in Record to Report (R2R) domain.  * Experience in preparing Balance Sheet, handling Month-End Close, Fixed Assets, Inter-company and Cash Reconciliations.  * Posting of Journal entries and recording the transac",R2R|JournalEntries|TrialBalance|Balancesheet|
Accounts & Finance Manager,Cloud Visa Immigration LLP,Canada,2-6years,4029999 - 6070000 INR,"Finance Manager, Accounts manager plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. |",Accountant|AccountsExecutive|Accountassistant|FinanceExecutive|AccountsManager|FinanceManager|SeniorAccountant|
Accounts & Finance Manager,Core Intertech Services Private Limited,Canada|Germany,2-12years,Not Specified,Accounts & Finance Manager,Accounts|AccountsExecutive|Taxation|AccountsAssistant|FinanceAccounts|FinanceManager|AccountsManager|
Finance Manager reqd. in Canada & Singapore,Travel Food Services Pvt. Ltd,Canada|Singapore,4-10years,5200000 - 7000000 INR,"A Finance Manager distributes the financial resources of a company, is responsible for the budget planning, and supports the executive management team by offering insights and financial advice that will allow them to make the best business decisions.",FinanceManager|FinancialReporting|Consolidation|FinanceController|FinanceAnalyst|FinancialPlanningAndAnalysis|Planning|Costing|FinanceandBudgeting|FinancialModeling|Tally|SeniorAccountant|
