jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Senior 2D Animator (Flash),SnapHunt Pte Ltd,Mohali,3-9years,300000 - 500000 INR,"Creating storyboards, user flows, process flows and site maps to effectively communicate interaction and design ideas. |  Designing gameplay and game features with a view to deliver a strong player experience.",Illustrator|FlashAnimation|CorelDraw|2DAnimation|CharacterAnimator|HTML|CSS|Dreamweaver|Javascript|AdobePhotoshop|
Graphic designer,ASquare Groups,Chennai,1-2years,Not Specified,One year experience female graphic designer wanted for Ecommerce industry,Photoshop|Illustrator|CorelDraw|Indesign|Flash|
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,Adal Immigrations LLP,Delhi|Gurgaon/Gurugram,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,Cloud Visa Immigration LLP,Delhi|Gurgaon/Gurugram,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
"opening for Graphic Designer,Web designer,Javascript,Flash,Dreamweaver, job 9152092013",Sysmedac Technologies India Private Limited,MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,"opening for Graphic Designer,Web designer,Javascript,Flash,Dreamweaver, job 9152092013",GraphicDesigner|job9152092013|WebDesigner|Javascript|Flash|Dreamweaver|
Creative Graphic Designer/Hiring for Abroad,Cloud Visa Immigration LLP,Australia|Canada,2-7years,2000000 - 5000000 INR,"Working as part of a team with printers, copywriters, photographers, stylists, illustrators, other designers, account executives, web developers and marketing specialists.",CreativeDesigner|Illustrator|newsletter|Freehand|Photoshop|Dreamweaver|InteractionDesign|Flash|
Graphic Designer in Canada and Australia,Esther Jeevitha (Proprietor of Morgan Techno India),Australia|Canada,3-8years,4500000 - 5500000 INR,"|  Graphic designers use computers or hand tools to create posters, websites, logos, brochures, magazines and many other materials to communicate ideas and information visually.  |",GraphicDesigner|CSS|WebDesigner|Js|Javascript|Flash|Dreamweaver|HTML|Xml|
UX Designer,Scope Telecom Private Limited,Chennai,3-5years,Not Specified,"Experience : 3 to 5 years UI / UX Designer in Photoshop, Adobe XD,figma Sketch",AdobeFlash|Graphic&WebDesigner|GraphicDesigner|AdobePhotoshop|AdobeIllustrator|UxDesigner|HTML|CssJavaScript|Flash|UiUxDesigner|Javascript|
Hiring For Creative Graphic Designer in Canada and Australia,Lakshya,Australia|Canada,3-8years,4500000 - 5500000 INR,"call & what's app to Pooja-9311529770 |   |  Graphic designers use computers or hand tools to create posters, websites, logos, brochures, magazines and many other materials to communicate ideas and information visually.  |",GraphicDesigner|CSS|WebDesigner|Js|Javascript|Flash|Dreamweaver|HTML|Xml|
Web Designer,Career Foresight Hr Solutions Llp,Hyderabad/Secunderabad,1-6years,250000 - 450000 INR,Requirement for the post of Web Designer.,Photoshop|WebDesigner|CSS|Javascript|Flash|Dreamweaver|Xml|HTML|
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,Way2web World,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) Work from Home,E-Hireo Global Solutions Private Limited,Chennai|Coimbatore,0-5years,Not Specified,Graphic Designer ( Logo / Brochure / Catalogue / Posters  ) - Work from Home,Photoshop|Illustrator|Indesign|CorelDraw|Freehand|Pagesmaker|Flash|Dreamweaver|
Web Designing and Development,Esther Jeevitha (Proprietor of Morgan Techno India),Ambala|Panchkula,0-1years,Not Specified,"Write well designed, testable, efficient code by using best software development practices |  Create website layout/user interface by using standard HTML/CSS practices |  Integrate data from various back-end services and databases |  Gather",Photoshop|Photoshop|HTML|Dreamweaver|CSS|WebDesigner|Js|Javascript|Flash|Xml|
Web Designer & Animator,Startech Placement Services,Mohali|Chandigarh,0-3years,120000 - 240000 INR,We urgently Require Web Designer. Experience and fresher both can apply.,Photoshop|GraphicDesigner|Graphics|WebDesigner|CSS|HTML|Xml|Javascript|Animation|Flash|
Graphic Designer,Star Tech,Bengaluru/Bangalore,4-8years,600000 - 800000 INR,"•	Outstanding Adobe creative suite skills in Photoshop, Illustrator & InDesign  |  •	Strong hands-on experience in creation of print media using Adobe InDesign (mandatory) – from conception to development to creation of print files |",AdobeFlash|Indesign|AfterEffects|AdobePhotoshop|
