jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Fresher - 5 day Working - Fluent English - Ahmedabad,Arise Solution,Ahmedabad,0-4years,120000 - 240000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements.,CallCenterExecutive|BPOCallCentre|InternationalCallCenter|CustomerCareExecutive|CallCenterRepresentative|BPOFresher|BPOExecutive|TeleCaller|VoiceProcessExecutive|DomesticBPO|USShift|
International Voice Process / Fluent English / Medical Billing Process - Ahmedabad,Arise Solution,Ahmedabad,0-3years,150000 - 300000 INR,Good communication skills in English |   Experience in Medical Billing process has been Eligible. |   Should be able to work with Voice Process. |   For Ahemdabad Candidates only. |   If Someone interested Contact on 9687676593,MedicalBilling|UsHealthcare|MedicalCoding|cashposting|Healthcare|ArCaller|MedicalRepresentative|DenialManagement|Medicalrep|PharmaSales|Territorybusinessmanager|Fieldsalesofficer|USShift|
Webchat Process- Fluent English-Salary Upto 32K-Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,150000 - 260000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Webchat  process. Below I have mentioned the Job Description of this requirements |    |   If you are interested please send your cv on [HIDDEN TEXT]  |    |,InternationalCallCenter|InternationalBpo|VoiceProcess|BPOCallCentre|CustomerCareExecutive|CallCenterExecutive|BPOFresher|FresherBPO|Cbse|Englishmedium|Convent|C.B.S.E|
Medical Billing Process - Fresher - Fluent English - Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,120000 - 250000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements.,CallCenterExecutive|BPOCallCentre|InternationalCallCenter|CustomerCareExecutive|CallCenterRepresentative|BPOFresher|BPOExecutive|TeleCaller|VoiceProcessExecutive|DomesticBPO|USShift|
Non Voice Process-Fluent English - International BPO- Fresher - Ahmdabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |         Free cab facilities available in night shift)/5 Days working |         Fresher/Experience Both can apply |          Salary upto :-20k too 32 k   |         contact:- Sonali  9687676597 |         share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Non Voice Process-Fluent English - International BPO- Fresher - Ahmdabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |        Free cab facilities available in night shift)/5 Days working |        Fresher/Experience Both can apply |         Salary upto :-20k too 32 k   |        contact:- Sonali  9687676597 |        share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Fresher/ Fluent English / Salary Upto 17K / Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,150000 - 260000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements,InternationalCallCenter|InternationalBpo|VoiceProcess|BPOCallCentre|CustomerCareExecutive|CallCenterExecutive|BPOFresher|FresherBPO|Cbse|Englishmedium|Convent|C.B.S.E|
Fresher - 5 day Working - Fluent English - Ahmedabad,Arise Solution,Ahmedabad,0-4years,120000 - 240000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements.,CallCenterExecutive|BPOCallCentre|InternationalCallCenter|CustomerCareExecutive|CallCenterRepresentative|BPOFresher|BPOExecutive|TeleCaller|VoiceProcessExecutive|DomesticBPO|USShift|
CSE / Fresher / Night Shift  / Fluent English / International BPO / Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English (Written & Verbal) |   Flexible to work in rotational shifts (Free cab facilities available in night shift) |   Fresher/Experience Both can apply |   contact:- Sonali  9687676597 |   share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
International BPO Voice Process Visakhapatnam,Gautam Consultancy,Delhi|Visakhapatnam,0-3years,120000 - 160000 INR,International BPO  |  Telecallers/ Outbound Process |  Salary: 15 K in Hand + incentives upto 40 K .  |  Any Graduates/ Post graduates can apply/ B. Com/ B.sc/ B. tech/ BBA/ MBA/MA/ BA/ BBM/ etc |  Excellent English without any accent and Fluent Hind Must. |,Voice|Englishfluent|Hindispeaking|
Looking for Telecallers in Hyderabad with fluent Hindi & English,Tarare Consulting services Private Limited,Hyderabad/Secunderabad,0-3years,Not Specified,Hiring Customer support Executives with full time Graduation and fluent Hindi & English,Bpo|Domestic|Telecalling|Telecaller|CustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCareExecutive|CustomerCare|Counceller|
Opening for Medical Billing Process - Fresher - Fluent English - Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,120000 - 250000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements.,CallCenterExecutive|BPOCallCentre|InternationalCallCenter|CustomerCareExecutive|CallCenterRepresentative|BPOFresher|BPOExecutive|TeleCaller|VoiceProcessExecutive|DomesticBPO|USShift|
Opening for Medical Billing Process - Fresher - Fluent English - Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,120000 - 240000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements.,CallCenterExecutive|BPOCallCentre|InternationalCallCenter|CustomerCareExecutive|CallCenterRepresentative|BPOFresher|BPOExecutive|TeleCaller|VoiceProcessExecutive|DomesticBPO|USShift|
Urgent Opening - Night Shift - Fluent English - Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,150000 - 260000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements,InternationalCallCenter|InternationalBpo|VoiceProcess|BPOCallCentre|CustomerCareExecutive|CallCenterExecutive|BPOFresher|FresherBPO|Cbse|Englishmedium|Convent|C.B.S.E|
CSE / Fresher / Night Shift  / Fluent English / Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,150000 - 260000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements,InternationalCallCenter|InternationalBpo|VoiceProcess|BPOCallCentre|CustomerCareExecutive|CallCenterExecutive|BPOFresher|FresherBPO|Cbse|Englishmedium|Convent|C.B.S.E|
CSE / Fluent English / 5 days Working / Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,150000 - 260000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements,InternationalCallCenter|InternationalBpo|VoiceProcess|BPOCallCentre|CustomerCareExecutive|CallCenterExecutive|BPOFresher|FresherBPO|Cbse|Englishmedium|Convent|C.B.S.E|
Fresher Fluent English - Night Shift - 5 Days - Salary Upto 15K,Arise Solution,Ahmedabad,0-2years,100000 - 160000 INR,Requirements: |              · Excellent written communication skills in English (Written & Verbal) |              · Ready For Night shift |              .Salary 16K-2K Per Month |              Call Baljeet 9687676594  |       |              Mail:[HIDDEN TEXT],InternationalBpo|USVoice|VoiceProcess|BPOVoice|InternationalVoice|Bpo|UsProcess|GraduateFreshers|Freshers|Cbse|
Looking for Telecallers in Hyderabad with fluent Hindi & English,Tarare Consulting services Private Limited,Hyderabad/Secunderabad,0-3years,Not Specified,Hiring Customer support Executives with full time Graduation and fluent Hindi & English,Bpo|Domestic|Telecalling|Telecaller|CustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCareExecutive|CustomerCare|Counceller|
Voice Process / Fluent English / 5 days Working / Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,160000 - 250000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements,InternationalCallCenter|InternationalBpo|VoiceProcess|BPOCallCentre|CustomerCareExecutive|CallCenterExecutive|BPOFresher|FresherBPO|Cbse|Englishmedium|Convent|C.B.S.E|
Supply Chain Executive,Synchron Global Onesource Private Limited,Ahmedabad,0-1years,240000 - 280000 INR,Supply chain executive will be responsible for end to end purchasing of electronic component from International market.,NegotiationSkill|VendorDevelopment|CommunicationSkills|FluentEnglishisMUST|
Opening / CSE / Fluent English / Salary Upto 20K / Ahmedabad,Arise Solution,Ahmedabad|Gandhinagar,0-4years,150000 - 260000 INR,We are currently working for one of our leading MNC client in Ahmedabad for Medical billing process. Below I have mentioned the Job Description of this requirements,InternationalCallCenter|InternationalBpo|VoiceProcess|BPOCallCentre|CustomerCareExecutive|CallCenterExecutive|BPOFresher|FresherBPO|Cbse|Englishmedium|Convent|C.B.S.E|
Urgent opening for Sales man  in maldives,I Square Consultancy,Maldives,5-7years,Not Specified,"We require should know the sales in hardware, home centre and painting",WerequirecandidateshouldspeakwithfluentinEnglish|
Urgent opening for Head Chef in Maldives,I Square Consultancy,Maldives,5-7years,Not Specified,We request candidate to know the Head Chef Experience,WerequirecandidateshouldknowtospeakfluentinEnglish|
Urgent opening for Electrical Supervisor / Engineer & CCTV Technician  Troubleshooting in singapore,I Square Consultancy,Singapore,4-7years,Not Specified,We require Electrical Engineering & CCTV Technician Trouble shooting,WerequirecandidateshouldknowstospeakfluentinEnglish|
