jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Fresher BPO Agents,Silaris Informations Private Limited,Noida,0-5years,Not Specified,"We are looking for a Call Center Representative that will be the liaison between our company and its current and potential customers. The successful candidate will be able to accept ownership for effectively solving customer issues, complaints.",CorporateCommunication|EnglishLanguage|Agents|CustomerSupport|CustomerSupportExecutive|CustomerService|CustomerCareExecutive|CustomerCare|TechnicalSupport|
Fresher jobs in BPO,Tarare Consulting services Private Limited,Hyderabad/Secunderabad,Fresher,Not Specified,We are hiring for immediate Joiners,TelesalesExecutive|Freshers|CustomerCareExecutives|SalesExecutive|
Fresher BPO,Inlinked management and Training Institute,Delhi|Noida,0-1years,100000 - 250000 INR,Customer Care Executive Customer Support Customer Service Customer Support Executive Fresher BPO Customer Care Officer,BPOExecutive|BPOCallCentre|BPOAnalyst|BPODataEntry|BPOHiring|
"Fresher Telugu/Malayalam domestic voice process BPO, Chennai-Whatsapp HR - 7200003809",Bright Hat Private Limited,Chennai,0-2years,Not Specified,"Spot offer for Telugu or Malayalam fluent candidates for domestic BPO voice process, Chennai.  Interested candidates, please send text message in WhatsApp 7200003809 mentioning that you are applying for Telugu/Malayalam voice. We will get back to you","""fresherbpo""|""fresher""|""BPO""|""Domesticbpo""|""voice""|"
Hiring Graduate & UG Fresher / EXP / International BPO / Technical support Associate.,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Domestic BPO - Fresher,Fazo Software,Chennai,0-1years,190000 - 290000 INR,Hiring Any Degree |  Arrears accepted |  Immediate Joining |  Salary 12000 for Fresher.,BPOExecutive|BPOAnalyst|BpoNonVoice|BPOHiring|BPOCallCentre|BPODataEntry|CallCenterExecutive|DomesticBPO|InternationalCallCenter|CustomerCareExecutive|VoiceProcessExecutive|CallCenterRepresentative|BPOFresher|TeleCaller|Customer|
Female Fresher BPO - 10 Nos Chennai immediate 15k,Exsellant Services,Chennai,0-1years,Not Specified,"Hi All, |   |   |  Jobszonenow  |   |  We have job opening for fresher |   |  Semi voice process |   |   |  NO BE/BTECH |   |  10th, 12th, BA, BCOM, BBA, BSC,MCOM, MSC Any qualification people can apply |   |   |  if you are interested call Sampurana = 7824884400 (Morning 11A",Voice|Accent|Bpo|Inbound|Data|Outbound|CallCenter|InternationalBpo|SemiVoiceProcess|EmailMarketing|
BPO Executive -  Fresher ( 15000  salary ),Inlinked management and Training Institute,Chennai,0-1years,210000 - 720000 INR,Hiring Fresher |  Location : Chennai |  Salary : 15000,BPOExecutive|BPOAnalyst|Bpo|CallCenter|VoiceProcess|InternationalCallCenter|BpoNonVoice|BPOHiring|BPOCallCenter|DomesticBPO|CallCenterExecutive|CallcenterBPO|WiproBPO|CallCentre|TeleCaller|Internati|Kpo|knowledgeprocessoutsourcing|
Telecaller Telesales Telemarketing Telesales Executive  BPO Call Center  Fresher BPO,Call 2 Hire,Delhi|Noida,0-2years,90000 - 220000 INR,We are looking candidates for Domestic Bpo |  Salary - 10 k to 18 k plus incentives  |  Job location - delhi noida gurgaon faridabad ghaziabad |  language - English and Hindi |  call Divya - 9625836556,Bpo|CallCenter|VoiceProcess|Freshers|Graduates|GraduateFresher|Undergraduates|HighSchoolPass|
Fresher BPO call center / customer care / Telecalling,Freelancer Harish Kumar Ksheersagar,Delhi,0-1years,Not Specified,"Hiring for freshers bpo call center / customer care / telecalling jobs in Delhi for freshers. |   Good knowledge in customer handling executive , bpo , voice process , inbound , call center etc . |    |   for interview appointment  |   Hr Avnii",Bpo|CallCenter|VoiceProcess|Backend|Nonvoice|BackOffice|
"....., undergraduate , Fresher ,   freshers , .....",Call 2 Hire,Delhi|Gurgaon/Gurugram,0-5years,Not Specified,V ARE LOOKING 4 FOLLOWING STAFF @ OUR  DELHI OFFICE NEAR  NEHRU PLACE  OR NEAR  KASHMIRI GATE ( ISBT ). |                       PLS. WHATSAPP  UR  RESUME @ ( MB. 8860123456 )..,.........|Undergraduate|Freshers|Fresher|CallCenter|DomesticBpo|Bpo|
Fresher BPO call center / customer care / Telecalling,Call 2 Hire,Delhi,0-1years,Not Specified,"Hiring for freshers bpo call center / customer care / telecalling jobs in Delhi for freshers. |   Good knowledge in customer handling executive , bpo , voice process , inbound , call center etc . |    |   for interview appointment  |   Hr Avnii",Bpo|CallCenter|VoiceProcess|Backend|Nonvoice|BackOffice|
Fresher BPO call center / customer care / Telecalling,Inlinked management and Training Institute,Delhi,0-1years,Not Specified,"Hiring for freshers bpo call center / customer care / telecalling jobs in Delhi for freshers. |   Good knowledge in customer handling executive , bpo , voice process , inbound , call center etc . |    |   for interview appointment  |   Hr Avnii",Bpo|CallCenter|VoiceProcess|Backend|Nonvoice|BackOffice|
Jobs for Fresher Fresh Graduate Fresher BPO Freshers Fresher Trainee,Hiring Choice Solution,Delhi|Noida,Fresher,80000 - 240000 INR,We are looking candidates for Domestic and International BPO |  Job location - Delhi Noida and Gurgaon |  Salary 12k to 22k plus cab and meal |  shift - day and night |  extras - Incentives  |  call - Divya 9625836556,FreshGraduate|FresherBPO|Freshers|Undergraduates|HighSchoolPass|GraduateFresher|Graduates|VoiceProcess|Bpo|ExcellentCommunicationSkills|CallCenter|B.A|
Fresher BPO Call Center / Customer Care / Telecalling,Fazo Software,Delhi|Gurgaon/Gurugram,0-2years,Not Specified,"Hiring for 4 Fresher BPO Call Center / Customer Care / Telecalling Jobs in Delhi for Freshers, |   Required Educational Qualification is : Higher Secondary, Diploma, Other Bachelor Degree with |   Good knowledge in Customer Handling  |   |  HR SNEHA 9899598859",12Pass|FresherBPO|Freshers|HighSchoolPass|Undergraduates|InboundCustomerService|InboundProcess|CallCenter|CustomerCareExecutive|DomesticBPO|InternationalCallCenter|Inbound|
Nonvoice,Freelancer Harish Kumar Ksheersagar,Chennai,0-1years,220000 - 840000 INR,Salary - 12000 - 20000 |  Immediate joining. |  Salary hike Every year.,BPOExecutive|BPOAnalyst|Bpo|Bpon|BpoOperations|BpoNonVoice|BPOHiring|BPOCallCentre|BPOCallCenter|BPODataEntry|bpohiBPOFresher|FresherBPO|Freshers|FresherTrainee|GraduateFresher|Undergraduates|Graduates|ITSupport|
"....., undergraduate ,     Fresher ,    freshers ,",Zarbex Solutions,Delhi|Faridabad,0-5years,Not Specified,V ARE LOOKING 4 FOLLOWING STAFF @ OUR  DELHI OFFICE NEAR  NEHRU PLACE  OR NEAR  KASHMIRI GATE ( ISBT ). |                          PLS. WHATSAPP  UR  RESUME @ ( MB. 8860123456 )..,.........|UNDERGRADUATE|Freshers|Fresher|CallCenter|DomesticBpo|Bpo|
Home Based Online Job - Data Entry - Work From Home - Online Job,Zarbex Solutions,Madurai|Mysore,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                      Concern Person Regarding That Mr. -HR Soniya |                      Contact No.- 8447612779,Freshers|FresherBPO|FresherTrainee|Hr|HomeBasedJobs|Housewives|HomeBasedWork|WorkFromHome|HomeBased|PartTime|12thPass|Fresher|Hsc|Undergraduate|SelfEmployed|CallCenter|BPOFresher|Bpo|Graduate|Custome|SoftwareDeveloper|ComputerOperator|
"Data Entry Operator, Computer Operator, Work from Home, Part-time Job",NKV Enterprises,Thanjavur|Tenali,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |               Concern Person Regarding That Mr. -HR Soniya |               Contact No.- 8447612779,Freshers|FresherBPO|FresherTrainee|Hr|HomeBasedJobs|Housewives|HomeBasedWork|WorkFromHome|HomeBased|PartTime|12thPass|Fresher|Hsc|Undergraduate|SelfEmployed|CallCenter|BPOFresher|Bpo|Graduate|Custome|SoftwareDeveloper|ComputerOperator|
5 Days Working Job Fresher,NKV Enterprises,Delhi,0-2years,Not Specified,|                                  |,
5 Days Working Job Fresher,Arise Solution,Delhi,0-2years,Not Specified,|                                  |,
Non Voice Process-Fluent English - International BPO- Fresher - Ahmdabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |         Free cab facilities available in night shift)/5 Days working |         Fresher/Experience Both can apply |          Salary upto :-20k too 32 k   |         contact:- Sonali  9687676597 |         share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Non Voice Process-Fluent English - International BPO- Fresher - Ahmdabad,Black And White Business Solutions Private Limited,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |        Free cab facilities available in night shift)/5 Days working |        Fresher/Experience Both can apply |         Salary upto :-20k too 32 k   |        contact:- Sonali  9687676597 |        share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
