jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Receptionist / Front Office Executive / Front Desk Executive,Aspire Group of Services,Lucknow,0-1years,150000 - 260000 INR,"|  Hi, |   |   |  We have an opportunity for front desk manager - Female & Male both are preferred. |   |   |  Work location - Various locations. |   |   |  Degree in hospitality Industry courses in mandatory",FrontOfficeExecutive|Administration|AdminExecutive|Facilities|Adminstrator|Frontoffice|Hr|OfficeAssistant|Receptionist|
Telecaller Receptionist,Lakshya,Mohali|Chandigarh,0-3years,150000 - 240000 INR,Full time office based job. Good communication skill.,Telecaller|Reception|FrontOfficeExecutive|FrontDeskExecutive|Frontoffice|FrontDesk|Receptionist|
Part Time Typing Work / Home Based Work / Freelancer / Data Entry Job,Zarbex Solutions,Madurai|Mysore,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                   Concern Person Regarding That Mr. -HR Soniya |                   Contact No.- 8447612779,Freshers|FrontDesk|FrontOfficeExecutive|Frontoffice|
Front Office,Orissa Doot Private Limited,Bhubaneswar,0-2years,Not Specified,Opening for Front office in Bhubaneswar Location,FrontOffice|FrontOfficeExecutive|FrontDeskExecutive|Receptionist|
Front Office Executive & Computer Operator,Global Transcripts,Pune,2-5years,250000 - 480000 INR,"We are looking for a full time front office executive, for one of a busy client.",FrontDeskExecutive|Frontdeskofficer|
Front Desk Executive,Sankalp Placements India LLP,Mumbai,1-2years,180000 - 200000 INR,"A Reputed, dynamic company which is a part Shipping Industry and its spares which is based out of Govandi, invites application for the following  |   |  Open Position - Front Desk Executive",FrontDeskExecutive|FrontOffice|FrontOfficeExecutive|FrontDeskOfficer|OfficeAssistant|
Front Desk Executive,Avion HR solutions,Chandigarh,0-2years,Not Specified,"A Front Office Executive controls the flow of people through the organization and ensures that all the receptionists are performing their task in a timely manner. His main duties include answering the calls, attending the guests, overseeing the front",FrontDeskExecutive|Frontoffice|Frontdeskofficer|FrontOfficeExecutive|Reception|Frontofficeassistant|Receptionist|
Front Desk Executive,Riju Karan (Proprietor Of Toyota Climax India),Goa,1-6years,250000 - 420000 INR,Required Front Desk Executive/ Receptionist.,FrontDeskExecutive|Reception|Frontdeskofficer|HousekeepingManagement|Receptionist|
Front Desk Executive,Esther Jeevitha (Proprietor of Morgan Techno India),Mumbai,0-4years,180000 - 320000 INR,Urgent Hiring For Front Desk Executive |   Freshers Can Also Apply,FrontDeskExecutive|FrontOfficeExecutive|Reception|Frontoffice|Frontdeskofficer|Frontofficeassistant|Receptionist|
Front Desk Executive,Sapna Manish Sharma (Proprietor Of JBM India),Ahmedabad,0-4years,200000 - 350000 INR,Front Desk Executives Required.,FrontDeskExecutive|FrontOfficeExecutive|Frontofficeassistant|Reception|Frontoffice|Receptionist|
Urgent Hiring For Office Receptionist,STT Solution,Delhi|Noida,0-5years,200000 - 459999 INR,Urgent Hiring For Office Receptionist,FrontOfficeExecutive|Frontoffice|FrontDesk|Reception|Telephoneoperator|FrontDeskExecutive|Receptionist|
Front Desk Executive,Subrata Mondal (Proprietor Of Cafe Industry),Hyderabad/Secunderabad,1-5years,250000 - 400000 INR,Hiring for Front Desk Executive.,FrontDeskExecutive|Frontofficeassistant|FrontOfficeExecutive|Reception|Frontoffice|Frontdeskofficer|Receptionist|
Receptionist / Front desk Executive/ Any graduate,Goodrich Gasket Private Limited,Chennai,0-2years,Not Specified,"Front desk executive/ Receptionist has to attend calls, attend customers and guests, office administration and documentation",FrontOfficeExecutive|Frontoffice|Reception|Hindi|English|Receptionist|
Hiring For Front Desk Receptionist (Eye Center Hospital ),Shreyas Group Services,Noida,1-5years,140000 - 180000 INR,"Roles and Responsibilities |    |   Handling Reception, Patient records, Attending incoming / outgoing calls; |    |   Updating records and files; |    |   Monitoring office stock of stationery, repairs etc. |    |   Any other administration related task assigned from time to time.",FrontOfficeExecutive|Frontoffice|FrontDesk|Reception|FrontDeskExecutive|HospitalAdministration|Receptionist|
Receptionist Job For Freshers In Hyderabad,Alpha Tech Solutions,Hyderabad/Secunderabad,0-2years,150000 - 250000 INR,Receptionist,FrontOfficeExecutive|FrontDeskExecutive|Reception|Receptionist|
Front Office  Front Office Executive Front Desk Executive,Sankalp Placements India LLP,NaviMumbai|Thane,1-3years,180000 - 200000 INR,A reputed company in Shipping Industry offers positions for Front Desk for their Company. |   |,FrontDeskManager|FrontOffice|FrontOfficeExecutive|FrontDeskExecutive|Frontofficeassistant|
Receptionist,STT Solution,Delhi|Noida,0-3years,190000 - 340000 INR,Receptionist,FrontOfficeExecutive|Frontoffice|FrontDesk|Reception|FrontDeskExecutive|Receptionist|
URGENTLY REQUIRED RECEPTIONIST / FRONT OFFICE EXECUTIVE (3 POSTS - FEMALE CANDIDATES ONLY) FOR AN IT,TRANSVISION SOFTWARE AND DATA SOLUTIONS PVT LTD,Bengaluru/Bangalore,0-1years,Not Specified,"URGENTLY REQUIRED RECEPTIONIST / FRONT OFFICE EXECUTIVE (3 POSTS - FEMALE CANDIDATES ONLY) FOR AN IT COMPANY LOCATED AT PEENYA-BANGALORE. THE CANDIDATE MUST BE GOOD IN SPOKEN ENGLISH, HINDI, KANNADA, PLEASANT LOOKING/ GOOD IN COMPUTERS-INTERNET......",FrontOfficeExecutive|FrontDeskExecutive|OfficeAdmin|OfficeCoordinator|OfficeAssistant|OfficeExecutive|OfficeAdministrator|Receptionist|
Front Office Executive,Orissa Doot Private Limited,Bhubaneswar,0-2years,Not Specified,Opening for Front Office Executive in Bhubaneswar location,FrontOffice|FrontDeskExecutive|Frontdeskofficer|Frontofficeassistant|Receptionist|
Front Desk / Receptionist - Females Only,Sun Technology Integrators Private Limited,Bengaluru/Bangalore,0-1years,Not Specified,"Greet and welcome guests as soon as they arrive at the office |  Direct visitors to the appropriate person and office |  Answer, screen and forward incoming phone calls |",Reception|Frontoffice|FrontDesk|FrontOfficeExecutive|FrontDeskExecutive|Receptionist|Receptionistfrontoffice|
Receptionist & Telephone Operator,Esther Jeevitha (Proprietor of Morgan Techno India),Kolkata,1-6years,220000 - 380000 INR,Requirement for the post of Receptionist & Telephone Operator.,Telephoneoperator|Reception|Frontoffice|FrontDeskExecutive|FrontDesk|FrontOfficeExecutive|Reception|Receptionist|Receptionistfrontoffice|
Front Office Executive & Computer Operator,Beechi Vidya Kendra Trust,Bengaluru/Bangalore,1-8years,100000 - 180000 INR,Looking for female Front Office Executive for Kodigehalli Location -Female,FrontOfficeExecutive|Administration|AdminExecutive|Adminstrator|Frontoffice|FrontDeskExecutive|Reception|Frontdeskofficer|Frontofficeassistant|Receptionist|
Front Desk Executive,Jupiter Consulting,Pune,1-3years,Not Specified,Hiring Female Front Desk executive for corporate office of manufacturing industry,FrontOffice|AdminExecutive|Admin|OfficeAssistant|FrontOfficeExecutive|FrontDesk|FrontDeskExecutive|Receptionist|
Receptionist  Telecaller,Lakshya,Mohali|Chandigarh,0-2years,150000 - 250000 INR,We are urgently hiring for Receptionist and telecaller. Experience and fresher both can apply.,Reception|Frontoffice|FrontDesk|FrontDeskExecutive|Telephoneoperator|FrontOfficeExecutive|Telecaller|Telesalestelemarketing|Telesales|Receptionist|
