jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Job Requirements: QC ALM, Functional testing, TEST CASE DOCUMENT",Best infosystems Ltd,Bengaluru/Bangalore|Chennai,4-7years,Not Specified,"Job Requirements: QC ALM, Functional testing, TEST CASE DOCUMENT |  REVIEW AND ANALYZE SYSTEM SPECIFICATIONS COLLABORATE WITH QA ENGINEERS TO DEVELOP EFFECTIVE STRATEGIES. |  WORKING KNOWLEDGE OF TEST MANAGEMENT SOF TWARE E G QTEST ZEPHYR AND SQL EXCELLEN |",FunctionalTesting|ManualTesting|AutomationTesting|
senoir consultant,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,3-6years,500000 - 1100000 INR,Job Description |  Added Sample Cv |  Candidate should only be from targetted companies. or similar to target companies. |  And from a retail domain only. |  KEY ACTIVITIES |  Develop in depth knowledge in customer project implementations |  Analyse and understand det,Develop|Analyse|mappingrequirements|productimplementations|Documentbusiness|gathersissues|Review|evaluatetechnical|technical&functional|Designing|PL/SQLTriggers|SQLDatamodelling|FunctionalDesign|programming|Testing|ORACLE|DataLoading|
Lead Consultant_ 9 To 12 Years_ BFSI _ Business Analysis_ Chennai,Novac Technology Solutions Private Limited,Chennai,9-12years,Not Specified,JOB DETAILS |   |  Qualification: Any Graduate |  Experience: 9 to 12 Years |  Place of Posting: Chennai |  Industry: BFSI |,GeneralInsurance|Businessprocessanalyst|BusinessAnalyst|GeneralInsuranceCompany|BusinessRequirementsGathering|NonMotorInurance|MotorInsurance|BusinessRequirementsDocument|BusinessAnalyst|Brd|Frd|FunctionalRequirementDocument|
Urgent Requirements For Engineer,Incube Placements,Chennai|Hyderabad/Secunderabad,0-1years,300000 - 400000 INR,"Preparing, scheduling, coordinating and monitoring the assigned engineering projects. Monitoring compliance to applicable codes, practices, QA/QC policies, performance standards and specifications.",Enthusiasm.Goodtechnicalabilities.Innovation.Teamworkingskills.Theabilitytoworkwellunderpressure.Themotivationtoworkextrahourswhennecessary|
SAP SD Consultant,TransAltus Management consulting Private Limited,Bengaluru/Bangalore|Chennai,4-7years,Not Specified,#TransAltus has a few openings for SAP SD Functional Consultants  |  Experience Level : 4+ Years |  Location             : Bangalore / Chennai (Remote Support) |  Job Type             : Full time with TransAltus,SAPSDFUNCTIONAL|SAPSDConsultant|FunctionalConsultant|
Peoplesoft Techno functional Consultant,Etranbiz Global Technologies Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,"Having 3 to 8 Years of extensive experience. |  • Campus ,HCM & Payroll suite. Worked on mapping functional requirements to technical requirements, troubleshooting and resolving testing Issue. |  • Worked on interface programs for migrating data from other",PeoplesoftTechnofunctionalConsultant|
Senior Dynamics CRM Techno Functional Consultant,Axtechnosoft Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-12years,800000 - 1200000 INR,Sr. Dynamics CRM Techno Functional Consultant With minimum 7 years experience. |  Location: Remote Working |,Techno|CrmTechnical|Functional|ErpFunctional|TechnoFunctional|MicrosoftSharepoint|ImplementationConsultant|
OPENINGS FOR SAP MM CONSULTANT END USER FOR FRESHER,Career Mantra Management Services,Mumbai|Pune,0-2years,20000 - 130000 INR,Should have min 2 Years Experience in SAP as End User or core team member |   Should be an engineer with Mechanical/ Electrical background with maintenance |   Should have hands on knowledge of the SAP PM Process and Transactions |   Experience : 0-2 Years |,endusersupport|SapConsultant|FunctionalConsultant|
Urgent Requirements For Production & Quality Engineer,Sharp Facility,Pune,0-5years,220000 - 330000 INR,We Have a urgent Job Opening For B.E / Diploma / Mechanical |  Production / Quality / Maintenance Engineer |  Gender - Male / Female. |  Experience : 0 to 5 |  Salary Depend on the interview |  for more details please call  |  8624006464,QualityControl|ProductionEngineer|QualityAssurance|MaintenanceEngineer|ServiceEngineer|
SAP SRM Functional Consultant,Hi Tides Consulting,Bengaluru/Bangalore,4-9years,810000 - 1250000 INR,Immediate opening for SAP SRM Functional Consultant,SapMmFunctionalConsultant|SapSrm|
