jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
GCP(Google Could Platform) Developer,Smart Search Solutions,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-10years,Not Specified,Reg: Job Opportunity for GCP Developer MOURI TECH in Hyderabad/Bangalore.,Python.|Gcp|Java|
Devops Engineer,HR Factor,Bengaluru/Bangalore|Mumbai,5-10years,600000 - 1400000 INR,	Devops Engineer with Kubernetes |  	Either AWS / Azure/ GCP/ICP experience is mandatory |  	Should Have Done Application Migration + Monitoring,Icp|Devops|Kubernetes|AWS|Azure|Gcp|
GCP SME,Apar Peopleworld Software Services Private Limited,Bengaluru/Bangalore|Chennai,10-20years,Not Specified,GCP Subject matter expert,Gcp|Etl|Dwh|Informatica|
CKAD Certified Kubernetes Application Developer,Global Technologies,Bengaluru/Bangalore|Mumbai,4-12years,Not Specified,"4+years of Experience Kubernetes |  CKAD certified Kubernetes Application Developer (mandatory).  |  Either AWS / Azure/ GCP/ICP experience is mandatory.  |  Java experience is good to have.  |  Full Stack experience is good to have (Keywords : Node.js, Angular.",Icp|Kubernetes|Devops|AWS|Azure|Gcp|
Azure Devops Architect,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore|Chennai,10-15years,Not Specified,"Encora is looking for Azure Devops Architect with 10-15 years experience in Azure Cloud, Azure Migrating On-Premises to Azure Cloud, SaaS, PaaS, IaaS, Azure portal, Azure Web App, Micro services, Azure function, Azure SQL, Azure Devops- Docker, Kuber",Iaas|Saas|Mvc|Sql|AWS|Gcp|Azure|Oracle|
AZURE INFRA- CLOUD ENGINEER,Best infosystems Ltd,Bengaluru/Bangalore,2-5years,Not Specified,Looking for AZURE INFRA- CLOUD ENGINEER,Arm|Azure|AWS|Gcp|Sql|Oracle|
Immediate C2H Opening for GCP Data Engineers at Bangalore.,BR Raysoft Global Private Limited,Bengaluru/Bangalore,5-15years,Not Specified,Immediate C2H Opening for GCP Data Engineers at Bangalore.,Gcp|
Data Engineer / Data Scientist,Arocom IT Solutions Private Limited,Remote,4-8years,Not Specified,Looking for Data Engineer / Data Scientist,Genetics|Genomics|DataAnalysis|Python|AwsCloud|Bigquery|AWS|Gcp|
Business Intelligence Partner,Randstad Offshore Services Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"The mission of the business intelligence team is to provide visibility, transparency, and guidance |  regarding the quantity and quality of results, activities, financial KPIs, and leading indicators to easily |  identify trends aimed data-based decision.",businessintelligence|Analyst|Msp|Rpo|BI|Domo|Gcp|
Cloud Architect,Econz IT Services Private Limited,Bengaluru/Bangalore,4-8years,Not Specified,"Be the first one to experiment on new-age cloud offerings, help define the best practice as a thought leader for cloud, automation Dev-Ops, be a solution visionary and technology expert across multiple channels. |",Gcp|CloudArchitect|
Golang Developer,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,4-8years,Not Specified,Looking for Golang Developer,AzureGCP|NoSQLdatabase|AWS|Kubernetes|Java|Golang|
Python Developer,Cloud Kinetics Solutions Pte Ltd,Chennai|Hyderabad/Secunderabad,3-6years,600000 - 1100000 INR,"Python Developer Profile -Job Location: Work From Home / Remote (Post lockdown, can connect from Chennai/Hyderabad office) |  Preferred Experience: 3+ Years. Looking for Experienced Candidates only. |",AWS|Azure|Gcp|Sql|Nosql|
Python Developer,Cloud Kinetics Solutions Pte Ltd,Chennai|Hyderabad/Secunderabad,3-5years,Not Specified,Product Engineer: |  We are looking for a Product Engineer to join our engineering team and help us develop and maintain various software products. Product Engineer responsibilities include participating in all phases of the software development lifecyc,Python|Gcp|Azure|AWS|Oops|
Data Engineer - Bigdata,Provizor It services Private Limited,Bengaluru/Bangalore|Mumbai,3-6years,Not Specified,Looking for Data Engineer - Bigdata,Warehouse|Database|AWS|Gcp|Azure|BigData|Python|Scala|Java|
Cloud Engineer,Saransh Software Solutions Private Limited,Hyderabad/Secunderabad|Pune,4-8years,Not Specified,Immediate requirement for Cloud Data Engineer |  Experience: 4-8 Years |  Duration: Permanent/Fulltime |  Location: Pune/Hyderabad/Chennai/Bangalore/Mumbai |  Key Skills: Java+Spark+AWS/GCP |  Notice: Immediate to 30 Days,Spark|Scala|AWS|Java|AWS|Gcp|
Data Engineer,Provizor It services Private Limited,Bengaluru/Bangalore|Mumbai,3-6years,Not Specified,Looking for Data Engineer,OLAPDeveloper|DataEngineer|Oracle|Sql|DB2|AWS|Gcp|Azure|
"Site Reliability Engineer/ DevOps Engineer - WFH, Call Now - 8860618858",Jobs Expert Private Limited,Pune,5-15years,Not Specified,"Site Reliability Engineer / DevOps Engineer - WFH, Call Now - 8860618858",SiteReliabilityEngineer|WORKFROMHOME|AWS|Gcp|
.NET TECHNICAL ARCHITECT,Best infosystems Ltd,Pune,12-16years,Not Specified,Looking for .NET TECHNICAL ARCHITECT,.NET|Python|Java|Azure|AWS|Gcp|BigData|Java|DotNet|
Sr. Change Manager,ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Bengaluru/Bangalore,3-10years,Not Specified,3+ years of relevant experience managing a Global change management process,ChangeManager|Changemanagement|cloud|AWS|Gcp|
Big Data Developer,Saransh Software Solutions Private Limited,Pune,4-8years,Not Specified,"We have immediate requirement for Big Data Developer |  Experience: 4-8 Years |  Location: Pune (Initially Remote/WFH) |  Notice: Immediate to 30 Days |  Duration: Fulltime/Permanent |  Key skills: (Spark+Java+GCP) or (Spark+Python), (Java/Scala/Python). |",Java|Spark|Python|Hadoop|Hive|Gcp|AWS|
TECHNICAL LEAD,Best infosystems Ltd,Bengaluru/Bangalore,5-9years,Not Specified,Java technology stack NoSQL database such as Couchbase MongoDB Web Services XML JSON GCP certification 6 Years,Couchbase|MongoDB|WebServices|Xml|Json|Gcp|
"Python Developers - Cloud environment (Azure , AWS or GCP)",Maxo Tech Solutions LLC,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-11years,Not Specified,"Urgent requirement for Python Developers - Cloud environment (Azure , AWS or GCP) for MNC",databricks|parquet|Delta|synapse|bigquery|PythonDeveloper|Azure|AWS|Gcp|Github|Csv|Avro|Redshift|Pytest|Sql|
DEVOPS - TECHNICAL SPECIALIST / LEAD,Best infosystems Ltd,Bengaluru/Bangalore,5-7years,Not Specified,Good understanding of CICD pipeline and build tools,CI/CD|CloudBuild|CodeFresh|AWSCodePipeline|Devops|Kubernetes|Gcp|
Devops Engineer,Evoluer Consulting Services,Bengaluru/Bangalore,3-5years,150000 - 500000 INR,"Experience in Python, Groovy scripting, Kubernetes a must. Experience / exposure to cloud (GCP/AWS) important. Should have exposure to Linux environment.",LinuxAdm|GCP/AWS|Python/Groovy|LinuxAdministration|Kubernetes|
