jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
HIRING FOR US IT RECRUITMENT JOBS FOR FRESHERS@radhika/whatsaap@7330870865,Simba Staffing Private Limited,Hyderabad/Secunderabad,0-2years,Not Specified,•	Excellent work culture(MNC) |     •	Cab available  |     •	10% flat hike every six month. |     •	Food facilities |     •	Insurance  |     •	Salaries will be 15K/- to 50K/ Monthly (Attractive Incentives |,GoodCommunicationSkills|
Process Associate IR Operation,Insigma Technologies Private Limited,Nagercoil,0-5years,Not Specified,Maxerience highly believes on Artificial Intelligence & Internet-of-Things based systems for the digital world. We are seeking for a reliable and organized person to join us as a Process associate.,ComputerKnowledge|GoodCommunication|
URGENT OPENING FOR DIPLOMA ELECTRICAL ENGINEER IN SAUDI  ARABIA,I Square Consultancy,Maldives,4-7years,Not Specified,SALARY 1500 RIYAL,Goodcommunicationskillmusthave|
TRANSPORT ASSISTANT,Parekh Textiles Private Limited,Nagpur,0-2years,10000 - 120000 INR,"HANDLING TRANSPORT OPERATION SUCH AS LOADING,UNLOADING,CO-ORDINATE WITH TRANSPORTER ,HIRING LORRY FROM  THE MARKET,FREIGHT NEGOTIATION, CO-ORDINATE WITH DRIVER ETC",GOODCOMMUNICATIONANDFREIGHTNEGOTIATION|
URGENT OPENING FOR ENGLISH TEACHER (MALE AND FEMALE )IN MALDIVES,I Square Consultancy,Maldives,3-6years,Not Specified,Looking for english teacher in maldives |  Salary 600 usd,goodcommunicationskillmusthave|
Customer Service Executive,Select Engineering & Systems,Hyderabad/Secunderabad,0-1years,Not Specified,"Making outbound and inbound calls to the customers, follow up with the payments and resolving issues by assigning a technician.",goodcommunicationandtelephonicskills|
URGENT OPENING FOR PCM WELDER IN SINAPORE,I Square Consultancy,Singapore,3-6years,Not Specified,Looking for PCM Welder for Singapore |  Salary 23 to 28 sgd per day,GoodCommunicationSkill|
PRIVET BANK STAFF SELECTION NOTICE - 2021 (FRESHER),Career Development Management,Kolkata|Hooghly,Fresher,Not Specified,CORPORATE BANK STAFF SELECTION NOTICE 2021 |  Back Office Executive. |  KYC Department Officer. |  Branch Banking Executive |  KYC Verification |  CSO |  OE,GoodCommunicationSkill|
URGENT OPENING FOR ROLLER OPERATOR/ASPHALT PLANT OPERATOR/MECHANIC/RAKEMAN IN MALDIVES,I Square Consultancy,Maldives,3-7years,Not Specified,looking for below vacancy for maldives |  Roller Operator |  Asphalt Plant Opertor |  Automobile Mechanic |  Rakemen |   |   |  Salary 695 usd for in each position |,GoodCommunicationSkill|
URGENT OPENING FOR SINGAPORE S PASS AND E PASS (TRANSFER CANDIDATE ONLY),I Square Consultancy,Singapore,4-6years,Not Specified,Looking for following  candidates,GoodCommunicationSkill|
