jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Graphic designer,ASquare Groups,Chennai,1-2years,Not Specified,One year experience female graphic designer wanted for Ecommerce industry,Photoshop|Illustrator|CorelDraw|Indesign|Flash|
Graphic Designer,Parul University,Vadodara,2-4years,200000 - 350000 INR,Conceptualize visuals based on requirements,GraphicDesigner|Graphic|Photoshop|Visualiser|Designer|Creative|
Graphic Designer,Monali Prashant Yeole (proprietor of A Plus Consultants),Noida,1-3years,100000 - 400000 INR,"Graphic designer with minimum 2 years experience working knowledge of CSS,HTML,adobe software, premier pro and after effect",CorelDraw|AfterEffects|PremierPro|AdobePhotoshop|AdobeIllustrator|HTML|CSS|
Graphic Designer,PayGate India Private Limited,Pune,0-2years,Not Specified,"Job location: Nigdi, Pune |  Experience' 0-2 yrs |  Immediate joining |  No Work from Home |   |",GraphicDesigner|Graphics|WebDesigner|GraphicDesigning|
Graphic Designer,Job House,Thane,2-4years,Not Specified,"visualizing and creating graphics including illustrations, logos, layouts and photos. You’ll be the one to shape the visual aspects of social media post & videos ,  product presentation, corporate presentation, more.",visualizingandcreatinggraphicsincludingillustrations|logos|layoutsandphotos.You’llbetheonetoshapethevisualaspectsofsocialmediapost&videos|productpresentation|CorporatePresentations|
"Web Designer Web Developers PHP developer,  Graphic Designer",Pinnacle HRM,Bengaluru/Bangalore|Delhi,0-5years,350000 - 650000 INR,"Web Designer Web Developers PHP developer,  Graphic Designer",WebDevelopers|GraphicDesigner|WebDesigner|PHPdeveloper|WebDesigning|GraphiCDesigning|
Graphic Designer,Uniquebazar.in,Mumbai|Jaipur,1-11years,Not Specified,"graphice designer in diffrent industries,must have html knowledge",GraphicDesigner|HTML|
Graphic Designer,Asmacs,Bengaluru/Bangalore,2-4years,500000 - 800000 INR,"Graphic Designer (2-3yrs)- strong in videos/social media calendar development,",GraphicDesigner|Illustrator|Photoshop|Aftereffects|HTML|CSS|
Graphic Designer,Pear Visa Immigration Services Private Limited,Noida,0-1years,100000 - 150000 INR,"We are a startup based in Noida and are looking for Graphic Designer with knowledge Photoshop, Adobe Illustrator, and hands on in Adobe Premier, and Aftereffects .. Your primary focus will be the improving and routing designing work. |",GraphicDesigner|IllustratorPhotoshop|AdobeAfterEffects|
"Graphic Designer, Accountant",Career Foresight Hr Solutions Llp,Kuwait,5-10years,Not Specified,"Should have minimum 5 years experience as a Graphic Designer, Accountant",Shouldhaveminimum5yearsexperienceasaGraphicDesigner|Accountant|
Graphic Designer Required For CANADA & AUSTRALIA,Indian Academy Education Trust,Australia|Canada,2-7years,3250000 - 4550000 INR,"Study design briefs and determine requirements. |  Illustrating concepts by designing examples of art arrangement, size, type size and style & submitting them for approval. |  Test graphics across various media. |  Amend designs after feedback.",Illustrator|guidesigner|graphictools|GraphicDesigner|Desing|GraphicDesigner|CorelDraw|Graphics|Photoshop|UIdesinger|webdesinger|dreamware|Gui|HTML|graphicdesigning|webdesigning|JavaScript|UiDevelopment|WebUi|UI|CSS|
Graphic Designer,Orissa Doot Private Limited,Bengaluru/Bangalore,4-8years,600000 - 800000 INR,"•	Outstanding Adobe creative suite skills in Photoshop, Illustrator & InDesign  |  •	Strong hands-on experience in creation of print media using Adobe InDesign (mandatory) – from conception to development to creation of print files |",AdobeFlash|Indesign|AfterEffects|AdobePhotoshop|
Graphic Designer,SnapHunt Pte Ltd,Bengaluru/Bangalore,1-5years,Not Specified,We are seeking an enthusiastic Graphic Designers with relevant qualifications and basic experience who will be designing a wide variety of creatives across digital and offline media.,GraphicDesigner|Photoshop|InDesignQuark|Illustrator|GraphicDesigning|GraphicDesign|
