jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"JAVA SELENIUM, REST API.REST ASSURED",Best infosystems Ltd,Bengaluru/Bangalore,4-5years,Not Specified,"JAVA SELENIUM, REST API.REST ASSURED",Selenium|Groovy|
Backend Software Engineer Deployment Automation,Cloud Kinetics Solutions Pte Ltd,Remote,4-6years,Not Specified,"Experience with ONE of the following programming languages: Java, Groovy, Kotlin (as backend programming NOT mobile), Go",Go|Java|Groovy|Kotlin|
QA Automation Engineer,Ikrux Solutions (Opc) Private Limited,Pune,4-8years,Not Specified,QA Automation hands on experience |  Payments messaging functional knowledge,QaAutomation|Groovy|
Senior Java Developer,Beats Jobs Private Limited,Chennai,5-7years,1000000 - 1400000 INR,We are looking for Mid/Senior level Java developer to work on features in our projects.,Java|Groovy|Grails|SpringFramework|MongoDB|Mysql|Xmpp|Jdk|jQuery|
Java Developer / Senior Java Developer,Global Technologies,Bengaluru/Bangalore,3-12years,Not Specified,"4+years of experience in software development using Java and J2ee ,related technologies. |    Working experience or familiarity with Spring Boot, REST APIs, ORM frameworks and Microservices are highly appreciated. |    Hands-on experience in J2EE |",Java|J2ee|Spring|REST|SpringBoot|GroovyOnGrails|RESTful|
Devops Engineer,Evoluer Consulting Services,Bengaluru/Bangalore,3-5years,150000 - 500000 INR,"Experience in Python, Groovy scripting, Kubernetes a must. Experience / exposure to cloud (GCP/AWS) important. Should have exposure to Linux environment.",LinuxAdm|GCP/AWS|Python/Groovy|LinuxAdministration|Kubernetes|
Salesforce QA - Automation Testing,3i Infotech Limited,Bengaluru/Bangalore|Mumbai,4-12years,Not Specified,Role - Salesforce QA - Automation Testing |   |  Location - Pan India,CPQCloud|SalesforceAutomationTesting|UiAutomation|ApiAutomation|Selenium|Tosca|Selenium|SalesforceTesting|Groovy|Shell|Cucumber|Testng|Appium|
DevOps Engineer with Jenkins,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,Very good understanding of enterprise CICD ecosystem and processes.,GroovyDSL|Jenkins|Devops|Ansible|Terraform|Kubernetes|Docker|Shell|Python|
Java Developer with Groovy,TEKsystem,Bengaluru/Bangalore|Noida,5-10years,Not Specified,"The ideal candidate must have expertise coding in Java, and experience coding with Groovy.",Java|Groovy|Sql|
DevOps Engineer with Jenkins,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,Very good understanding of enterprise CICD ecosystem and processes.,GroovyDSL|Jenkins|Devops|Ansible|Terraform|Kubernetes|Docker|Shell|Python|
Java Developer / Senior Java Developer,Global Technologies,Bengaluru/Bangalore,3-10years,Not Specified,"3+years of experience in software development using Java and J2ee ,related technologies. |  Working experience or familiarity with Spring Boot, REST APIs, ORM frameworks and Microservices are highly appreciated. |  Hands-on experience in J2EE |",Java|J2ee|Spring|Rest|RESTful|SpringBoot|Mvc|GroovyOnGrails|
Senior Software Developer,Global Technologies,Bengaluru/Bangalore,5-12years,Not Specified,"5+ years of experience in Software Development using Java,Springboot,REST Services |  Extensive experience in creating usable, modular and robust ReSTful API layer. |  Hands on experience in designing and developing applications using Springboot/Grails/Pla",Java|Springboot|RestServices|Restful|Api|Grails|Groovy|
Software Developer,Brain Management Consultants India Private Limited,Delhi,5-7years,Not Specified,"Roles: |  Java web developers would be highly involved with testing, debugging, and deploying server-side code and technology.  |  We need candidate who will have front end and backend knowledge.  Candidate should have knowledge on server side technology i",Java|PaymentGateways|Groovy|
Devops Engineer,Sonus Networks India Pvt Ltd,Bengaluru/Bangalore,3-5years,Not Specified,Looking out for candidate with 3-5years experience in Devops Team,CI-CD|Python|Bash|Groovy|Kubernetes|Terraform|Jenkins|
Web Developers Java Payment Gateways Groovy,Brain Management Consultants India Private Limited,Delhi,5-6years,Not Specified,"Java web developers would be highly involved with testing, debugging, and deploying server-side code and technology.  |  We need candidate who will have front end and backend knowledge.  Candidate should have knowledge on server side technology.",WebDevelopers|Java|Groovy|PaymentGateways|
Automation Engineer,URS Systems Private Limited,Gurgaon/Gurugram|Noida,3-8years,Not Specified,Looking For Automation Engineer,Java|Groovy|Javascript|Extjs|Multithreading|JIRA|UNIX|Linux|Sql|
"Senior Software Engineer-Java , Groovy",HTC Global Services (India) Private Limited,Bengaluru/Bangalore|Chennai,4-14years,Not Specified,"Java, JavaScript, Angular, Groovy with Spring Framework.  Experience with SQL.  Experience with REST API.",Java|Groovy|Javascript|AngularJs|REST|Sql|
Front End Development Java Payment Gateways Groovy Back End,Brain Management Consultants India Private Limited,Delhi,5-6years,Not Specified,"Java web developers would be highly involved with testing, debugging, and deploying server-side code and technology.  |  We need candidate who will have front end and backend knowledge.  Candidate should have knowledge on server side technology",BackEnd|FrontEndDevelopment|Java|PaymentGateways|Groovy|
Telemetry Solution Developer(Python/C++/Groovy),Grace System Technology Labs (India) Pvt.Ltd,Bengaluru/Bangalore,3-8years,Not Specified,Immediate opening for our valuable product based client project-Bangalore,telemetry|FullStack|Devops|aws|
Oracle Agile PLM Engineer,Creeno Solutions Private Limited,Hyderabad/Secunderabad,5-9years,1300000 - 1700000 INR,One of the leading US Based R&D firm is looking out for Oracle Agile PLM Engineer for their Technology Centre at Hyderabad. Please embark with us if it appeals relevant to you.,9.3.x|AgileSDK|JavaPLM|PQM|Pc|PG&C|Agile9.3.x|Acs|OracleAgilePlm|Groovy|Wf|
