jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
GST & ITR Executive,Shaifali Rolls Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-3years,320000 - 509999 INR,we are hiring |,ITR|Gst|BalanceSheet|Profit&Loss|FinalisationOfAccounts|TrialBalance|Reconciliation|GeneralLedgerAccounting|
Accountant,Renovision Automation Services Private Limited,Gandhidham,5-10years,360000 - 400000 INR,In charge of Plant accounts,Gst|
GST Practitioner / GST Support,Rudraksha Fire Security Services,Noida,3-6years,200000 - 800000 INR,"Required candidates 3+Yrs Exp in GST Practitioner Certified with good Comm. Skills |  Provide Support in GST related quarries via Calls, Mails, Chats Process |  Calling Process with 24*7 Shifts |  working Knowledge in Ticketing Tools & SLA |   |  Location : G.Noida",GSTsupport|GSTCalling|GSTCertified|GSTPractitioner|GSTVoicesupport|
Accountant,Green Window Consultancy,Delhi|Noida,1-11years,250000 - 650000 INR,Urgently required Male/Female in Delhi NCR Location having Experience Min 01 year to 15 Year,TallyErp|Busy|Gst|Tds|
Sr. Account Manager,Monster India,Kolkata,5-6years,250000 - 250000 INR,"5years experience, C.A Intern, C.A Final, experience in GST, TAX, AUDIT",Gst|Erp|Tally|
Reqd Semi CA & Bcom for Audit GST in a PAN India based CA firm,Metro Jobs Consultants,MumbaiCity,2-3years,Not Specified,CA finalist or Graduates required for Audit GST profile in a CA Firm,Gst|GSTAudit|StatutoryAudit|GSTCompliance|GSTLedger|
Account Manager,Lakshya,Delhi,5-10years,450000 - 650000 INR,"ndependent all work related to GST & GST Return Filling E-way bill Generate (GSTR1,GSTR2 andGSTR3B), DVAT & DVAT Return Filling, TDS & TDS Return Filling, day to day accounting in Tally ERP9, Audit, Management Information System(MIS)",Gst|Vat|TdsReturn|
Accounts Executive Accountant,K21 Consulting,Mohali|Chandigarh,0-3years,120000 - 280000 INR,Full time office based job. Good Knowledge of Tally and Excel.,Accountant|Accounts|Gst|Tds|AccountsTally|tally|Excel|Erp|
Accountant,Sigma Consultancy Services,Chennai,5-7years,220000 - 330000 INR,"•Examine financial statements to ensure that they are accurate and comply with laws and regulations |  •Compute taxes owed, prepare tax returns, and ensure that taxes are paid properly and on time |  •Organize and maintain financial records",Tds|gstfilling|Tally|
Sr Manager - Finance & Accounts,TechEra IT Consulting Private Limited,Gurgaon/Gurugram,5-10years,700000 - 1500000 INR,'Candidate should have working knowledge ofGST and IND-AS |  Should be computer savvy and working knowledge of MS Office and Oracle11i ERP',Gst|Mis|Finance|Accounting|Taxation|Auditing|GeneralLedger|Oracle|Erp|
Accounts executive - Hyderabad- Full Time.,Green Window Consultancy,Hyderabad/Secunderabad,2-4years,Not Specified,Looking for An Account executive Having domain experience from IT/Software/Consulting Background. as this role involves interaction with Major IT Clients.,AccountsExecutive|Accounting|Tds|Brs|Gst|Tax|StatutoryCompliance|InvoiceProcessing|
Senior Accountant,Orissa Doot Private Limited,Jamshedpur,3-5years,180000 - 360000 INR,"Senior Accountant responsibilities include reconciling account balances and bank statements, maintaining general ledger and preparing month-end close procedures. Exp:- 3+ yrs with Experience in ERP / TALLY. Knowledge in stock maintenance 1+ yrs exp.",Accounting|Taxation|ROCFiling|I.TAX|Gst|TdsReturn|
Taxation Executive,Comfyi Solution,Mumbai,5-8years,Not Specified,We are looking for an executive with expertise in taxation.,"Taxation|Filing|""Directtax""|""Indirecttax""|""GSTaudit""|""Internalaudit""|GSTShareJobLinkonSocialMedia|"
"Hiring For Billing Operator (Tally, Busy software )",VHB Medisciences Limited,Delhi,2-6years,130000 - 240000 INR,Handle Billing Make Invoice Manage Regularly Production Details Manage All Employee Details And All Sale & Purchase Details .... |,Busy|gstbilling|Stock|Purchase|invoice|AccountAssistant|tally|Excel|MsExcel|
Accounts Head,J.K. Sarawgi And Company,OtherIndia,0-3years,Not Specified,Opening for Accounts Head  in Bhubaneswar  Location,AccountsExecutive|Accountant|Gst|Accountant|Tally|
