jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"We are hiring for Ground Staff, Air Ticketing Executive & Cabin Crew",Fast Hirer,Ahmedabad|Bengaluru/Bangalore,0-5years,180000 - 650000 INR,"Hiring for Ground Staff, Air Ticketing Executive & Cabin Crew: |      |     o Job Role : Ground / Airport Station Attendant. |     o Salary : INR 15,000 to 60,000. |     o We are hiring Fresher also. |     o Ground Staff. |     o Air Ticketing Executive. |     o Cabin Crew.",GroundStaff|CabinCrew|Aviation|GuestRelationExecutive|Airhostess|Hostess|Sr.CabinCrew|GuestRelation|
Airport & Airlines Jobs/Ground Staff/Cabin Crew/Air Ticketing /Air Hostess,Fast Hirer,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-5years,Not Specified,We are one the fastest Growing start-up.,GroundStaff|CabinCrew|Airhostess|Sr.CabinCrew|GuestRelationExecutive|GuestRelation|
Airport & Airlines Jobs/Ground Staff/Cabin Crew/Air Ticketing /Air Hostess,Magnify Placements,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-5years,Not Specified,We are one the fastest Growing start-up.,GroundStaff|CabinCrew|Airhostess|Sr.CabinCrew|GuestRelationExecutive|GuestRelation|
"Urgent Hiring For Airport job, cabin Crew,  Ground Staff, Security Executives",Magnify Placements,Bengaluru/Bangalore|Delhi,0-2years,160000 - 690000 INR,"We are looking for energetic Ground Staff to be responsible for administrative duties and communication with passengers. Your duties will include welcoming passengers, providing information, assisting passengers who are disabled or are traveling with",Aviation|TCAS|HotelManagement|Restaurant|Bhm|Hospitality|Mall|Resort|Steward|Hospitality|Hotel|Resorts|Travel|Airlines|Restaurants|GroundStaff|CabinCrew|GuestRelationExecutive|Airhostess|Hostess|Sr.CabinCrew|GuestRelation|RestaurantManager|
Urgent  hiring for ground staff,Magnify Placements,Bengaluru/Bangalore|Delhi,0-5years,270000 - 670000 INR,"We are looking for energetic Ground Staff to be responsible for administrative duties and communication with passengers. Your duties will include welcoming passengers, providing information, assisting passengers who are disabled or are traveling with",GroundStaff|CabinCrew|GuestRelation|GuestRelationExecutive|Airhostess|Hostess|Aviation|Sr.CabinCrew|
Ground staff/ air ticketing / aircraft jobs / airlines / Call-9520909122,Magnify Placements,Bengaluru/Bangalore|Chennai,0-3years,260000 - 540000 INR,We are hiring for Ground staff & air ticketing job/aircraft,AirHostess|CabinCrew|ocean|SR.CabinCrew|GroundStaff|GuestRelationExecutive|Hostess|GuestRelation|AirtimeSales|MaintenanceExecutive|AviationSecurity|Aviation/Aerospace|MaintenanceEngineer|ServiceEngineer|
Ground staff & air ticketing job/aircraft call on 9520909122,Magnify Placements,Bengaluru/Bangalore|Cochin/Kochi/Ernakulam,0-5years,260000 - 540000 INR,We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer,AirHostess|CabinCrew|SR.CabinCrew|GuestServiceAttendant|GroundStaff|GuestRelationExecutive|Airhostess|Hostess|Aviation|GuestRelation|AviationSecurity|GroundServiceAssistant|Frontoffice|FrontOfficeExecutive|CabinCrew|Receptionist|
Ground staff & air ticketing job/aircraft call on 9520909122,Magnify Placements,Bengaluru/Bangalore|Cochin/Kochi/Ernakulam,0-1years,260000 - 540000 INR,We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer,AirHostess|CabinCrew|SR.CabinCrew|GuestServiceAttendant|GroundStaff|GuestRelationExecutive|Airhostess|Hostess|Aviation|GuestRelation|AviationSecurity|GroundServiceAssistant|Frontoffice|FrontOfficeExecutive|CabinCrew|Receptionist|
"Ground Staff, Back Office, Air Ticketing And Cabin Crew- Call 9520909122",H.J Solutions,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-1years,320000 - 560000 INR,"Ground Staff, Back Office, Air Ticketing And Cabin Crew- Call 9520909122",AirportRepresentative|GroundStaff|CabinCrew|GuestRelationExecutive|Airhostess|Hostess|Sr.CabinCrew|Aviation|GuestRelation|CabinCrewActivities|AviationSecurity|FrontDesk|GuestService|AirportPlanning|GroundServiceAssistant|Receptionist|
Ground staff & air ticketing job/aircraft call on 9520909122,Magnify Placements,Bengaluru/Bangalore|Chennai,0-3years,330000 - 550000 INR,We are hiring for Ground staff & air ticketing job,AirHostess|CabinCrew|SR.CabinCrew|GroundStaff|GuestRelationExecutive|Airhostess|GuestRelation|AirTicketing|CabinAttendant|Pillers|OuterBody|AirportRepresentative|GroundServiceAssistant|
"Ground Staff ,Back Office, Air Ticketing And Cabin Crew Call 9520909122",H.J Solutions,Bhubaneswar,0-3years,320000 - 560000 INR,"We are hiring for Ground Staff,Back Office,Air Ticketing And Cabin Crew",AirportRepresentative|GroundStaff|CabinCrew|GuestRelationExecutive|Airhostess|Hostess|Sr.CabinCrew|Aviation|GuestRelation|CabinCrewActivities|AviationSecurity|FrontDesk|GuestService|AirportPlanning|GroundServiceAssistant|Receptionist|
ground staff  /air ticketing / Cabin Crew/ urgent hiring  for call on (7303016591),H.J Solutions,Coimbatore|Visakhapatnam,0-5years,Not Specified,|                                  |,
"Ground Staff, Back Office and Admin Profile Call  9520909122",Power Career Solutions,Chennai|Hubli,0-4years,240000 - 440000 INR,"We are hiring for Ground Staff,Back Office and Admin Profile",AirHostess|CabinCrew|SR.CabinCrew|CabinCrew|GroundStaff|GuestRelationExecutive|Aviation|AirConditioning|
ground staff  /air ticketing / Cabin Crew/ urgent hiring  for call on (9990286443),Future Solution,Patna|Tuticorin,0-5years,Not Specified,"Job Description |  Responsibilities and Duties |  Hiring Company: Indigo , Spice jet ,Qatar airlines etc |  • Reservation & Ticketing (Manual & Computerize both). |  • Handel Passenger Queries and address passengers grievance |  • Handel day to day operational task",AviationEngineer|AviationSecurity|AviationManageme|GroundStaff|CabinCrew|GuestRelationExecutive|Airhostess|Hostess|GuestRelation|Sr.CabinCrew|CabinCrew|AirTicketingExecutive|AircraftAnalysis|
ground staff  /air ticketing / Cabin Crew/ urgent hiring  for call on (9990286443),Magnify Placements,Patna|Tuticorin,0-5years,Not Specified,|                                  |,
ground staff  /air ticketing / Cabin Crew/ urgent hiring  for call on (9990286443),Future Solution,Jammu|Bhubaneswar,0-5years,Not Specified,|                                  |,
Ground Staff/Cabin Crew/Air Ticketing /Air Hostess (9506378150),Fast Hirer,Pune|Jaipur,0-3years,330000 - 740000 INR,Hiring for Ground Staff/Cabin Crew/Air Ticketing /Air Hostess |   Qualification-12th and Graduate.,GroundStaff|GuestRelationExecutive|Airhostess|Aviation|Sr.CabinCrew|GuestRelation|CabinCrew|AirTicketing|Hostess|AirTicketingExecutive|CrewManagement|SafetyEngineer|SafetySupervisor|SafetyOfficer|
Call on 7838529035fresher /Airport Jobs/Ground staff/ cabin crew/ air ticketing/ aircraft/ Air cargo,Power Career Solutions,Mumbai|Agartala,0-5years,Not Specified,"Job Description |  Responsibilities and Duties |  Hiring Company: Indigo , Spice jet ,Qatar airlines etc |  • Reservation & Ticketing (Manual & Computerize both). |  • Handel Passenger Queries and address passengers grievance |  • Handel day to day operational task",AviationEngineer|AviationSecurity|AviationManagement|AviationFireFighter|AviationEngineering|AirportRepresentative|Airportengineering|GroundStaff|CabinCrew|GuestRelationExecutive|Airhostess|Hostess|GuestRelation|Sr.CabinCrew|CabinCrew|
Ground staff & Air ticketing,H.J Solutions,Kolhapur|Ujjain,Fresher,320000 - 440000 INR,"Dear Candidate, Vacancy for pan India airport Hiring Company: Indigo, Spice jet, air India hiring for Ground Staff & Air ticketing immediate basis. Interested candidate needs to apply for us to reach them. Contact HR. Ishika Aggarwal - 07618965343",Freshers|Graduates|GraduateFresher|GroundStaff|CabinCrew|GuestRelation|GuestRelationExecutive|Airhostess|Hostess|Aviation|Sr.CabinCrew|AirTicketingExecutive|
