jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Hardware Sales Executive,Team Management Services,Pune,5-7years,Not Specified,Deal in day-to-day customer selling for various hardware products,DirectSales|Hardware|IT|SalesExecutive|Desktop|Laptop|
Hardware Engineer Hardware Design,Enroll N Pro,Delhi,3-8years,Not Specified,We have openings in Delhi location |  B.Tech with 4-6 years experience in hardware product design & development,HardwareEngineer|HardwareDesign|ProductDevelopment|Microcontroller|Analog|PowerSupplyDesign|Microprocessors|Iot|
Embedded Hardware Engineer / embedded hardware / embedded software engineer,Universal Executive Search,Ahmedabad,2-8years,600000 - 800000 INR,Embedded Hardware Engineer / embedded hardware / embedded software engineer / PCB layout / PCB design / Embedded C,EmbeddedHardwareEngineer/embeddedhardware/embeddedsoftwareengineer|
Hardware Engineer,Shakun Sharma (Proprietor Of FM Industry),Jaipur,0-1years,210000 - 350000 INR,Urgently Hiring For Hardware Engineer  |  Freshers Can Also Apply,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|Networking|
Hardware and Networking maintenance,Vishvas Gopal Navare ( Proprietor of Vishvas Management Consultants ),NaviMumbai,0-1years,120000 - 180000 INR,"1.deal with hardware components (chips, computer systems, motherboard, processor, RAM, circuit boards, modems, external hard disks, printers, keyboard), servers,laptops. |   2.Install antivirus, take daily backup, coordinate with users & outside expert",Juniorsystemadministrator|panvel|newpanvel|kamothe|kalamboliarea.|HardwareAndNetworking|NetworkAdministrator|SystemAdministrator|
Computer Hardware Engineer,Orissa Doot Private Limited,Bhubaneswar,1-3years,Not Specified,Opening for Computer Hardware Engineer in Bhubaneswar location,HardwareEngineer|PrinterEngineer|Networkengineer|DesktopEngineer|
Hardware & Networking,Jyoti Nirav Bhalerao (Proprietor Of Unique Jobs),Nagpur,0-5years,150000 - 280000 INR,We are hiring to candidate of Hardware & Networking urgently-,Hardware&Networking|
Product Manager (Semiconductor / hardware /networking),Marvell India Private Limited,Pune,6-12years,Not Specified,Looking for Product Manager,Semiconductor|HardwareEngineer|ProductManager|Networking|
Hardware Lead,Selligence Solutions Private Limited,Pune,6-8years,Not Specified,"Minimum 6 years preferably from Embedded systems, BE/ME/M.tech/Msc Electronics",EmbeddedSystems|
Hardware Engineer (Freshers) Job In Kolkata,Alpha Tech Solutions,Kolkata,0-2years,150000 - 250000 INR,Hardware Engineer,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|
Hardware Engineer (Freshers) Job In Delhi,Alpha Tech Solutions,Delhi,0-2years,150000 - 250000 INR,Hardware Engineer,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|
Embedded Hardware Designer,Selligence Solutions Private Limited,Pune,4-6years,Not Specified,"Should have good hardware design and development knowledge (requirements definition, design, reviews, testing etc)",HighspeedinterfaceslikeDDR3|HDMI|usb3.0|Schematic&PCBdesign|Digital|Analogcircuitdesign.|Sata|
Hardware and Networking,Fazo Software,Chennai,0-1years,220000 - 509999 INR,Hardware and Networking |  fresher |  CCNA and Hardware Certified. |  Salary 15000 - 20000,HardwareEngineer|DesktopSupportEngineer|Sysadmin|Administration|DesktopEngineer|CustomerSupportEngineer|Networkengineer|Networking|SystemAdmin|Systemadministrator|NetworkAdmin|SystemEngineer|Windowsadmin|NetworkAdministrator|ITSupport|
IT Hardware Sales,Stepup HR Solution,Delhi,1-10years,Not Specified,BUSINESS DEVELOPMENT EXECUTIVE (IT Field Sales + Inside Sales)  |,ComputerSales|CorporateSales|BusinessDevelopment|Sales|ItHardwareSales|ItSales|
Hardware Engineer (Freshers) Job In Bangalore,Alpha Tech Solutions,Bengaluru/Bangalore,0-2years,150000 - 250000 INR,Hardware Engineer,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|
Hiring IT sales manager ( software and Hardware product),Global Multilingual Private limited,Thailand|Vietnam,1-5years,Not Specified,Engage with unmanaged/managed accounts on Microsoft CRM to generate revenue post executing the compliance process flow sales IT product,EnterpriseTechnologySales|EnterpriseAccountManagement|ItSales|softwaresalesmanagement|salesnetworking|
URGET REQUIREMENT FOR  HARDWARE & NETWORKING,Star Tech,Delhi|Gurgaon/Gurugram,0-2years,560000 - 680000 INR,JGJ TECHNOLOGIES HIRING FOR THE POST OF  HARDWARE & NETWORKING .FRESHERS OR UPTO 1 YRS EXPERIENCE CAN APPLY.,HardwareNetworkingMale|HardwareAndNetworking|NetworkEngineer|
Senior Hardware Engineer,SnapHunt Pte Ltd,Hyderabad/Secunderabad,3-6years,Not Specified,"your will be working on product maintenance majorly revolving around customer anomalies, design anomalies and manufacturing issues related to Engineering. You will also be focussing on cost reduction techniques by optimizing design and layout.",MixedSignal|Microcontroller|HardwareEngineer|CircuitDesign|DigitalDesign|DesignDevelopment|IndustrialAutomation|Networking|
Product Manager (Semiconductor / hardware /networking),Marvell India Private Limited,Pune,5-10years,Not Specified,5-10 years of related professional experience in a customer-facing role,Semiconductor|ProductManager|Ethernet|
Computer Hardware Engineer,Riju Karan (Proprietor Of Toyota Climax India),NaviMumbai,1-5years,200000 - 380000 INR,Required Computer Hardware Engineers.,Hardware|IT|ComputerHardware|SoftwareInstallation|Antivirus|Desktop|HardwareInstallation|HardwareTroubleshooting|
Hardware & Networking Engineer,Riju Karan (Proprietor Of Toyota Climax India),Ahmedabad,0-3years,200000 - 350000 INR,We are looking for Hardware & Networking Engineers.,ITTeamManagement|TelephonicInstruments|Hardware|HardwareNetworking|HardwareMaintenance|Networking|LaptopSupport|NetworkSupport|HardwareSupport|SystemSupport|ServerSupport|DesktopSupport|NetworkMaintenance|Database|
Hardware & Networking Engineer,Riju Karan (Proprietor Of Toyota Climax India),Saharanpur,0-4years,200000 - 350000 INR,Requirement of Hardware & Networking Engineer.,Hardware&NetworkingEngineer|HardwareEngineer|DesktopSupportEngineer|CustomerSupportEngineer/Technician|NetworkEngineer|
Hardware & Networking for BPos,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-4years,Not Specified,Hardware & Networking for BPos,Troubleshooting|CallCenter|TechnicianActivities|CustomerRelationship|TechnicalSupport|DesktopSupport|Laptop|
Hardware and Networking (Freshers) Job In Hyderabad,Alpha Tech Solutions,Hyderabad/Secunderabad,0-2years,150000 - 250000 INR,Hardware and Networking,HardwareAndNetworking|NetworkEngineer|SoftwareDeveloper|NetworkAdministrator|
