jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Office Executive,E Edge Technology,Ahmedabad,1-3years,Not Specified,"We are looking to hire an experienced Back Office Executive. You should be extensive experience in office management, the ability to work as part of a team, and the ability to respond quickly to requests from management.",AdminExecutive|BusinessDevelopment|HrExecutive|
HR Executive / Recruiter,Kored Infratech Private Limited,Bengaluru/Bangalore,4-6years,300000 - 300000 INR,"Experience candidates with good communication skills. |  Better with Telugu, Kannada & English |  Location : BTM 2nd Stage, Bengaluru, Karnataka 560076",HR&Admin|
HR Admin Executive (Freshers) Job In Ahemdabad,Magna India Services,Ahmedabad,0-2years,150000 - 250000 INR,HR Admin Executive,HRAdminExecutive|
HR Admin Executive,Cynosure Corporate Solutions,Chennai,2-4years,Not Specified,"Proven work experience as an HR Administrator, HR Administrative Assistant or relevant role",HrExecutive|HRAdminExecutive|HRAdministrator|
Front Office - Female - Chennai - immediate joiner,Exsellant Services,Chennai,0-2years,100000 - 300000 INR,"Hi All, |    |    |   Jobszonenow  |    |   We have job opening for fresher |    |  For Front office exe |    |    |   NO BE/BTECH |    |   10th, 12th, BA, BCOM, BBA, BSC,MCOM, MSC Any qualification people can apply |    |    |   if you are interested call Sampurana = 7824884400 (Morning 11A",FrontOffice|Administration|AdminExecutive|Facilities|Adminstrator|Admin|Hr|OfficeAssistant|
HR Admin Executive Job For Freshers,Magna India Services,Kolkata,0-2years,150000 - 250000 INR,HR Admin Executive,HRAdminExecutive|
HR Admin Executive (Freshers) Job In Vadodara,Magna India Services,Vadodara,0-2years,150000 - 250000 INR,HR Admin Executive,HRAdminExecutive|
HR Admin Executive / HR Administration / HR Admin,Sumedha Management Consultancy,Ghaziabad|Hapur,2-5years,229999 - 320000 INR,Require immediately for Hapur -UP-Location HR-ADMIN executive reporting directly to principal.,HRAdminExecutive|EducationalInstitute|PersonalSecretary|ExecutiveAssistant|HrAdministration|PersonalAssistant|Executivesecretary|
Senior HR Executive,Diraa HR Services,Delhi|Mumbai,6-12years,819999 - 1850000 INR,Recruitment process going on in our company....................,Hr|HumanResource|Recruitment|HrExecutive|HrManager|Pa|Payroll|AdministrationExecutive|AdminExecutive|AdministrationManager|AdministrationOfficer|ItRecruiter|RecruitmentnonITrecruiter|ItStaffing|HrRecruitments|TechnicalRecruiter|
Immediate Job openings for admin and hr,Aspire Group of Services,Coimbatore,0-5years,Not Specified,"we are hiring for hr and admin in coimbatore, chennai, bangalore... this is immediate wanted for fresher and experience also kindly apply for this |",HrExecutive|Hr|Generalist|AdminExecutive|AdminAssistant|AdminOfficer|
