jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
HTML CSS,SwissTech Unicorn Corp LLP,Vadodara,1-6years,180000 - 470000 INR,We are looking for an experienced HTML / CSS Developer to join our team at SwissTech Unicorn.,Html5|CSS|
"Wanted HTML, PHP Coders",Medesun Prime,Hyderabad/Secunderabad,1-3years,Not Specified,"|  HYDERABAD-AMEERPET LOCATION |  HTML, PHP KNOWLEDGE MUST-2-3 YEARS EXPERIENCE |  SALARY-15-30k PER MONTH |  JOINING-IMMEDIATE |  MUST HAVE EXPERT KNOWLEDGE",HTMLDeveloper|Phpdeveloper|
UI Developer,Nscript Web Studios Private Limited,Chennai,2-5years,200000 - 500000 INR,"Immediate job opening for Front end developer with strong skills in HTML,CSS, bootstrap and Javasccript",HTML|CSS|Javascript|AJAX|Bootstrap|jQuery|PsdToHtml|
Front End Developer,SliceMyPage,Lucknow,0-3years,120000 - 300000 INR,"We are looking  for the position of Front End Developer who is  responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency, and maintaining brand consistency across all web pages",Photoshop|HTML|CSS|Javascript|Bootstrap|WebDesigner|
Executive IT & Web Support,I Tech Media Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,0-2years,120000 - 150000 INR,"Opening for IT and Web Support |   Exp:0 to 1 Years  |   Freshers can also Apply. |   Location : Vidyavihar East, Mumbai. |   Creating and updating in Word Press / HTML / CMS websites",CMSwebsites|HTMLDeveloper|WordPress|HTML|ITSupport|Wordpress|
Dot Net – Technical Consultant,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,8-18years,Not Specified,Must have Skills |    •	Dot Net |    •	MVC |    •	Java Script |    •	Web API integration  |    •	API call |    •	Ajax |,.NET|C#|Asp.Net|Mvc|HTML|Javascript|CSS|
OPENING FOR FRESHERS PYTHON DEVELOPER,Career Mantra Management Services,Mumbai|Pune,0-1years,120000 - 229999 INR,"Post : Python developers |      Salary : 1.8 L.P.A To 2.4 L.P.A. |      Job Location : Pune, Mumbai |      Interested Candidate Apply Here |      For More Details Call Us 7249679203 HR Megha",PythonDevelopers|Java|HTML|CSS|Javascript|MSSQL|
Programmer HTML,Sumedha Management Consultancy,Faridabad,0-4years,110000 - 260000 INR,Urgent requirement of web developer for Faridabad location in a company of repute.,Photoshop|Illustrator|CorelDraw|Css3|Javascript|Html5|jQuery|Debugging|chrome|Firebug|
SFCC Developers,D4 insight,Remote,6-12years,Not Specified,Looking for SFCC Developers,SFCC(Demandware)|HTML|CSS|Javascript|
AEM Developer,Prime Online Pvt. Ltd,Kolkata,2-5years,Not Specified,"Web Application Developer will be a member of a global Development team, supporting Legacy systems and web sites as well as developing new features and new Web applications. |  CMM5 Level Product Development  MNC Company |  Now –WFH/ Later WFO – Kolkata",Javascript|CSS|HTML|Java|Aem|Database|
AEM Full Stack Developer,Deputize Consultancy Private limited,Bengaluru/Bangalore|Mysore,4-7years,1000000 - 1500000 INR,Hiring for AEM Full Stack Developer |     |    |   Package: 12to 15 lac (PA) |    |   Quick Joining: 15 days  (Depends on Knowledge) |    |   Experience: 4-7 YEARS |,AEM(version6.4plus)|HTML|CSS|Javascript|AngularJs|react.js|
Windchill Developer / Windchill Consultant,Freelancer Deepika D Bidri,Bengaluru/Bangalore|Pune,2-6years,Not Specified,Seeking Windchill Consultant who is highly motivated & self-initiator with good communication skills with the ability to work effectively in a team environment,Windchill|PDMlink|Java|Xml|html|SQLServer|
Dot Net Developer,Simple Logic IT Private Limited,Mumbai|NaviMumbai,2-4years,Not Specified,"We are an IT managed services company based in Mumbai. We are currently looking for Dot Net Developer with 2+ (or more) years of relevant experience. Candidates with expert knowledge in Asp .Net, MVC will be given preference. |   |  Location : Mumbai",DotNet|DotNetDevelopment|Asp.Net|Mvc|HTML|CSS|Javascript|Xml|
Angular developer,Elite Corporate Solutions Private Limited,Gurgaon/Gurugram|Noida,3-5years,330000 - 500000 INR,Opportunity for Angular developer (Immediate candidates),Angulardeveloper|Angular2+|Javascript|HTML|CSS|
looking for a UI Developer,Best infosystems Ltd,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-6years,Not Specified,"• Hands-on experience in optimizing the UI of an application. |  • Good understanding of asynchronous request handling, partial page updates, and AJAX. |  Proficient understanding of web mark-up, including HTML5, CSS3. |  • Basic understanding of CSS pre-pro |",UIDeveloper|HTML|CSS|AJAX|
Developer -Intern,TRANSCENDIX PARTNERS LLP,Pune,0-1years,Not Specified,"We are looking for interns who have completed their education or pursuing their final semester. The duration of this internship will be 3 months, post this internship if you exceed in performance there is a chance for you to be a permanent employee.",Phpdeveloper|Mysql|HTML|AJAX|
Full-stack Web Developer,Progneur Technologies Private Limited,Bengaluru/Bangalore|Pune,3-7years,Not Specified,"•	Design, build, and maintain efficient, reusable, and reliable C# or .NET code. |  •	Implement distributed applications with N-tier architecture. |  •	Identify bottlenecks and bugs, and devise solutions to these problems.",Angular8|Javascript|Html5|Css3|.NET|C#|
Java Developer,Diraa HR Services,Chennai|Coimbatore,2-5years,Not Specified,"A Java Developer is responsible for the programming and development of applications and software using the popular programming language, Java.",Javascript|Jscript|Php|Xml|Jquery|AJAX|HTML|CSS|
"Mandatory Skill: Angular 2+, HTML, CSS, Typescript, Javascript ,Es6,Bootstap",Best infosystems Ltd,Bengaluru/Bangalore|Chennai,4-9years,Not Specified,"Mandatory Skill: Angular 2+, HTML, CSS, Typescript, Javascript ,Es6,Bootstap. |  Strong expertise with HTML, CSS, Typescript, Javascript ,Es6 |  Proficient understanding of web mark-up,  HTML5, CSS3 |  Experience with RESTful services |  Good understanding. |   |",Angular|Html5|CSS|Javascript|
Graphic Designer,Job House,Mumbai|Jaipur,1-11years,Not Specified,"graphice designer in diffrent industries,must have html knowledge",GraphicDesigner|HTML|
Senior UI Developer - Angular2+,Talent Basket,Thiruvananthapuram/Trivandrum,4-10years,Not Specified,We are hiring Senior UI Angular 2+for Leading MNC@Trivandrum Technopark Location,UIDeveloper|Angular|CSS|Javascript|HTML|
Java Developer Core Java,Winx Consulting Services,Hyderabad/Secunderabad,2-6years,500000 - 900000 INR,"2+ years experience in java/j2ee |     Experience into spring boot, microservices,Hibernet, Agile methodlogy, |     Any one of the cloud comphenent |      |     Structs(Good to have)",Javascript|HTML|AJAX|Xml|Jscript|CSS|
Front End Developer,Redefined Corp,Chennai,2-4years,Not Specified,"Front End Developer  |  Solid knowledge of HTML, CSS, SASS. |  Familiar with UI layouts, SASS, bootstrap, and the CSS GRID system |  Excellent knowledge of Javascript and Jquery |  MVC architecture and OOP programming style.",SASS.JavascriptandJquery|HTML|CSS|
Angular  Developer,Deputize Consultancy Private limited,Mumbai,5-8years,Not Specified,"Please share copy of your updated resume if you are available and interested to learn more about this opportunity;   |   |   |  Angular Developer |  Mumbai |   |  Required Technical Skills |  • HTML5, CSS* |  • JavaScript |  • TypeScript |  • Angular 6+ |  • Understanding of version",Angular|HTML|CSS|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
HTML CSS,SwissTech Unicorn Corp LLP,Vadodara,1-6years,180000 - 470000 INR,We are looking for an experienced HTML / CSS Developer to join our team at SwissTech Unicorn.,Html5|CSS|
"Wanted HTML, PHP Coders",Medesun Prime,Hyderabad/Secunderabad,1-3years,Not Specified,"|  HYDERABAD-AMEERPET LOCATION |  HTML, PHP KNOWLEDGE MUST-2-3 YEARS EXPERIENCE |  SALARY-15-30k PER MONTH |  JOINING-IMMEDIATE |  MUST HAVE EXPERT KNOWLEDGE",HTMLDeveloper|Phpdeveloper|
UI Developer,Nscript Web Studios Private Limited,Chennai,2-5years,200000 - 500000 INR,"Immediate job opening for Front end developer with strong skills in HTML,CSS, bootstrap and Javasccript",HTML|CSS|Javascript|AJAX|Bootstrap|jQuery|PsdToHtml|
Front End Developer,SliceMyPage,Lucknow,0-3years,120000 - 300000 INR,"We are looking  for the position of Front End Developer who is  responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency, and maintaining brand consistency across all web pages",Photoshop|HTML|CSS|Javascript|Bootstrap|WebDesigner|
Executive IT & Web Support,I Tech Media Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,0-2years,120000 - 150000 INR,"Opening for IT and Web Support |   Exp:0 to 1 Years  |   Freshers can also Apply. |   Location : Vidyavihar East, Mumbai. |   Creating and updating in Word Press / HTML / CMS websites",CMSwebsites|HTMLDeveloper|WordPress|HTML|ITSupport|Wordpress|
