jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
CPC Certified Medical/Surgical Coder,Esn Technologies India Private Limited,Hyderabad/Secunderabad,2-6years,Not Specified,"This position is responsible for coding, chart compliance, and coding denial resolution. The ideal candidate will have CPC Certification and 2+ years’ experience in a hospital, surgical and medical office setting.",CPTICDCPC|
Medical Biller,Esn Technologies India Private Limited,Hyderabad/Secunderabad,2-7years,Not Specified,"Experienced Medical Biller who can support US hospital & clinics with 99% accuracy. Familiarity with CPT & ICD. Ability to interface with various parties, resolve issues and fast track claims and payments.",MedicalBillerclaimspaymentsCPTICD|
"Jobs for Pharmacy,Pharmacist,B.Pharm,D.Pharm,Physiotherapist,BPT,MPT,Physio,M.Pharm,Pharm D Freshers",Achievers Spot,Chennai|Kanchipuram,0-4years,350000 - 400000 INR,"Wanted Pharmacy,Pharmacist,B.Pharm,M.Pharm,D.Pharm,Physiotherapist,BPT,MPT,Physio,Pharm D, Pharmaceutical Engineer ,Pharma Freshers",MedicalCoding|Pharmacist|Bpharm|mpharm|Bpt|Mpt|StaffNurse|Nursing|Gnm|dgnm|ICD10-CM|Cpt|Hcpcs|MedicalTerminologies|MedicalCoding|Physiotherapist|
"Medical Coding Jobs For Physiotherapist, Physiotherapy, BPT, MPT & Dentist, BDS, MDS Freshers",Achievers Spot,Chennai|Kovilpatti,0-2years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments)Codes using ICD-10 CM and CPT code books. Healthcare including Medical Coding and Billi,MedicalCoding|MedicalCoder|MedicalBilling|ICD-10CM|CPTcodebooks|Anatomy|Physiology|Physiotherapy|Bpt|MPT&Dentist|Bds|MDS|Physiotherapist|
"Medical Coding Jobs - Critical Care, Physician Assistant & Optometry Fresher Grads Ct: 8428080909",I Skills Solutions,Coimbatore|Vellore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                              |                                             Job Description: |                                              |                                             Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Jobs - Optometry, Anesthesia, Cardiac, Dialysis, OT Fresher Graduates",I Skills Solutions,Coimbatore|Trichy,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                         |                                        Job Description: |                                         |                                        Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Jobs Microbiology, Biotechnology, Bio-med, Biochemistry Ct: HR Gomathy",I Skills Solutions,Coimbatore|Namakkal,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                             |                                            Job Description: |                                             |                                            Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Openings For Nurse, Pharmacist, GNM Nurse - Day Shift /Fresher Grads",I Skills Solutions,Madurai|Trichy,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                             |                                            Job Description: |                                             |                                            Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Job(Fresher UG/PG) Pharm,Lifescience,BE(biotech & biomedical)",I Skills Solutions,Chennai|Krishnagiri,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                         |                                        Job Description: |                                         |                                        Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coding Jobs - Biotechnology, Biomedical, Biochemistry Freshers Ct: 8428080909",I Skills Solutions,Trichy|Krishnagiri,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                 |                                Job Description: |                                 |                                Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical coding jobs - Zoology, Adv Zoology, Microbiology, MLT Freshers Ct : 8428080909",I Skills Solutions,Erode|Madurai,0-3years,220000 - 440000 INR,"Position : Medical Coder |                           |                          Job Description: |                           |                          Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Hiring Microbiology, Biochemistry, Biotechnology, Biomedical- Medical Coder Job",I Skills Solutions,Chennai|Coimbatore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                           |                                          Job Description: |                                           |                                          Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
Openings For Biochemistry & Zoology Graduates - Medical Coding Jobs,I Skills Solutions,Chennai|Coimbatore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                      |                                     Job Description: |                                      |                                     Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
"Medical Coder Jobs For Physiotherapist, Bpt/mpt, Physiotherapy,Physio Freshers",I Skills Solutions,Chennai|Coimbatore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                  |                                 Job Description: |                                  |                                 Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
