jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
inbound process For Medical Billing,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-4years,140000 - 420000 INR,Candidate should possess excellent oral and written communication skillsCandidate with good customer service skills would be preferredCandidate should have 0-5 year of experience in Customer Support Voice Process. Prior experience in Customer,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
Inbound telecaller,Orissa Doot Private Limited,Bhubaneswar,0-1years,Not Specified,Hiring a inbound telecaller in Bhubaneswar Location.,Inbound|Telecaller|Telemarketing|Telesales|Telemarketingexecutive|Telesalesexecutive|
Inbound Process for Upstox,Fast And Direct Services,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,200000 - 300000 INR,"Upstox,Upstox IB",CSR|Customerservice|Customercare|InboundProcess|VoiceProcess|CustomerCareExecutive|Voice|CallCenter|Bpo|
BPO Inbound Customer Support,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-5years,150000 - 420000 INR,•Candidate should possess excellent oral and written communication skills• Candidate with good customer service skills would be preferred•         Candidate should have 0-5 year of experience in Customer Support Voice Process.•,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|CustomerSupport|CustomerSupportVoiceProcess|Kpo|TechnicalSupport|
Team Leader Inbound,Fast And Direct Services,Bengaluru/Bangalore|Mumbai,0-2years,220000 - 420000 INR,"BPO Team Leader,BFSI/Stockbroking experience,Team Leader Inbound",teamleaderBpo|BPOAnalyst|BpoOperations|BPOCallCentre|TeamLeader|
Inbound Marketing Intern,Hiring Choice Solution,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-1years,260000 - 360000 INR,"As an inbound marketing intern, you will be working closely with the inbound marketing team with a goal to drive optimization and bring effectiveness across all digital touchpoints - with a final aim of addressing our current business challenges.",Promotionalcampaigns|Publishing|MarketingIntern|EmailMarketing|InboundMarketing|InternetMarketing|OnlineMarketing|SearchEngine|Sem|Wordpress|HTML|SEO|MarketingAutomation|SearchEngineOptimization|LinkBuilder|SearchEngineOptimization|Smo|
Domestic Call Centre Inbound Process,Black And White Business Solutions Private Limited,Delhi|Gurgaon/Gurugram,0-3years,220000 - 430000 INR,"NO TARGET, FIXED SALARY |    HUGE INCENTIVES |    8 HOUR SHIFT |    6DAYS WORKING |    BOTH SHIFTS AVAILABLE |    GOOD COMMUNICATION SKILLS |    EXPERIENCE 0-2 YEARS |    FRESHERS CAN APPLY |    12TH PASS 10TH PASS ANY GRADUATE can apply |     |    CONTACT HR ROHIT:7209265110 |     |",Cce|Customercareexecutive|Customercare|Bpo|DomesticVoiceSupport|Inbound|CallCenter|Icusnternationalcallcenter|Outbound|Fresher|DomesticBPO|VoiceProcess|CustomerSupport|CustomerService|CustomerSupportExecutive|Custome|Kpo|TechnicalSupport|
Inbound Voice Process / customer support / immediate joining.,first india hr solution,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / Ecommerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Telecaller (Inbound & Outbound) - Mumbai call me 9619022384,White Horse Manpower Consultancy Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,Telecaller (Inbound & Outbound) - Mumbai call me 9619022384,Telecaller|Telesales|Telemarketingexecutive|Customercareexecutive|Telesalesexecutive|Telemarketing|
BPO CSR TSR Inbound Outbound Voice,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-4years,Not Specified,BPO CSR TSR Inbound Outbound Voice,CustomerService|CallCentre|CallCenter|Bpo|Bangalore|csr|TSR|scsr|stsr|
Urgent Requirement for Outsourcing Bases,2COMS Consulting Private Limited,Mumbai|Pune,0-2years,Not Specified,"Urgent Requirement for Outsourcing Bases: |    |   Profile : Jr. Consultant (IT) |    |   Job Location : Mumbai |    |                 |   Qualification :- |   1.	M.Tech in (CS/IT/Software Engineering) |    |   2.	B.E./B.Tech in (CS/IT/Software Engineering OR MCA |    |    |   ER. 8669702312,800251517",Outsourcing|Outbound|OutboundSales|InboundSales|Inbound|OutboundRecess|
inbound process For Medical Billing,Fast Tech Bpo Services,Bengaluru/Bangalore,0-4years,140000 - 420000 INR,Candidate should possess excellent oral and written communication skillsCandidate with good customer service skills would be preferredCandidate should have 0-5 year of experience in Customer Support Voice Process. Prior experience in Customer,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
Work From Home  Customer service voice(Inbound/outbound both),Hiring Choice Solution,Bengaluru/Bangalore,0-3years,Not Specified,Work From Home |   |  Customer service voice(Inbound/outbound both) |   |   |  Language: Kannada + English |   |  Salary: 19k CTC take home 14500 per month |   |  6 months Contract. Depending on situation contract can be increased |   |  Fresher and Experience(Max 3 Years Experience,"""Fresher""|""Graduate""|ExcellentverbalandwrittencommunicationinKannad'|'Bangalorelocalite'|'Undergraduate'|"
"Inbound, Customer Care Executive",White Horse Manpower Private Limited,Delhi|Noida,0-1years,120000 - 229999 INR,Urgent Hiring For BPO Jobs Inbound/Outbound |       Freshers & Experience Both Can Apply |,CallCenter|VoiceProcess|InternationalCallCenter|DomesticBpo|Inbound|Fresher|12thpass|Undergraduate|Outbound|InboundCalling|OutboundSales|InternationalCalling|Bpo|TelemarketingCalling|VoiceCalling|TelesalesCalling|
5 DAYS WORKING INBOUND PROCESS,first india hr solution,Delhi|Noida,0-1years,Not Specified,Urgent vacancy for freshers Call Center/Domestic BPO/ VOICE PROCESS/ BACK OFFICE/ DATA ENTRY |    |,CallCenter/DomesticBPO/VOICEPROCESS/BACKOFFICE/DATAENTRY|
Inbound-Technical Support International process BPO Call 9972020050,One Degree North Human Resource,Bengaluru/Bangalore,0-4years,150000 - 420000 INR,•         Candidate should possess excellent oral and written communication skills•         Candidate with good customer service skills would be preferred•         Candidate should have 0-5 year of experience in Customer Support Voice Process.•,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
Telecaller (Inbound & Outbound) - Mumbai/ D Pharma Freshers mandatory call 9619022384,first india hr solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,Telecaller (Inbound & Outbound) - Mumbai/ D Pharma Freshers mandatory call 9619022384,Telecaller|Telemarketing|Telemarketingexecutive|Telesales|Telesalestelemarketing|Telesalesexecutive|Customercareexecutive|Counsellor|
HIRING  for INBOUND INTERNATIONAL CUSTOMER CARE,first india hr solution,Bengaluru/Bangalore,0-3years,Not Specified,CALL SHRUTI 8777584221 and and mail [HIDDEN TEXT],Inbound|CallCenter|InternationalCallCenter|Outbound|Fresher|
Fresher Inbound & Outbound - Mumbai (Bachelor in Pharmacy) call me urgent 9619022384,Zarbex Solutions,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,Fresher Inbound & Outbound - Mumbai (Bachelor in Pharmacy) call me urgent 9619022384,Telecaller|Telemarketing|Telesales|Telemarketingexecutive|Telesalestelemarketing|Telesalesexecutive|Customercareexecutive|
Inbound and Outbound Sales only for pharmacy candidate fresher call me  9619022384,Transformcx,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,Inbound and Outbound Sales only for pharmacy candidate fresher call me  9619022384,Telecaller|Telemarketing|Telesales|Telemarketingexecutive|Telesalestelemarketing|Telesalesexecutive|Customercareexecutive|
Computer Data Entry Operator/Part-time work@Home /Home Based Work Jobs,Hiring Choice Solution,Shimoga|Bijapur,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                     Concern Person Regarding That Mr. -HR Soniya |                     Contact No.- 8447612779,Inbound|BackOfficeExecutive|BackOfficeOperations|
BPO Hiring/Call center/Inbound/Outbound/Email support/Tele sales,Hiring Choice Solution,NaviMumbai|Thane,0-5years,200000 - 280000 INR,Looking candidates for BPOs/ Navi Mumbai Location- |  -Inbound/Outbound/Email Support |  -Salary Upto 20K as per skillset |  -Work from office |  -Good communication skills |  -Please call us @ 8595728636 for more queries,EmailSupport|VoiceProcess|CallCenterExecutive|TeleSalesExecutive|CustomercareExecutive|BPOExecutive|
Walk-in interview || New Opening || Customer Care inbound,Headway International Placements (Opc) Private Limited,Delhi|Gurgaon/Gurugram,0-2years,Not Specified,Profile- Customer care Executive |  Age limit 18yrs. to 30yrs. |  Location : -All Delhi NCR |   |  Day Shift.+ Night Shift |  Fresher & experience required ). |   |  CUSTOMER HANDLING PROCESS |   |  HR TEAM@9899598859 |,Inbound|InboundProcess|FresherBPO|Freshers|Undergraduates|HighSchoolPass|GraduateFresher|BPOCallCentre|BPOHiring|DomesticStaffing|DomesticVoiceSupport|InboundProcess|CallCenter|VoiceProcess|CustomerCareExecutive|
