jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Telco lead For Incident and Fault Management immediate Joining,White Horse Manpower Consultancy Private Limited.,Bengaluru/Bangalore,9-14years,900000 - 1400000 INR,"Oversee Tier III trouble ticket support for tickets escalated from TierI and TierII globally,  |  logging trouble tickets with telecoms carriers to resolve critical level customer issue",telcolead|FaultManagement|IncidentManagement|
Senior Associate Cloud Support Engineer at RWS Group,SDL Multilingual Solutions Private Limited,Bengaluru/Bangalore,1-3years,300000 - 500000 INR,This role requires a self-starting capable team player with business and IT skills and the ability to effectively communicate with business contacts as well as the technical teams.,Monitoring|IncidentManagement|
HIRING MAJOR INCIDENT MANAGER,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,6-10years,Not Specified,"A core member of an IT support team operating the Operations Center (OC). |  365 x 12 x 7 shift-based operational environments providing level 1-2 response to alarms from network, servers, and application system errors.",IncidentManagement|MajorIncidentManagement|Itil|
Incident Management,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore|Hyderabad/Secunderabad,4-6years,10000 - 600000 INR,Incident Management_4 to 6 Years_Immediate to 15 Days_PAN INdia,Globalincidentmanager|IncidentManagement|ProblemManagement|Changemanagement|Change|Itil|
Urgent opportunity for Service Desk Analyst in  Navi Mumbai,JB Consultants,NaviMumbai,5-10years,Not Specified,Qualifications/Requirements:  |  • Bachelor’s degree/Graduate in any stream  |  • 5+ years’ experience of working on a help/service desk Level 1 and higher support,"""servicedesk""|""helpdesk""|ticketingsystem|Slas|Incident|Change|ProblemManagement|Itil|"
TECHNICAL LEAD - ITSM,Best infosystems Ltd,Bengaluru/Bangalore,8-12years,Not Specified,"The resource will be responsible for the technical design, development, deployment and support of PEGA platform related solutions within a project or BAU maintenance release. |",TechnicalLead|Itil|IncidentManagement|ProblemManagement|
Operations Coordinator,Layer5 India Consulting Private Limited,Bengaluru/Bangalore,5-12years,Not Specified,"We are hiring a Customer Service & Operations Coordinator to help us continue to grow while delivering a world-class service experience to our customers. If you are ambitious, dedicated, and have a knack for customer service.",CorporateCommunication|CustomerService|Operations|BussinessAnalyst|IncidentManagement|QualityAssurance|
Major Incident Manager,Best infosystems Ltd,Hyderabad/Secunderabad|Pune,4-8years,520000 - 1000000 INR,URGENT REQUIREMENT .................................,Globalincidentmanager|Itilinfrastructure|Problem|Construction|RealEstate|Infrastucture|Engineering|Maintenance|Manuf|IncidentManagement|ProblemManagement|Changemanagement|Change|Itil|MonitoringTools|ItInfrastructure|Datacenter|BmcRemedyItsm|
INCIDENT MANAGER - TECHNICAL LEAD,Best infosystems Ltd,Bengaluru/Bangalore,7-10years,Not Specified,Driving the efficiency and effectiveness of the incident management process,IncidentManager|TechnicalLead|CHANGEManagement|IncidentManagement|
Tech Lead,Angel And Genie,Mumbai,6-12years,Not Specified,"To ensure successful initiation, planning, execution, control and completion of the project by guiding team members on technical aspects, conducting reviews of technical documents and artefacts",TechnicalLead|TechLead|IncidentManagement|SpringMVC|Spring|Mvc|
Critical System Analyst-NBFC(Financial Services)-Bangalore-3yrs+-5.5lakhs,Tech Mahindra Business Services Limited,Bengaluru/Bangalore,3-5years,Not Specified,Critical System Analyst-NBFC(Financial Services)-Bangalore-3yrs+-5.5lakhs |,NBFC|SystemAnalyst|ServiceNow|Jira|Zoho|ServiceRequest|IncidentManagement|ChangeManagement|ProblemManagement|Itil|
Major Incident Manager,SnapHunt Pte Ltd,Hyderabad/Secunderabad|Pune,4-8years,520000 - 1000000 INR,URGENT REQUIREMENT .................................,Globalincidentmanager|Itilinfrastructure|Problem|Construction|RealEstate|Infrastucture|Engineering|Maintenance|Manuf|IncidentManagement|ProblemManagement|Changemanagement|Change|Itil|MonitoringTools|ItInfrastructure|Datacenter|BmcRemedyItsm|
Service Desk Analyst,Fujitsu Consulting,MumbaiCity,1-8years,Not Specified,"Tech Mahindra Business Services is hiring for Service Desk Analyst , Immediate joiners required.",ServiceDesk|ITHelpdeskExecutive|ServiceDeskAnalyst|ItHelpdesk|TechnicalHelpdesk|IncidentManagement|L1Support|TicketingTools|Itsm|OSS|TechnicalSupport|
