jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Computer and information systems managers - CANADA,A V Immigration And Careers Consultancy Private Limited,Canada,9-14years,1800000 - 3200000 INR,"Computer and information systems managers plan, organize, direct, control and evaluate the activities of organizations that analyze, design, develop, implement, operate and administer computer and telecommunications software and networks.",Computerandinformationsystemsmanagers|electronicdataprocessing|computeranalysts|telecommunicationssoftware|Networks|
Computer and information systems managers - CANADA,A V Immigration And Careers Consultancy Private Limited,Canada,3-8years,1800000 - 3200000 INR,"Computer and information systems managers plan, organize, direct, control and evaluate the activities of organizations that analyze, design, develop, implement, operate and administer computer and telecommunications software and networks.",Computerandinformationsystemsmanagers|electronicdataprocessing|computeranalysts|telecommunicationssoftware|Networks|
Excel Expert,Novateur IT Technologies India Private Limited,Hyderabad/Secunderabad,2-4years,Not Specified,Position:Contract |  Location:Hyderabad |  Company:MNC |  Notice:15 Days,PivotTables|Sumif|Formulas|CellformattingVlookup|MsExcel|Macros|Macros|
MIS Executive,Subrata Mondal (Proprietor Of Cafe Industry),Chennai,1-5years,250000 - 420000 INR,Urgent Requirement MIS Executives.,MisExecutive|MISReporting|MISReport|
SAP SuccessFactors Employee Central Payroll Consultant,Sonyo Management Consultants Private Limited,Pune|Thiruvananthapuram/Trivandrum,5-10years,Not Specified,"SAP SuccessFactors Employee Central Payroll Consultant |  Work location, Pune / Trivandrum,  |  Exp: 5 -15 yrs.  |   |  Job Description |  •	Possessing a relevant Experience of 3 to 6 years SAP application design development integration testing deployment and techn",Payroll|Successfactors|SAP|EmployeeCentral|SapSuccessfactors|
MIS Analyst required for Germany/ Canada/ Australia/ Hong Kong,Aosta Overseas Careers,Canada|Germany,2-12years,Not Specified,MIS Analyst required for Germany/ Canada/ Australia/ Hong Kong,MISAnalyst|troubleshootingITsystems|JobDescriptions|recruitmentprocesses|
Computer & Information System Managers in Canada PR,Adal Immigrations LLP,Canada|NewZealand,2-7years,1500000 - 5000000 INR,Up-to-date knowledge of technologies.,Informationsystemmanagers|DatabaseMnagement|Computers|ComputerScience|computersystem|InformationSystems|InformationTechnology|ItDepartment|
URGENTLY REQUIREMENT IN MNC COMPANY,Career Mantra Management Services,Pune|Nagpur,0-1years,130000 - 220000 INR,"Candidate should have knowledge of computers, MS Office (Excel & Word ). |  All Company Production Report Entry in SAP. |  Monitoring packing material stock and make PR of required material",Administration|FrontDesk|Telephone|Screening|TravelArrangements|FrontOffice|ComputerOperator|
Information systems analysts and consultants - Canada,A V Immigration And Careers Consultancy Private Limited,Canada,3-8years,1800000 - 3600000 INR,"Information systems analysts and consultants analyze systems requirements, develop and implement information systems development plans, policies and procedures, and provide advice on a wide range of information systems issues.",systemanalysts|Informationsystemsanalysts|SystemAnalysis|
Required MIS executive call on 8400203031,Aspire Group of Services,Lucknow,0-1years,120000 - 160000 INR,We,MisExecutive|MisOfficer|
Information systems analysts and consultants - Canada,A V Immigration And Careers Consultancy Private Limited,Canada,9-14years,1800000 - 3600000 INR,"Information systems analysts and consultants analyze systems requirements, develop and implement information systems development plans, policies and procedures, and provide advice on a wide range of information systems issues.",systemanalysts|Informationsystemsanalysts|SystemAnalysis|
MIS Analyst required for Germany/ Canada/ Australia/ Hong Kong,Aosta Overseas Careers,Canada|Germany,2-12years,Not Specified,MIS Analyst required for Germany/ Canada/ Australia/ Hong Kong,MISAnalyst|troubleshootingITsystems|JobDescriptions|recruitmentprocesses|
MIS Analyst required for Germany/ Canada/ Australia/ Hong Kong,Aosta Overseas Careers,Canada|Germany,2-12years,Not Specified,MIS Analyst required for Germany/ Canada/ Australia/ Hong Kong,MISAnalyst|troubleshootingITsystems|JobDescriptions|recruitmentprocesses|
Associate Lecturer / Lecturer / Senior Lecturer in Business Information Systems and Computing,Westminster International University,Uzbekistan,5-15years,Not Specified,"In your role as Faculty Member, you will be dedicated to undertake teaching, subject development, research and related administration on a range of courses, including both undergraduate and postgraduate courses in Information Systems and Computing.",Computing|businessinformationsystems|Faculty|Instructor|ComputerFaculty|Trainer|Teacher|Lecturer|
SOC Engineer,Expertia Ai Technologies Private Limited,Thrissur,2-5years,Not Specified,Candidate with Work experience in any SIEM tools like Splunk and interested in cyber security,CyberSecurity|SiemLinux|InformationSecurity|NetworkSecurity|
Cyber Security consultant,Expertia Ai Technologies Private Limited,Thrissur,5-7years,Not Specified,"Good understanding on infrastructure management, cloud computing, network administration, |  systems/OS Administration, database management, security testing services",InformationSecurity|CloudComputing|NetworkSecurity|
Information systems analysts and consultants - Canada,A V Immigration And Careers Consultancy Private Limited,Canada,9-14years,1800000 - 3600000 INR,"Information systems analysts and consultants analyze systems requirements, develop and implement information systems development plans, policies and procedures, and provide advice on a wide range of information systems issues.",systemanalysts|Informationsystemsanalysts|SystemAnalysis|
Information systems analysts and consultants - Canada,A V Immigration And Careers Consultancy Private Limited,Canada,3-8years,1800000 - 3600000 INR,"Information systems analysts and consultants analyze systems requirements, develop and implement information systems development plans, policies and procedures, and provide advice on a wide range of information systems issues.",systemanalysts|Informationsystemsanalysts|SystemAnalysis|
Oracle Identity Manager Developer/Admin - Location PAN India,Freelancer Deepika D Bidri,Bengaluru/Bangalore|Pune,4-8years,Not Specified,OIM Admin / Developer with good 12c upgrade experience. |  Loc: Pune / Bangalore / Noida / Hyderabad/ Chennai / Mumbai,OracleIdentityManager|Java|
MIS Executive,Lakshya,Mohali|Panchkula,1-3years,190000 - 350000 INR,We urgently require MIS. Experience and fresher both can apply,Mis|MisExecutive|MisReports|MISReporting|MSExcelKnowledge|ManagementInformationSystem|Reporting|datadigging|DataMining|
