jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Janapanese Speaking with IT WEB Development Exp for IT HEAD Position,Inspire People Consultancy,Bengaluru/Bangalore,15-25years,Not Specified,"About the IT head profile:  |  >We are looking with nearly 20+ years of experience in web development , application and Project management, Exposure to Automation(AI etc)  |  >As we are mainly catering to Japanese clients, someone who has worked in Japan o",JapaneseLanguage|WebDevelopment|ItProjectManagement|
Java API Developer - Thridware solutions(Ford) - Chennai,Thirdware Solutions Limited,Bengaluru/Bangalore|Chennai,4-11years,Not Specified,|                                  |                              |                                  |,
Regional Sales Head - Information Technology & Services Firm,Parul University,Chennai|Hyderabad/Secunderabad,6-11years,1150000 - 1550000 INR,A Leading Information Technology and Services Company requires a Regional Sales Head and the responsibilities include,Sales|IP/TelephonySolutionsSales|Server/StorageSales|ITAccountManagement|ITSalesHead|SolutionsSales|ItHardwareSales|ItProductSales|ItSales|
PMO - Information Technology,3 Minds ESolutions Private Limited,Mumbai,2-4years,700000 - 1000000 INR,"Project management, project tracking, project implementation, PMO, project monitoring",Projectmanagement|ProjectTracking|ProjectImplementation|ProjectMonitoring|Pmo|
Lecturer/Asst. Prof/Assoc Prof/ Professor For Information Technology,Anlage Infotech India Private Limited,Vadodara,3-8years,Not Specified,Applications are invited from Eligible Candidates for Teaching Position at the Faculty of Engineering & Technology for the Department of Information Technology,Professor|Teacher|AssistantProfessor|Lecturer|
Information Security Officer,Career Mantra Management Services,Chennai|Mumbai|MumbaiCity|NaviMumbai|Thane,5-15years,Not Specified,REMOTE POSITION FOR INFORMATION SECURITY,INFOSEC|INFOSEC|InformationSecurity|InformationSecurity|informationsecurityconsultancy|Azure|
Technology Manager /Technology Specialist - JAVA,DTCC,Bengaluru/Bangalore,8-13years,Not Specified,Manager / Specialist Technology drives the translation and construction of a client's business problems into innovative technology solutions by creating and owning the technical vision of the project and ensuring that the vision is achieved with a hi,Java|Microservices|
Openings For Information Technology (I T) For Freshers,Sciente International Pte Ltd,Mumbai|Pune,0-1years,130000 - 220000 INR,"Dynamic professional with overall experience in end-to-end IT implementation and management including infra, network, applications and security. /manage all IT Verticals of the company like IT Applications, Infrastructure and Security.",ChiefInformationSecurityOfficer|NetworkSecurity|InformationSecurity|ITSecurity|
Information Security Analyst,EMVEE Information Technologies Private Limited,Bengaluru/Bangalore,5-9years,Not Specified,The role actively participates in the onboarding of new applications into the Separation of Duties (SDP) process and in the monitoring of production activities of on boarded applications.,PrivilegeAccessMonitoring|PingIdentity|Ca|AM6.0|Forgerock|SecureAuth|Identityautomation|OracleIdentityGovernance|IdentityAndAccessManagement|IdentityAccessManagement|Sailpoint|Cyberark|Okta|MySQL|
Information Security Engineer,EMVEE Information Technologies Private Limited,Chennai,4-7years,Not Specified,Looking for Information Security Engineer,Securityengineeringtools|SecurityOperations|Siem|Vulnerability|Windows|UNIX|
Technology Recruitment Specialist,EMVEE Information Technologies Private Limited,Bengaluru/Bangalore|Chennai,0-5years,Not Specified,"As a Technical Recruiter, you will work closely with hiring managers to lead and execute full-cycle recruiting for Singapore.",RecruitmentConsultant|Staffing|Hiring|ItRecruiter|ItStaffing|Recruitment|RecruitmentExecutive|TechnicalRecruiter|ITrecruitment|
Information Security Lead,Alpha Tech Solutions,Bengaluru/Bangalore|Pune,2-12years,Not Specified,Looking for   Information Security Lead |    |,InformationSecurityLead|SecurityLead|
Information Security Lead,Star Jobs Private Limited,Gurgaon/Gurugram|Hyderabad/Secunderabad,2-12years,Not Specified,Looking for   Information Security Lead |     |,InformationSecurityLead|SecurityLead|
Information Security Lead,Navigator Systems Private Limited,Chennai|Coimbatore,2-12years,Not Specified,Looking for   Information Security Lead |   |,InformationSecurityLead|SecurityLead|
IT Executive (Freshers) Job In Kolkata,Manheer Singh (Proprietor Of BigBoss Decor),Kolkata,0-2years,150000 - 250000 INR,IT Executive,Software|Representative|ItExecutive|InformationTechnology|
Java Information system Engineer,Novateur IT Technologies India Private Limited,Bengaluru/Bangalore|Noida,5-12years,Not Specified,Candidate must have developed software on the Linux platform. Must be typically using a Mac or Linux laptop in his daily job rather than Windows. |  Expertise in developing and consuming RESTful micro-services using Spring Framework elements,"""Linuxplatform""|""Linux""|""JavaIT""|""JavaInformationSystem""|""JavaInformation""|""JavaEngineer""|""micro-services""|""Mac""|"
Information Technology (IT) Lead,A V Immigration And Careers Consultancy Private Limited,Bengaluru/Bangalore,3-4years,Not Specified,•	Thorough understanding of project/program management techniques and methods |  •	Excellent Knowledge of performance evaluation and change management principles |  •	Excellent knowledge of MS Office; working knowledge of program/project management,ITOperationsoftheSharedServiceCenter(SSC)|PmpTrained|
Fresher Trainee / IT Fresher Openings,A V Immigration And Careers Consultancy Private Limited,Bengaluru/Bangalore,0-1years,150000 - 250000 INR,We Have Good opportunity For Fresher Trainee / IT Fresher Openings / Exp : 0 To 6 months.,Trainee|ITFreshers|Software|IT|InformationTechnology|
Senior Infrastructure Leader IT,Novomed Incorporation Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-9years,940000 - 1420000 INR,We are Urgently looking for an outstanding Global Configuration Manager with solid experience in designing and maintaining,Analytical|Activedirectory|DataProcessing|Customerservice|ItServices|Configurationmanagement|MsOffice|InformationTechnology|
Excel Expert,Vinirma Consulting Private Limited,Hyderabad/Secunderabad,2-4years,Not Specified,Position:Contract |  Location:Hyderabad |  Company:MNC |  Notice:15 Days,PivotTables|Sumif|Formulas|CellformattingVlookup|MsExcel|Macros|Macros|
