jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
International Voice Process,Hucon Solutions India Private Limited,Hyderabad/Secunderabad,1-7years,Not Specified,Looking for someone who has the below. |   |   |  Process- International Voice |   |  Qualification - Any graduate |   |  Experience - 1 to 7 years |   |  Joining - Immediate |   |  Work location -  Hyderabad |   |,InternationalVoice|calling|VoiceProcess|InternationalBpo|
Process Associate (International Voice),2COMS Consulting Private Limited,Hyderabad/Secunderabad,0-5years,200000 - 500000 INR,"Hiring for top MNCs in Hyderabad, for BPO (Business Process Outsourcing)services, Which offers a professional work environment, outstanding challenges, industry competitive compensation, accelerated career growth and overseas opportunities.","""Internationalvoiceprocess""|""Internationalprocess""|""InternationalSales""|Customersupport""|""Voiceprocess""|""Customerservice""|""VoiceSales""|""ADP""|""Amazon""|""HSBC""|""Dell""|""Deloitte""|""Regalix""|""C3I""|""Accenture""|""Cognizant""|"
International Voice Process - Kolkata,Jobs Expert Private Limited,Kolkata,1-5years,Not Specified,Job Title: Customer Support VoiceWork Location: KolkataShift: Rotational ShiftWeek Off: 2 Days rotational Week OffQualification: Undergraduate/ Graduate/ Post GraduateGraduate Candidate should have minimum 9 months Experience in BPO,
Associate Technical Support- International Voice Process(CALL- 8766285530),Waterleaf Consultants Private Limited,Gurgaon/Gurugram|Pune,1-11years,300000 - 500000 INR,Associate Technical Support-International Voice |  Location: Gurgaon/ Pune |  Qual- Gards/ UG/ Drops outs can apply |  Skills- 1 yr tech support exp in International Voice Process |  Shifts- 24/7 |  CTC- 5LPA + Incentives |  CALL LIPIKA |  8766285530/ 8467054123,TechSupportVoice|Troubleshooting|ActiveDirectory|ServiceDesk|ItHelpdesk|PrinterSupport|SystemAdministration|NetworkSupport|Ccna|ServerSupport|AzureActiveDirectory|ExchangeServer|RemoteSupport|TechnicalHelpdesk|TechnicalSupport|
Immediate Openings For International Voice  Process.,Infyjob Technology Services,Hyderabad/Secunderabad,1-8years,Not Specified,International Process,InternationalSalesProcess|InternationalVoice|Telesales|CallCenter|Bpo|Telecalling|
International Voice / Non-Voice Process,2COMS Consulting Private Limited,Chennai,1-5years,100000 - 350000 INR,Customer Service Representative || Immediate joiner || MNC || Work From Home,InternationalVoiceSupport|internationalnon-voice|Upselling|
HIRING FOR INTERNATIONAL  VOICE PROCESS IN KOLKATA,Arise Solution,Kolkata,0-1years,Not Specified,INTERNATIONAL VOICE PROCESS |  SALARY UPTO 20000 |  IN HAND 16000 |  US PROCESS |  FIXED SHIFT |  FIXED WEEKOFF SUNDAY SATURDAY |  FRESHER+EXPERIENCE CAN APPLY,EnglishLanguage|BPOExecutive|VoiceProcess|InternationalBpo|CallCenter|Bpo|InternationalCallCenter|Voicesupport|Inbound|Outbound|CustomerCareExecutive|HealthCareServices|CustomerSupport|TechnicalSupport|
International Voice Process / Fluent English / Medical Billing Process - Ahmedabad,Durus Consulting Private Limited,Ahmedabad,0-3years,150000 - 300000 INR,Good communication skills in English |   Experience in Medical Billing process has been Eligible. |   Should be able to work with Voice Process. |   For Ahemdabad Candidates only. |   If Someone interested Contact on 9687676593,MedicalBilling|UsHealthcare|MedicalCoding|cashposting|Healthcare|ArCaller|MedicalRepresentative|DenialManagement|Medicalrep|PharmaSales|Territorybusinessmanager|Fieldsalesofficer|USShift|
International Non voice Process_Chennai,Fazo Software,Chennai,0-5years,Not Specified,Openings for International Non voice Process-Chennai( Velacherry)-Immediate Joiners,Nonvoice|Bpo|
International Voice Process,Fazo Software,Chennai,Fresher,170000 - 280000 INR,Good Communication |   Salary 12000 - 15000 / month |   Incentives up to 8000. |   Immediate Joining. |   Night Shift.,BPOCallCentre|InternationalCallCenter|VoiceProcess|Bpo|InternationalBpo|CustomerCareExecutive|CallCenterExecutive|BPOFresher|VoiceSupportExecutive|Voicesupport|VoiceBasedProcess|USRecruiter|USShift|UKShift|DayShift|UsItRecruiter|
