jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Senior Executive / Deputy Manager,Reifenhauser India Marketing Limited,Mumbai,2-5years,Not Specified,Sales of Capital Goods  |  Good Networking Skills  |  Lead Generation  |  Follow ups /  |  Good Market Knowledge,SeniorSalesExecutive|SalesManager|
"OFFSHORE TEAM LEAD – WEB, MOBILE & DATA",Stratagile Marketing Consultancy Private Limited,Cochin/Kochi/Ernakulam,10-15years,Not Specified,"Urgent Opening for OFFSHORE TEAM LEAD – WEB, MOBILE & DATA at Stratagile, Kochi",TechTeamLeader|L1Engineer|Mobile|SocialMedia|DotNetTechnologies|Web|
Senior Front End Developer,Stratagile Marketing Consultancy Private Limited,Bengaluru/Bangalore,4-10years,400000 - 1500000 INR,We have an urgent opening for a Senior Front End Developer at StratAgile in Bangalore. The role is to work closely with one of our largest client Standard Chartered Bank team in Singapore.,FrontEndDevelopment|HTML|CSS|Javascript|
Hiring Fullstack Reacts JS Developers::Hyderabad,Jiva Internet Solutions Private Limited,Hyderabad/Secunderabad,4-8years,Not Specified,"We are looking for a Full Stack Developer specializing with NodeJS and React Native, who is extremely hands-on and can take charge of the complete Web Development process to deliver unique & customer centric web applications. |",ReactNative|react.js|Node.js|NodeJS|
Hiring::Manual Testers::Immediate Joiners::JIVA InfoTech::Hydera,Jiva Internet Solutions Private Limited,Hyderabad/Secunderabad,3-7years,Not Specified,"Hi , |   |  Greetings of the day... |   |  We came across your job profile and found it to be a good match for a job role currently available at JIVA InfoTech. |   |  We believe that your skill sets and professional background are just what we are looking for, and hav",ManualTesting|Erp|Selenium|
Tele sales Executive,Hagnos Marketing and Consulting Private Limited,Bengaluru/Bangalore,1-3years,200000 - 300000 INR,We are looking for tele sales executives for a reputed financial company. Candidates must have experience into Home loans/ Business Loans/ Personal loans sales experience.,Telesales|TelesalesExecutive|TelesalesOfficer|LoanOfficers|loansales|LoanAgainstProperty|homeloansHomeLoan|HousingFinance|BusinessLoan|personalloansPersonalLoan|
Manager Sales,Reifenhauser India Marketing Limited,Mumbai,8-10years,670000 - 1030000 INR,"Increase in revenue and profit ,competition analysis , Market mapping Establish a routine practices to increase teams efficiency . Accountability management ,Accurate forecasting Training to the team Increase data base and network from FMCG",ManagerSales|Sales|
Senior Software Developer,Search Agency Performance Marketing India Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,"The Senior Software Developer will be developing high degree of autonomy, building tools and solutions for a wide range of business problems. The individual will work in close coordination with our London based teams in a fast-growing segment.",Chef|Salt|SoftwareDeveloper|Redis|amazondynamodb|MySQL|PostgreSQL|MongoDB|amazonsimpledb|Puppet|Jenkins|Puppet|Hadoop|Redshift|Coffeescript|Git|
Business Analyst,Reifenhauser India Marketing Limited,Mumbai|MumbaiCity,5-12years,610000 - 1540000 INR,Senior Manager - Business Analyst with more than 5 years of experience.,BusinessAnalyst|FinancialAnalyst|Seniorbusinessanalyst|
Graphic Designer,Kaleidoscope Marketing Communications Private limited,Pune,2-5years,200000 - 350000 INR,"We are looking for creative graphic designers possessing 2 to 5 years experience in designing for print collaterals such as profiles, brochures, ads & mailers.",Coreldraw|Photoshop|GraphicDesigner|Illustrator|Visualiser&GraphicDesigner|
Need SME for Maths,Landscape Outsource Marketing Private Limited,Gurgaon/Gurugram,0-5years,360000 - 480000 INR,Need Subject Matter Expert for Maths Subject,SubjectMatterExpert|
Instructional Design,Landscape Outsource Marketing Private Limited,Gurgaon/Gurugram,0-5years,360000 - 480000 INR,"Selected candidate's day-to-day responsibilities include: |   |  Storiyfy the NCERT Maths Primary - grade 4,5 and 6 - Maths concepts and how it becomes relevant for children and pedagogically helps children to understand the concepts well - will be require",InstructionalDesign|InstructionalDesigners|InstructionalDesigning|InstructionalDesigner|
BRAND MANAGER,Samsika Marketing Consultant Private Limited,Mumbai|OtherIndia,3-4years,500000 - 600000 INR,"Focus would be on Brand Strategy Development through Client Servicing and Customer Relationship. Would give presentations, prepare reports and service clients",BranchManager|Brand|BrandManagement|Branding|Marketing|
Manager Business Development,Reifenhauser India Marketing Limited,Mumbai,4-10years,730000 - 1210000 INR,"identify sales leads,  pitch goods or services to new clients and maintain a good working relationship with new contacts,  |  Communicating new product developments to prospective clients, Overseeing the development of marketing.",BusinessDevelopmentManager|
Area Collection Manageer,Hagnos Marketing and Consulting Private Limited,Surat|Visakhapatnam,6-8years,600000 - 1000000 INR,Designation – Area Collection Manager – Home Loans |   |  Base Location – Bangalore |   |,•Mustbeabletomanageemployeesethicallyandfairlywhilestillbeingfirmandenforcingcompanyrules.•Excellenttimemanagementandmulti-taskingskills.•Musthavestrongnegotiationandpersuasionskills.|
