jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Relationship Manager for reputed share broking company,Morgan Eries,Delhi|Lucknow,1-4years,250000 - 509999 INR,"Company :Motilal Oswal Financial services Ltd. |    |   Responible and Advising clients for for Opening trading and demat account for Equity,Commodity , currnecy Segments ,Insurence,Mutualfunds,Investments,Assets and trading Products |    |",SalesSkill|Communication|Interpersonalrelatioship|
Sales Coordinator EL Overseas - (Mumbai),Morgan Eries,Mumbai,4-5years,400000 - 450000 INR,"|   |  Ensuring the deliverables is met through effective planning and execution. Facilitate Disbursement, PDD and Collection activities. Endeavour to make Avanse a brand of first choice within our customer segment.",InterpersonalSkills|communication|Negotiation|DecisionMaking|Flexibility|
Sales Coordinator EL Overseas - (Pune),Travel Food Services Pvt. Ltd,Pune,4-5years,400000 - 450000 INR,"Ensuring the deliverables is met through effective planning and execution. Facilitate Disbursement, PDD and Collection activities. Endeavour to make Avanse a brand of first choice within our customer segment.",InterpersonalSkills|communication|Negotiation|DecisionMaking|Flexibility|
Sales Coordinator EL Overseas - (Hyderabad),MP Dominic & Co,Hyderabad/Secunderabad,4-5years,400000 - 450000 INR,"|  Ensuring the deliverables is met through effective planning and execution. Facilitate Disbursement, PDD and Collection activities. Endeavour to make Avanse a brand of first choice within our customer segment.",InterpersonalSkills|communication|Negotiation|DecisionMaking|Flexibility|
Relationship Manager for reputed  Financial services Company,HR Factor,Delhi|Mumbai,1-4years,210000 - 409999 INR,"Company :Motilal Oswal Financial services Ltd. |   |  Responible and Advising clients for for Opening trading and demat account for Equity,Commodity , currnecy Segments ,Insurence,Mutualfunds,Investments,Assets and trading Products |   |",SalesSkill|Communication|Interpersonalrelatioship|
Restaurant Manager,C P Careers Private Limited,Bengaluru/Bangalore,8-15years,450000 - 550000 INR,Candidate with 8+years experience in Restaurant domain (preferred Indian/Multi-Cuisine Exposure),InterpersonalCommunicationSkills|
"Urgent Hiring for Ground Staff, Air ticketing and Cabin Crew in Airline.",C P Careers Private Limited,Chennai|Kolkata,0-2years,Not Specified,"We are hiring staff for 3 job profile - Ground Staff, Air ticketing and Cabin crew...",CommunicationskillsPlanning|OrganizingResponsibility|Teamwork|Problem-solvingskills|Interpersonal|abilitiesFlexibility|SoftSkills|ManagementSkills|Professional|
MALE NURSE,Team Management Services,UnitedArabEmirates,1-5years,Not Specified,Hiring MALE NURSE,EffectiveCommunicationSkills|Empathy|InterpersonalSkill|
Business Development Manager,C P Careers Private Limited,Indore,4-8years,400000 - 850000 INR,Industry-IT Software |   |  Experience - 4 - 8 Years |   |  Notice Period - 30 Days |   |  Salary - 400000 - 850000 PA |   |  Vacancies - 1 |   |  No of Interviews - 2 |   |  Job Type - Permanent Full Time |   |  Consider Relocation - yes,GoodCommunication|GoodInterpersonal|GoodNegotiation|
Sales Manager - Online Education Work From Home,PayGate India Private Limited,Bengaluru/Bangalore|Chennai,5-9years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheets, and PowerPoint.",SalesManagement|Sales|Target|CommunicationSkills|Interpersonal|SkillsProblem|SolvingPresentation|OrganizationalSkills|Powerpoint|Spreadsheets|
