jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"IT Project Management, ITIL, Presentation Skills ,Office 365 ,Share point",Progneur Technologies Private Limited,Pune,5-7years,Not Specified,"	5-7 years of experience working in technical roles (developer, analyst, project manager, etc.) |    |  	Basic 1-3 years of Project Management experience |",PresentationSkills|SharePoint|ItProjectManagement|Itil|Office365|
ITSM Process Manager/ITSM/ITIL-Chennai/Pune/Mumbai/Noida.,3 Minds ESolutions Private Limited,Chennai|Mumbai,3-12years,Not Specified,we are looking for ITSM process manager for Chennai//Pune/Mumbai/Noida locations. Minimum exp required-4+yrs. |  Fulltime |,ServiceManagement|Remedy|Itsm|Itil|Itsmv6|Datacenter|
Business Analyst /BA/Chennai/Pune/Mumbai/Bangalore/Hyderabad,3 Minds ESolutions Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,We are looking for Business Analyst with 5+years of experience.,BusinessAnalyst(BA)|Itil|
change and problem manager,Computer Generated Solutions India PVt. Ltd.,Pune,5-10years,Not Specified,"Good communication skills ( verbal / Written )  |  Having ITIL Foundation certificate |  Experience in managing large account Change & Problem Management |  Attitude to support Business / Non Business hours |  Team player , Coordination skills",changeadvisoryboard|ItilCertified|Itil|
ServiceNow Support/ Admin,Larsen & Toubro Infotech Limited,Hyderabad/Secunderabad,3-8years,400000 - 1200000 INR,The ideal candidate: |   |  · Is ITIL v3 Certified |   |  · Able to rely on his/her strong analytical and problem-solving skills |   |  · ServiceNow experience: |   |  · Admin Certified (Implementation) |   |  · Integrations |   |  · ITOM |   |  · Implementation |   |  · Manage instance |   |  · CMDB ex,"""servicenowadmin""|""CMDB""|""ITOM""|""ITSM""|""ITILCertified""|"
Project Manager - ITIL,Vinirma Consulting Private Limited,Mumbai|Pune|MumbaiCity|NaviMumbai|Thane,7-14years,Not Specified,"Project Manager - ITIL |  Experience in Project / Program Management, Stakeholder Management",ProjectManager|ProgramManager|Itil|
Core Banking Business Analyst – Technical  for Qatar,JB Consultants,Qatar,7-12years,Not Specified,"Urgent hiring for Core Banking Business Analyst – Technical .7 to 10 years of experience in the BFS domain predominately supporting IT projects, business analysis or business strategic planning.",BusinessAnalyst|PRINCE2.|CoreBanking|Cbap|Itil|Togaf|
Urgent opportunity for Service Desk Analyst in  Navi Mumbai,BR Raysoft Global Private Limited,NaviMumbai,5-10years,Not Specified,Qualifications/Requirements:  |  • Bachelor’s degree/Graduate in any stream  |  • 5+ years’ experience of working on a help/service desk Level 1 and higher support,"""servicedesk""|""helpdesk""|ticketingsystem|Slas|Incident|Change|ProblemManagement|Itil|"
IMS DB,Ifintalent Global Private Limited,Bengaluru/Bangalore,5-9years,Not Specified,•	5-8 years of strong hands on experience in Mainframe technology,ImsDb|Pl1|Cobol|CICS|DB2|JCL|Itil|Sdlc|
Knowledge Management Analyst,Encora Innovation Labs India Private Limited,Hyderabad/Secunderabad,3-5years,Not Specified,Looking for knowledge management incumbent who would own the process improvement for knowledge globally working with regional teams to increase knowledge utilization,knowledgemanagment|Processimprovement|templatemanagement|Itil|
Job opportunity for Sol. Mngr. 1,Supro Info Solutions Private Limited,Delhi,6-10years,Not Specified,"Functional/Technical proficiency with at least 1+ full life cycle SAP implementations with at least 1 S/4HANA implementation. |  2+ year experience with various SAP Solution Manager 7.2 modules (Solution Manager 7.2 Focused Build, Project and Portfolio",endtoendSoftwareDevelopmentLifecycle(SDLC)|ITILandReleaseManagementprocess|APSolutionManager(ChaRM)|ITILandReleaseManagementprocess|
Immediate C2H Opening for SENIOR CONSULTANT-INFRA STRUCTURE MANAGEMENT  at HYDERABAD Exp: 5+Yrs,Best infosystems Ltd,Hyderabad/Secunderabad,5-15years,Not Specified,Immediate C2H Opening for SENIOR CONSULTANT-INFRA STRUCTURE MANAGEMENT  at HYDERABAD |  Exp: 5+Yrs |  Notice period : Max 30 days |  Mandatory skills: |  Linux |  ITIL Process |  Incident Management. |  Cloud knowledge. |,InfrastructureManagement|Cloud|Itil|Linux|
Service now- Engineering manager,JB Consultants,Bengaluru/Bangalore|Hyderabad/Secunderabad,13-20years,Not Specified,Looking for Service now- Engineering manager,Dotnet.Net.Net|Architecture|ArchitectureDesign|Itil|Java|.NET|Agile|
HIRING MAJOR INCIDENT MANAGER,Best infosystems Ltd,Bengaluru/Bangalore,6-10years,Not Specified,"A core member of an IT support team operating the Operations Center (OC). |  365 x 12 x 7 shift-based operational environments providing level 1-2 response to alarms from network, servers, and application system errors.",IncidentManagement|MajorIncidentManagement|Itil|
