jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
JavaScript,Skynet Placements,Vadodara,5-7years,Not Specified,"JavaScript, TypeScript, HTML5 and CSS,Single page apps (SPA) and Micro-frontend,Responsive UI,JavaScript unit-testing frameworks and BDD testing,Knowledge of Rest API/Json, XML.Azure/AWS DevOps,Git, Bit Bucket, JIRA |  NodeJS ,Knowledge of Platform, DB.",HTML5andCSS|Singlepageapps(SPA)andMicro-frontend|ResponsiveUI|JavaScriptunit-testingframeworksandBDDtesting|KnowledgeofRestAPI/Json|XML.|Javascript|Typescript|
JavaScript,Skynet Placements,Vadodara,3-8years,660000 - 1680000 INR,"Javascript, Type Script, HTML5, CSS, Single page apps, Responsive UI, BDD Testing, Azure/AWS, Devops, Git, Bit bucket, JIRA, Micro-frontend, Node JS.",Spa|Javascript|Html5|CSS|UiDevelopment|Azure|Devops|FrontEndDevelopment|
JavaScript Developer,3 Point Human Capital Private Limited,Bengaluru/Bangalore|Chennai,1-3years,Not Specified,Job opening for JavaScript Developer,Javascript|Jscript|
JavaScript Lead,Best infosystems Ltd,Bengaluru/Bangalore,6-8years,Not Specified,Jooking for JavaScript Lead,Javascript|HTML|CSS|DOJO|
"UI Developer (Angular , Javascript)",Bodhami Private Limited,Bengaluru/Bangalore|Goa,1-4years,250000 - 350000 INR,"Bodhami is a National Award Winner of 2020 and featured on National Startup Showcase. We are looking for a UI Developer with hands on experience in Angular, Java to join our award winning team. |",Angular|Bootstrap|Html5|CssJavaScript|
Sr. Frontend  Developer - PAN INDIA,Serviam Consultancy Services,Mumbai,7-10years,800000 - 2200000 INR,"The ideal candidate should love shipping web applications and supporting them in production, and |   consulting with clients to bring clarity to challenging enterprise environments. You’ll work shoulder to |   shoulder with our teams, partners, and clients. |",Html5|Css3|Sass|Less|Javascript|jQuery|AngularJavascript|Git|
Front End Developer,SliceMyPage,Lucknow,0-3years,120000 - 300000 INR,"We are looking  for the position of Front End Developer who is  responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency, and maintaining brand consistency across all web pages",Photoshop|HTML|CSS|Javascript|Bootstrap|WebDesigner|
Angular Developer(7 and 8),Deputize Consultancy Private limited,Mumbai|Pune,3-4years,Not Specified,Please share copy of your updated resume if you are available and interested to learn more about this opportunity;   |   |   |  Angular Developer |  Pune  |   |   |   |  Responsibilities |   Delivering a complete front-end application |   Ensuring high performance on mobile and,Angular|Html5|Css3|Javascript|
OPENING FOR FRESHERS PYTHON DEVELOPER,Career Mantra Management Services,Mumbai|Pune,0-1years,120000 - 229999 INR,"Post : Python developers |      Salary : 1.8 L.P.A To 2.4 L.P.A. |      Job Location : Pune, Mumbai |      Interested Candidate Apply Here |      For More Details Call Us 7249679203 HR Megha",PythonDevelopers|Java|HTML|CSS|Javascript|MSSQL|
"Mandatory Skill: Angular 2+, HTML, CSS, Typescript, Javascript ,Es6,Bootstap",Best infosystems Ltd,Bengaluru/Bangalore|Chennai,4-9years,Not Specified,"Mandatory Skill: Angular 2+, HTML, CSS, Typescript, Javascript ,Es6,Bootstap. |  Strong expertise with HTML, CSS, Typescript, Javascript ,Es6 |  Proficient understanding of web mark-up,  HTML5, CSS3 |  Experience with RESTful services |  Good understanding. |   |",Angular|Html5|CSS|Javascript|
Resource Manager,3 Point Human Capital Private Limited,Bengaluru/Bangalore,8-15years,Not Specified,Job opening for Resource Manager,Javascript|Jscript|
Dot Net – Technical Consultant,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,8-18years,Not Specified,Must have Skills |    •	Dot Net |    •	MVC |    •	Java Script |    •	Web API integration  |    •	API call |    •	Ajax |,.NET|C#|Asp.Net|Mvc|HTML|Javascript|CSS|
React Native,Freelancer Divekar Kaniza Ishaq,Pune,2-12years,409999 - 3000000 INR,Urgent Opening for React Native-Pune,ReactNative|Redux|Javascript|Xcode|
SFCC Developers,D4 insight,Remote,6-12years,Not Specified,Looking for SFCC Developers,SFCC(Demandware)|HTML|CSS|Javascript|
React.js Developer,Kayk Technologies Private Limited,Hyderabad/Secunderabad,0-4years,Not Specified,"We are looking for a skilled React.js Developer. In this role, you will be responsible for developing and implementing user interface components using React.js concepts and workflows such as Redux, Flux, and Webpack.",react.js|Javascript|
Senior Full Stack javascript developer,iWork Solutions,Mumbai,5-8years,Not Specified,"A senior Full stack javascript  developer with  front end and backend expertise such as Javascript, Node js , bootstrap, MySQL, etc |   Contact Loretta Rodrigues |   M:  9930324878 |   E:  [HIDDEN TEXT]","SKILLS:·""Javascript""""ExperiencewithNodeJS|Angular""|"
Java Consultant,Infinity HR Solutions,Gurgaon/Gurugram|Hyderabad/Secunderabad,6-10years,Not Specified,"Core Java, Spring, Hibernate |   |  Requirements Elicitation, Understanding, Analysis, & Management |",Javascript|HibernateSprings|
Online jobs pls register here-- https://forms.gle/TSc3Xyq47FDGfcEu8,Inspire People Consultancy,Bengaluru/Bangalore|Delhi,0-5years,Not Specified,"Hi , |  Greetings from inspirepeople consultancy, |  If you are interested for below mentioned job profile , please Click on below given link & register . |   |  Registration Lik:- https://forms.gle/TSc3Xyq47FDGfcEu8 |",Java|python|Javascript|ReactNative|
Full stack Developer,Deputize Consultancy Private limited,Mumbai,4-5years,Not Specified,"Please share copy of your updated resume if you are available and interested to learn more about this opportunity;   |   |  Full stack Developer |  Andheri, Mumbai  |   |   |  Roles and Responsibilities |  • Displaying sound knowledge of software engineering |  process, you",Java|J2EE|Javascript|Angular|Bootstrap|
Software Eng (Dev) III,Global Technologies,Hyderabad/Secunderabad,7-9years,Not Specified,Our client is a global leader in the gaming industry with over 12000 employees. We are seeking a seasoned JavaScript Developer to join our team to build triple-A quality casino games. We're building authentic games to be played online in a non-gambli,Html5|ReactNative|Java|J2EE|Javascript|jquery|Angular|Maven|Jenkins|
Senior JavaScript Developer,Elite Corporate Solutions Private Limited,Bengaluru/Bangalore,6-14years,Not Specified,"6+ years of proven experience building JavaScript production applications that scale |  Deep understanding of application architecture and ability to teach it to others |  Strong understanding of JavaScript, its quirks, and workarounds |",Javascript|Angularjs|BackboneJS|Reactjs|HTML|CSS|
React Native,Prime Online Pvt. Ltd,Noida,3-5years,330000 - 700000 INR,Opportunity For React Native (Immediate Requirement),iosdeveloper|ReactNative|Android|Javascript|
AEM Developer,Disha Recruitment Services,Kolkata,2-5years,Not Specified,"Web Application Developer will be a member of a global Development team, supporting Legacy systems and web sites as well as developing new features and new Web applications. |  CMM5 Level Product Development  MNC Company |  Now –WFH/ Later WFO – Kolkata",Javascript|CSS|HTML|Java|Aem|Database|
Frontend Software Developer - ReactJS | 3-8 Yrs | 12-22 LPA,Deputize Consultancy Private limited,Bengaluru/Bangalore|Chennai,3-8years,1200000 - 2200000 INR,"Keys Skills : Reactjs, Javascript, HTML, CSS, Mysql |   CTC : 12-22 LPA | Bangalore | Full-time (Permanent) |   - We are looking for an experienced programmer having expertise with ReactJS. |   - Bbuild large scale enterprise applications using best practices",Reactjs|Javascript|HTML|CSS|Mysql|react.js|Javascript|AngularJs|Angular.js|Frontend|FrontEndDevelopment|
