jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software Engineer-III (Test automation) - Contract,Huarc HR solutions Private Limited,MumbaiCity,7-10years,Not Specified,"The Software Engineer-III (Test automation) will work collaboratively as part of an agile project team, pairing with developers and testers to develop and maintain automated tests to run within the defined automation framework.",embeddedframework|jenkinsserver|AutomationTesting|PythonScripting|RobotFramework|
Software Eng (Dev) III,Labridge Consulting,Hyderabad/Secunderabad,7-9years,Not Specified,Our client is a global leader in the gaming industry with over 12000 employees. We are seeking a seasoned JavaScript Developer to join our team to build triple-A quality casino games. We're building authentic games to be played online in a non-gambli,Html5|ReactNative|Java|J2EE|Javascript|jquery|Angular|Maven|Jenkins|
QA Architect,Brain Management Consultants India Private Limited,Hyderabad/Secunderabad|Noida,10-15years,Not Specified,Designation:QA Architect |  Experience:10+ Years |  Location: Hyderabad /  Noida |  Notice Period: less than 15 Days |   |,QAArchitect|Uft|Jenkins|Selenium|Appium|Protractor|
AWS Solution Architect,Continuum Managed Solutions LLP,Bengaluru/Bangalore|Mumbai,9-19years,Not Specified,AWS Solution Architect,AwsSolutionArchitect|Migration|Docker|Jenkins|Kubernetes|
Senior software Engineer - Devops,Aequor Information Technologies Priivate Limited,Mumbai|Pune,5-8years,Not Specified,Location |   Mumbai / Pune / Goa |    |   Qualifications |   B.E / B.Tech / ME / M.Tech / MCA / Msc |    |   Experience |   3 Years - 0 Months To 8 Years - 0 Months |,CI/CD|Jenkins|ElasticSearch|Git|Containers|AWS|
Java Backend Developer,Talent To Connect Solutions And Services,Hyderabad/Secunderabad,4-9years,Not Specified,Java Backend Developer,Java|Microservices|Threads|Jenkins|
"Job Opportunity for Service Max,Devops and Apttus CPQ",Sun Technology Integrators Private Limited,Bengaluru/Bangalore|Chennai,5-10years,Not Specified,"we are looking for a candidate who is having an experience with salesforce,devops and service max",Apptus|Salesforce|ServiceMax|SFDC|Github|Jenkins|
Hiring _Automation Testing _Bangalore,AasaanJobs Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"We are looking for Sr. Automation Testing for Full Time. If you are interested in exploring this opportunity, revert to me with the following details with your latest resume.",AutomationTesting|Selenium|Java|RestApi|Jenkins|
Associate  Quality Assurance Engineer,Encora Innovation Labs India Private Limited,Mumbai,3-6years,1000000 - 1400000 INR,Associate digital quality assurance -Mobile app testing Automation Selenium |   |  Automation: 20% |  Selenium: 20% |  Appium: 20% |  Jenkins: 20% |  GRPC: 20%,SeleniumAutomation|Java|Appium|Jenkins|
DevOps Engineer with Jenkins,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,Very good understanding of enterprise CICD ecosystem and processes.,GroovyDSL|Jenkins|Devops|Ansible|Terraform|Kubernetes|Docker|Shell|Python|
