jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Test Engineer- Performance Testing,Best infosystems Ltd,Bengaluru/Bangalore,5-10years,Not Specified,Looking for Test Engineer- Performance Testing,LoadRunner|Jmeter|
Senior Software Engineer Data Base Administrator,Eteam Info Services Private Limited,Bengaluru/Bangalore,1-8years,Not Specified,"Role : Senior Software Engineer |   Location : Bangalore |   Skill Set : Data Structure , Spring Framework , Testing Tool ( Jmeter,selenium,xunit) |   Employment : Contract to Hire |   Experience : 1.5+ years and more",DataStructures|SpringFramework|Jmeter|Selenium|
Performance Testing,Quess IT Staffing (Formerly known as Magna Infotech),Pune,7-10years,Not Specified,Urgent opening_Performance Testing_7 to 10 Years_Immediate to 15 Days_Pune,PerformanceTesting|Loadrunner|Jmeter|LoadRunner|
Performance Testing with JMeter,Mindteck (India) Limited,Kolkata,5-8years,Not Specified,"Candidate should have hands on experience on JMeter configuration and designing, only execution experience will not do.",Performancetest|Designing|PerformanceTesting|PerformanceTester|Performancetesting|Jmeter|JMeter|Configuration|
QA  Engineer,Deep Dive Global,Remote,3-7years,1500000 - 2500000 INR,"We are hiring QA Automation Engineer for a Client of ours - It a product-based organization. Looking for candidate with  3 to 7 years experience in Product testing using Selenium, Java programming, API Testing, and Jmeter and cucumber are mandatory.",Qa|AutomationTesting|Java|ApiTesting|Jmeter|Cucumber|
Tester for Bahrain,Vinirma Consulting Private Limited,Bahrain,3-8years,Not Specified,Urgent hiring for Tester for Bahrain. Work with Agile/Scrum methodologies.,Jmeter.|Tester|Wapt|
QA Tester,Learning Candid India Private Limited,Bengaluru/Bangalore,3-6years,Not Specified,JOB DESCRIPTION  |  •	Understanding the requirements |  • Test scenarios identification |  • Preparation of clear and detailed Test cases |  • System testing execution and updating the status on daily basis.,Webgui|Selenium|Jmeter|UnixOperatingSystem|UNIX|
"Module Lead-Java,Springboot,Microservice",Best infosystems Ltd,Bengaluru/Bangalore,4-8years,Not Specified,Volvo Group connected solutions is looking for an Java Developer that could be Responsible for capturing additional detail information needed for the detailed design construction and testing of the software units,ModuleLead|Java|Springboot|Microservices|Junit|Testing|Jmeter|Git|
Performance Engineer,Quess IT Staffing (Formerly known as Magna Infotech),Hyderabad/Secunderabad,4-6years,Not Specified,"Please  find the Below Job Description :- |  Job Description for Performance Engineer  |  Role:-Performance Engineer  |  Skills Required:- Load runner,Jmeter |  Experience:- 4-6Yrs |  Location:- Hyd |  NP:Immediate-15days",Loadrunner|Jmeter|
Web Application- Automation Tester,Skynet Placements,Bengaluru/Bangalore,5-8years,Not Specified,"Web application front and backend in terms of functionality and performance, security Java platform and NGIX  Python/Java SQL to write queries.",LINUXEnvironmentJMetertoolTestAnalysis&DesignincludingPerformance&Securitytesting.|
Performance Tester,A Thingz Solutions Private Limited,Hyderabad/Secunderabad,4-9years,Not Specified,Performance Tester,MicrofocusLoadRunner|ApacheJmeter|
STS – Performance Testing/ Performance Engineering,Serviam Consultancy Services,Mumbai,7-10years,Not Specified,"Experience with Performance test executions, reporting, and results analysis",ApplicationPerformanceMonitoring|BottleneckAnalysis|PerformanceTesting|PerformanceEngineering|Jmeter|Docker|Kubernetes|multithreading|
Performance Testing,Quess IT Staffing (Formerly known as Magna Infotech),Hyderabad/Secunderabad,4-6years,Not Specified,"Please  find the Below Job Description :- |  Job Description for Performance Testing . |  Role:-.Performance Testing  |  Skills Required:- Load Runner,Jmeter |  Experience:- 4-6Yrs |  Location:- Hyd/Blr |  NP:Immediate-15days",LoadRunner|Jmeter|
