jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Immediate Opportunity for  Java Full Stack Developer,InfoPro Solutions Pvt Ltd,Bengaluru/Bangalore,3-6years,10000 - 1500000 INR,"	Good to very good Java knowledge    |   	Experience  with development  tools (Eclipse, git, Docker,  Jira) and automated  tests (JUnit)  |   	Experience with React.js Html, css,  |   	Proficiency working with relational databases",Java|react.js|Docker|Spring|Hibernate|Junit|JIRA|Git|
Java Developer,Simple Logic IT Private Limited,Mumbai,3-8years,Not Specified,Greetings from Simple Logic IT Pvt Ltd!! |   |  We are actively hiring for roles in our java team in mumbai. Currently there will be a work from home setup until the lockdown exists. |   |  We are looking to interact with passionate coders and problem solvers.,SOAPWebServices|CoreJava|AdvanceJava|Spring|Hibernate|Servlets|Jsp|j2ee|Junit|Jboss|Tomcat|Restful|
Site Reliability Engineer,ABACUS STAFFING & SERVICES PRIVATE LIMITED,Bengaluru/Bangalore,5-8years,Not Specified,"|   |  The Site reliability engineer will be responsible for design, implementation, configuration, optimization, management, documentation and support the continuous delivery of WOS software components in AWS. The candidate will be working",Spinnaker|EventBridge|CloudFormation|JUnit|AWS|ApiManagement|Terraform|
Senior Java Developer,Best infosystems Ltd,Hyderabad/Secunderabad,6-9years,Not Specified,Experience:7+ years |   |    |  Location: Hyderabad |   |    |  Notice: Immediate,Java8|SpringBoot|Junit|Microservices|
"Module Lead-Java,Springboot,Microservice",Skynet Placements,Bengaluru/Bangalore,4-8years,Not Specified,Volvo Group connected solutions is looking for an Java Developer that could be Responsible for capturing additional detail information needed for the detailed design construction and testing of the software units,ModuleLead|Java|Springboot|Microservices|Junit|Testing|Jmeter|Git|
Core Java Developer,Venhan Technologies Private Limited,Vadodara,3-7years,670000 - 1480000 INR,"Must Know:- Core Java, Hibernate, Relational Database Management System, Junit. |   |  Good to know:- AWS, Devops, Git, SVN, JIRA, J2EE, Spring Boot, Struts, SQL, Scalable, High Performance, Rest API, Front End Technologies & Agile.",CoreJava|Hibernate|RDBMS|Junit|Devops|JIRA|J2EE|FrontEndDevelopment|
Java SpringBoot Developer with Microservices,Sampark,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-8years,Not Specified,Java with Springboot and Microservices,Java|Springboot|Microservices|Mvc|JUnit|Spring|
"Sr. Developer (Java full strack), associate",Clinasia Labs Private Limited,Gurgaon/Gurugram,5-9years,Not Specified,|                                  |,
Senior Java Developer (Micro-services),Isg Compusolutions India Private Limited,Hyderabad/Secunderabad,5-8years,1000000 - 1600000 INR,"As the Senior Java Developer (Micro-services), you will be building high-performing, scalable, enterprise-grade applications.",Java|Javascript|DesignPatterns|Html5|CSS|Node.js|SpringFramework|Junit|Docker|Oops|AWS|ApacheSolr|
Java Developer(API/SQL) | 5 to 15 years | Chennai/Pune | C2H,C P Careers Private Limited,Chennai|Pune,5-15years,500000 - 1500000 INR,"Java Developer with API/SQL experience. |  Our client is a global leader in digital transformation with 110,000 employees and annual revenue of € 12 billion.",Sql|Api|REST|Java8|Springboot|Soap|Junit|Hibernate|Cloud|
MANAGER JAVA + UI,Infuse Consulting India Private Limited,Bengaluru/Bangalore|Chennai,8-12years,1000000 - 1600000 INR,"Job Description |   |  Strong understanding of Java, Spring framework, UI Design & design patterns. |   |   |   |   Good understanding of HTML , CSS & JavaScript . |   |   Should have working experience in Java web application development , Java |   |   Must be able to wo",Sybase/SQLServer|Unix/shellscripting|CI/CD|Cucumber/BDD|UIDesign&designpatterns|CSS&JavaScript|Java|AdvancedJava|SpringFramework|Javascript|Css3|Html5|Bootstrap|jQuery|Docker|Kubernates|JUnit|Git|HTML|Unix|
"SDET in Java, Bangalore",Aequor Information Technologies Priivate Limited,Bengaluru/Bangalore,4-6years,Not Specified,Software Developer Test Engineer in Java |     4 to 6 years experience,TestAutomation|Selenium|Java|Junit|JIRA|
Full Stack Developer,Aayam Consultants,OtherIndia,5-10years,Not Specified,Required skills :  |  Core JAVA(Strong) |  Threads(Strong) |  Jenkins(Strong) |  SQL(Strong) |  REST |  Git |  Spring Framework |  JUnit |  Mockito |  Oracle Database |  angular4+ |  Typescript |  HTML5 |  Javascript |  Jquery |  CSS |  Bootstrap |  Jasmine or any,CoreJava|Rest|Git|SpringFramework|Junit|Mockito|OracleDatabase|Angular|Typescript|Html5|Javascript|Jquery|CSS|Bootstrap|Jasmine|
