jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Research Specialist,Azure Knowledge Corporation Private Limited,Delhi|Mumbai,3-13years,Not Specified,"Research Specialist in Market Research industry with excellent English communication skills and vast experience in CATI in US. Experience in Telecom, Finance and Banking sector must. Immediate joining preferred |",ResearchOfficer|ResearchExecutive|ResearchAssociate|ResearchAssistant|
Sr. Project Manager (Opening across India),Azure Knowledge Corporation Private Limited,Ahmedabad|Bengaluru/Bangalore,5-15years,Not Specified,"Applicant must be from Market Research industry only, Should have experience of Face to Face and online studies,    Experience in US market MUST, Ready to work in US shift, Work from home flexibility",Sr.ProjectManager|ProjectManager|DeliveryManager|SeniorProjectManager|
.Net Developer,Orbitouch Outsourcing Private Limited,Gurgaon/Gurugram,3-12years,10000 - 700000 INR,Skills Required |    |   Must have:- |    |   ASP.NET (web forms) |   Microsoft Sql Server |   Web API,ASP.netDeveloper|WebDevelopers|Asp.Net|.NET|DotNet|SQLServer|C#|WebApi|MSSql|
.Net Developer,Orbitouch Outsourcing Private Limited,Gurgaon/Gurugram,3-12years,10000 - 700000 INR,Skills Required |    |   Must have:- |    |   ASP.NET (web forms) |   Microsoft Sql Server |   Web API,ASP.netDeveloper|WebDevelopers|Asp.Net|.NET|DotNet|SQLServer|C#|WebApi|MSSql|
Field work,KK Outsourcing,Lucknow|Varanasi,0-5years,Not Specified,Field work for top e-commerce MNC with good salary,FieldOfficer|
Vice President Sales VP Sales (Opening for USA and Canada),Azure Knowledge Corporation Private Limited,Canada|US,3-10years,Not Specified,Applicant must be from US only and worked in Market Research industry having experience in healthcare sector,VicePresidentSales|VPSales|
Vice President Operations (Opening across India ),Azure Knowledge Corporation Private Limited,Bengaluru/Bangalore|Delhi,3-10years,Not Specified,Applicant must be from Market Research industry having experience in healthcare sector,VicePresidentOperations|VPOperations|
Healthcare Manager required in Canada & Australia,I2canz Outsourcing Private Limited,Australia|Canada,2-8years,3550000 - 4550000 INR,"Health information management workers collect, code, record, review and manage health information. They are employed by hospitals, clinics, workplace health and safety boards, health record consulting firms and other health care establishments.",Healthcare|HealthcareQualityManagement|HospitalsConsulting|HealthcareOperations.|HealthcareProductsMarketing|HealthcareRiskManagement|Hospitals|
"Digital Marketing, Social Media Marketing (Position across India)",Azure Knowledge Corporation Private Limited,Ahmedabad|Bengaluru/Bangalore,5-15years,Not Specified,"Manage Azure's digital presence pertaining to ongoing recruitment efforts on all major and relevant forums, platforms and networks. Generate ongoing interest from Healthcare respondents. Engage with online forums, groups and special purpose portals",SocialMediaMarketing|DigitalMarketing|OnlineMarketing|
"Senior Project Manager (Job location Brazil, Mexico, USA)",Azure Knowledge Corporation Private Limited,Mexico|US,5-10years,Not Specified,"Applicant must be from Market Research industry. Job would include execution of projects , participating in bids , finding vendors and vendor management",ProjectManager|SeniorProjectManager|DeliveryManager|
Requirement For IT Manager In Canada And Australia,I2canz Outsourcing Private Limited,Australia|Canada,2-12years,3529999 - 4560000 INR,"Computer and information systems managers plan, organize, direct, control and evaluate the activities of organizations that analyze, design, develop, implement, operate and administer computer and telecommunications software, networks and information",Administration|technicalengineer|ItManagement|ItInfrastructureNetworking|Network|networkengineer|systemadministrator|TechnicalSupportEngineer|
Electrical and Electronics Engineers Req/ Canada /Australia,I2canz Outsourcing Private Limited,Australia|Canada,2-10years,3529999 - 4520000 INR,"Electrical and electronics engineering technologists and technicians may work independently or provide technical support and services in the design, development, testing, production and operation of electrical and electronic equipment and systems.",Electricalandelectronicsengineering|microelectronicsystems|technicalsupport|
Production Manager Required in Canada / Australia & Germany,I2canz Outsourcing Private Limited,Canada|Germany,2-9years,4050000 - 5030000 INR,"Production logistics co-ordinators co-ordinate and expedite the flow of work and materials within an establishment, prepare work and production schedules and monitor the progress of production and construction projects.",Production|Manufacturing|ProductionManager|ProductionSupervisor|ProductionEngineer|Productionexecutive|
"Production logistics , Logistics Manager /  Logistics Executive Required  in Canada & Australia",I2canz Outsourcing Private Limited,Australia|Canada,2-10years,4029999 - 5830000 INR,"Production logistics co-ordinators co-ordinate and expedite the flow of work and materials within an establishment, prepare work and production schedules and monitor the progress of production and construction projects.",LogisticsManager|LogisticsExecutive|TransportationExecutive|LogisticsOfficer|WarehouseExecutive|LogisticsCoordinator|FreightExecutive|StoresLogistics|Officer|
"Quality Analyst , Quality Controller , Quality Manager , Quality Req in Canada & Australia",I2canz Outsourcing Private Limited,Australia|Canada,2-9years,4240000 - 5620000 INR,"The Quality Assurance Analyst is responsible for supporting the planning, design and execution of system testing on simple to complex implementations.",QualityControl|QuantitySurveyor|QualityAnalyst|QualityExecutive|QualityExecutive|QualityManager|
