jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Laravel Developer , Laravel",CosyTech,Ahmedabad,3-6years,Not Specified,We are looking for PHP Laravel Developer in Ahmedabad |   |  Experience - 3 to 5 Year |   |,Phpunit|Laravel|PostgreSQL|PhpMysql|
Software Engineer - API & Microservices,RSVR Technologies P Limited,Delhi,3-6years,500000 - 1200000 INR,Looking for a software engineer proficient in Laravel & writing APIs in Laravel,Laravel|
Senoir Developer AWS support,Provance Business Consulting Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Opportunity for Senior developer AWS -  TSI |  Experience : 5 - 8 yrs,php/laravel|aws|MsOffice|
Full Stack Laravel/ PHP Developer,Radial HR Solutions,Bengaluru/Bangalore,2-7years,600000 - 800000 INR,Looking for the position of Full Stack Laravel PHP Developer: Require Candidates with 2-5yrs of experience in PHP/ Laravel development with PHP MVC framework implementation.,FullStackLaravel/PHPDeveloper|Laravel|
PHP Developer/PHP Programmer/Sr.PHP developer/Sr. PHP programmer/PHP/Laravel/Laravel developer,Markelytics Solutions India Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,2-7years,Not Specified,Hiring PHP developers with experience in Laravel framework for Markelytics Solutions.,Sr.PHPdeveloper|Php|PHPDeveloper|PHPProgrammer|LaravelFramework|MVCFramework|Agile|AWS|Laravel|
Senior Laravel Developer,Anglara Digital Solutions,Ahmedabad|Remote,2-5years,300000 - 500000 INR,"We are looking for a talented Laravel developer who can start immediately. Salary hike, WFH, friendly work environment, and work on challenging projects are some of the highlights. Excited hope on.",livewire|Php|Oops|Laravel|VueJs|React|Angular|Github|
PHP Developer,Airdesign Broadcast Media Private Limited,Coimbatore,2-7years,300000 - 600000 INR,"Need to create API methods in PHP using Laravel framework. Also need to know Socket concepts. Strong knowledge in Database is must, to handle lakhs of data. Also you have to handle the Bakcend project solely. Past completed project details required.",Php|Laravel|MySQL|Sockets|
Senior PHP Laravel  Developer,Cynosure Corporate Solutions,Chennai,4-7years,Not Specified,PHP / Laravel developer is an IT professional specialized in developing web applications using Laravel Framework within PHP programming language.,Backend|Oops|Api|Laravel|
PHP Laravel Developer,DayNight technologies,Gurgaon/Gurugram,3-8years,500000 - 800000 INR,We are hiring PHP developers with atleast 3 year working experience in Laravel Framework.,Php|Laravel|
Senior PHP Developer/Laravel,ABP Empower,Mohali,4-10years,600000 - 750000 INR,"Urgent opening for Sr. PHP Laravel Developer in Service based company at Mohali |    Work from Home Only |    Experience: 4 - 6 Years |    Male Candidate |    Salary: upto 60,000k to 65,000k per month","""phpdeveloper""|""SeniorPHP""|""SeniorPHPDeveloper""|""PHPFramework""|Laravel|Php|"
"ios developer php,laravel developer",Diraa HR Services,Coimbatore,3-5years,Not Specified,Doy ou cosnider yourself to be a creative individual who is willing step outside of the box in an effort to raise the bar in mobile technology development |   |  Then you might be the right team member we are looking for! |   |  We are hiring an experienced,iosdeveloper|Phpdeveloper|Laravel|
Senior Software Engineer –  PHP+Moodle - US Based Co - PUNE,Selectivite Consultants,Pune,3-9years,Not Specified,30 years old professional IT company is hiring team of Web Developers |   |  Work From Home Till Pandemic |   |  Joining will be in 15 days,"""WordPress""|""LMSsystems""|Moodle|Laravel|Cms|Joomla|Drupal|Magento|"
Laravel Developer/Drupal Developer,Bright IT Global Solutions Private Limited,Chandigarh,1-5years,100000 - 500000 INR,Multiple openings for Laravel Developer/ Drupal for Chandigarh location.,DrupalDeveloper|Drupalspecialist|CodeigniterFramework|jQuery|Git|MySQL|Webdevelopment|Javascript|Php|HTML|Scrum|Php|PHPdeveloper|PHPprogrammer|Laravel|Drupal|
"Android Developer (PHP,laravel)",Deputize Consultancy Private limited,MumbaiCity,3-10years,Not Specified,"Please share copy of your updated resume if you are available and interested to learn more about this opportunity |   |   |  Android DeveloperLocation-Bhandup West ,Mumbai |   |  Should have hand-on experience in Android  Development and laravel |  - Working Experienc",androiddeveloper|Android|PhpScripting|
Software Engineer - Laravel,Ranium Systems Private Limited,Nagpur|Remote,2-4years,300000 - 500000 INR,We are looking for developers having experience working with Laravel PHP Framework. Knowledge of VueJS/Nuxt will be an added advantage. The candidate can work remotely (WFH).,SoftwareEngineer|Softwareprogrammer|Phpdeveloper|Laravel|PhpProgrammer|Lamp|
Senior PHP Developer,Talent Basket,Cochin/Kochi/Ernakulam|Palakkad,2-10years,Not Specified,Urgent opening for Senior PHP Developer US Based company at Cochin/Palakad,Phpdeveloper|Laravel|Mvc|Codeigniter|Cakephp|
PHP Laravel Developer,PinnacleWorks Infotech Pvt Ltd,Gurgaon/Gurugram,1-6years,350000 - 700000 INR,"We are looking for a Software Developer for building high-performing, scalable, enterprise-grade applications. You will be responsible for web application development while providing expertise in the full software development lifecycle, from concept",SoftwareDeveloper|PhpFramework|MVCFramework|Laravel|
Laravel Developer,Heka Finserve Private Limited,Mohali,1-3years,240000 - 360000 INR,"1+ year experience, laravel developer for a Web Development company based in Mohali.",PhpMysql|Laravel|
Front End Developer,Axel Technologies Private Limited,Delhi|Noida,4-9years,Not Specified,"Drupal 8,RDBMS: MySql or PostgreSQL,  Laravel, CMS, HTML/HTML5, CSS/CSS3",RDBMS:MySqlorPostgreSQL|HTML/HTML5|CSS/CSS3|Drupal8|Laravel|Cms|
