jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Lead Consultant,Freelancer Deepika D Bidri,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,580000 - 850000 INR,Recruiting Lead consultant urgently for handling the day-to-day activities on Service now request on Master data initiated by Sales Reps/business users from primarily Veeva CRM system.,BusinessSolution|ProjectManagement|ProjectDevelopment|Lead|Leadconsulting|
Lead Consultant,Holistic Solutions India,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,310000 - 640000 INR,Urgent Requirement,Consultant|Advisor|Placement|HrExecutive|SeniorConsultant|RecruitmentConsultant|FunctionalConsultant|
Oracle Apps Technical Consultant / Lead,Siera IT Services Private Limited,Noida|Pune,4-10years,Not Specified,Job location: Mumbai/Pune/Bangalore/Noida/Hyderabad |  Experience- 5 to 10 years |  Skill: Oracle Apps Technical |,OAF|OracleAppsTechnical|Pl-sql|OracleForms|OracleReports|Adf|Java|Workflow|
SAP - SD Consultant ( Lead),Novac Technology Solutions Private Limited,Hyderabad/Secunderabad,10-15years,1500000 - 2000000 INR,"B.Tech/MBA 10+yrs (5 yrs Functional exp in Mfg industry and 5 yrs in SAP SD) |   MDM, User Documentation, CIN &GST |   Write Functional Specs, Co-ordinate ABAP Team |   Business Process, Mapping |   Inventory Valuation, Order to Cash Cycle Configurations in SAP",SAP(SD)|Lead-SAP(SD)|SAP-Sales&Distribution|
"SAP IBP Lead Consultant@ Hyderabad, Bangalore",Axycube Solutions Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,8-15years,Not Specified,"SAP IBP Lead Consultant@ Hyderabad, Bangalore",ibp|sap|
Lead Consultant_ 9 To 12 Years_ BFSI _ Business Analysis_ Chennai,Etranbiz Global Technologies Private Limited,Chennai,9-12years,Not Specified,JOB DETAILS |   |  Qualification: Any Graduate |  Experience: 9 to 12 Years |  Place of Posting: Chennai |  Industry: BFSI |,GeneralInsurance|Businessprocessanalyst|BusinessAnalyst|GeneralInsuranceCompany|BusinessRequirementsGathering|NonMotorInurance|MotorInsurance|BusinessRequirementsDocument|BusinessAnalyst|Brd|Frd|FunctionalRequirementDocument|
MAX CTC : 24 LPA - React JS LEAD and REACT JS DEVELOPERS (MAX 15 LPA) for Chennai,CloudShine,Chennai,2-12years,Not Specified,URGENT NEED FOR REACT JS LEAD (MAX CTC : 24 LPA) and REACT JS DEVELOPERS (MAX 15 LPA) for Chennai,react.js|FrontEndDevelopment|LeadEngineer|LeadConsultant|
Web Technologies Consultant ( Developer ) Tech Lead,E-Solution India,Bengaluru/Bangalore,4-7years,Not Specified,"Mandatory Skills : JavaScript jQuery, HTML CSS, Rest API, Server Side, Java, JSON. |   |  - Server side and client slide scripting. |   |  - Understanding of the jSON response and API endpoints. |   |  - Understanding for debugging issues. |   |  - Excellent analytical skil",WebTechnologiesConsultant(Developer)TechLead|
Customer Service Executive - Sales Department - Lead Position - Full Time - Work From Home - 30K,Best infosystems Ltd,Bengaluru/Bangalore|Chennai,2-5years,300000 - 400000 INR,"We are looking for Telemarketing sales executive with minimum 2 years of experience as Business Development Executive. Fluent communication skills. Ability to work on Lead conversion to sales, Email Campaign, Lead Management.",VoiceSupportExecutive|CustomerSupportExecutive|LeadGenerationSales|AssistantSalesManager|MarketingManager|TechnicalSupportExecutive|SalesManager|
Salesforce Vlocity/ Sales force Vlocity Developer  for MNC,Novartis Healthcare Private Limited,Bengaluru/Bangalore|Pune,1-11years,Not Specified,MNC company for their Indian Client(Among Top IT giants),Salesforce|SalesForce|Vlocity|Developer|Lead|Consultant|
SAP CO CONSULTANT - MODULE LEAD / TECHNICAL LEAD,Anri Solutions HR Services Private Limited,Chennai,8-15years,Not Specified,"As a Functional Consultant, will be responsible for resolving any SAP issues reported by the business users and delivering all change and enhancements as required by business users.",SAP_CO_COPA|ProductCosting|SapCoConsultant|
Lead Consultant-Sales & Operations Planning,Best infosystems Ltd,Hyderabad/Secunderabad,12-20years,Not Specified,"Lead Consultant-Sales & Operations Planning, Pharma/Non Pharma Manufacturing SCM Operations","""Sales&OperationsPlanning""|"
Technical Lead/ Consultant- Imaging,Novartis Healthcare Private Limited,Noida,5-12years,Not Specified,We are hiring for role of Imaging in TOP MNC- Noida,Imaging|ImagingTools|Imaging|10OS|0365|USMT|Windows7|Mdt|Wds|Sccm2012|
