jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Immediate Requirement for Ui|Ux Designer & Developers,Onpassive,Hyderabad/Secunderabad,5-8years,600000 - 1100000 INR,Maintain ownership of the product vision and roadmap and improving the product development process. Lead the team in expanding mastery of the business goals of each design request and pushing back on stakeholders with innovative UX/UI proposals.,AsAUI/UXdesignerand/orleadinacross-functionalUI/UXteam|dedicatedtothecompleteUI/UXdesignanddevelopmentlifecycleofseveralsuccessfullylauncheddesktopandmobileapplications.|
Hybris-Module Lead/Technical Lead,HR Factor,Bengaluru/Bangalore|Chennai,5-10years,500000 - 1700000 INR,"Designing and leading B2B, B2C, multi-site and multi-country, end-to-end implementations of eCommerce platforms |  Contribute effectively in defining the architecture/design of solution and implementation |  Independently handle all modular designs and has",Hybris.|Ecommerce|ImpEX|FlexibleSearch|Java|Spring|Ooad|
Mechanical and Electrical Engineer FRESHER/EXPERIENCE,Freshtohome Foods Private Limited,Chennai,2-8years,320000 - 850000 INR,"Contact-SINDHU 9176429909 |     We are urgently requirement wanted for FRESHER/EXPERIENCE. Design and developing solution, test devices and equipment, power generators, motor, Technically skill. Free food and accommodation will be provided. |",MechanicalEngineer|Electrical|ElectricalengineerandElectricalmaintenance|Manufacturing|MaintenanceEngineer|ProductionSupervisor|ProductionEngineer|ProductionExecutive|ProductionIncharge|
Mechanical and Electrical Engineer FRESHER/EXPERIENCE,Bright IT Global Solutions Private Limited,Chennai,2-8years,320000 - 850000 INR,"Contact-SINDHU 9176429909 |    We are urgently requirement wanted for FRESHER/EXPERIENCE. Design and developing solution, test devices and equipment, power generators, motor, Technically skill. Free food and accommodation will be provided. |",MechanicalEngineer|Electrical|ElectricalengineerandElectricalmaintenance|Manufacturing|MaintenanceEngineer|ProductionSupervisor|ProductionEngineer|ProductionExecutive|ProductionIncharge|
Mechanical and Electrical Engineer FRESHER/EXPERIENCE,Green Window Consultancy,Chennai,2-8years,320000 - 850000 INR,"Contact-CHARU 9043901696 |      We are urgently requirement wanted for FRESHER/EXPERIENCE. Design and developing solution, test devices and equipment, power generators, motor, Technically skill. Free food and accommodation will be provided. |",MechanicalEngineer|Electrical|ElectricalengineerandElectricalmaintenance|Manufacturing|MaintenanceEngineer|ProductionSupervisor|ProductionEngineer|ProductionExecutive|ProductionIncharge|
Lead Analyst,Best infosystems Ltd,Bengaluru/Bangalore,5-8years,Not Specified,We are looking for a Lead Analyst to create deep understanding and insights for Life Sciences & Healthcare customers,BusinessAnalyst|DataAnalysis|Lifescience|Healthcare|UsHealthcare|AdvanceExcel|PatientAnalysis|DataModelling|Python|Sql|Tableau|StatisticalModelling|
Lead Developer,Best infosystems Ltd,Cochin/Kochi/Ernakulam,8-10years,Not Specified,We are looking to hire a Lead Developer . You will be a key contributor working across multiple technologies and products.,HighLevelDesign|LowLevelDesign|Javascript|Nodejs|
Corporate Sales Supervisor,Best infosystems Ltd,Gurgaon/Gurugram,5-10years,Not Specified,Urgent requirement for Sales supervisor for gurgaon location,InternationalSales|B2bSales|
Supervisors,Best infosystems Ltd,NaviMumbai,2-3years,120000 - 180000 INR,"Supervisors are responsible for the day-to-day performance of a small group, either a team, a department, or a shift. Candidate must be from mining background. Site Stay. Food and Logging form company side. Location Raighar near Navi Mumba",Construction|Mining|Drilling|
SEO ANALYTICS - MODULE LEAD/ TECHNICAL LEAD,C P Careers Private Limited,Chennai,4-10years,Not Specified,Looking for SEO ANALYTICS - MODULE LEAD/ TECHNICAL LEAD,MozSEOTool|socialmediaanalytics|SEOAuditandRecommendations|SEOStrategy|SearchImplementationEngineOptimization|GoogleAnalytics|SearchEngineOptimization|
DATA MODELLING - MODULE LEAD/ TECHNICAL LEAD,Arush Manpower Solution,Bengaluru/Bangalore,4-10years,Not Specified,Looking for DATA MODELLING - MODULE LEAD/ TECHNICAL LEAD,DataModeling|SSIS|Ssas|DataEngineer|
POWERBI - MODULE LEAD/ TECHNICAL LEAD,VanyaIT,Bengaluru/Bangalore,4-10years,Not Specified,Looking for POWERBI - MODULE LEAD/ TECHNICAL LEAD,PowerBi|SSIS|Ssrs|Sql|
PYSPARK+AZURE DATABRICKS - MODULE LEAD/ TECHNICAL LEAD,Jarus Technologies India Private Limited,Bengaluru/Bangalore,4-10years,Not Specified,Looking for PYSPARK+AZURE DATABRICKS - MODULE LEAD/ TECHNICAL LEAD,DataProcessing|DataAnalysis|DATAINSIGHT|Python|
HYBRIS-MODULE LEAD/TECHNICAL LEAD,Nanyata Software Solutions Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,"Job Summary: |   |  Total # of years of experience:5-10yrs |   |  Job Location: Bangalore/Chennai/Hyderabad/Pune/Kolkata/Noida/Bhubaneshwar |   |   |   |  Key Responsibility: |   |  Designing and leading B2B, B2C, multi-site and multi-country, end-to-end implementations of eComme",Designingandleading|B2b|B2C|multi-site|multi-country|end-to-endimplementations|architecture/design|modulardesigns|Strong|design&development|ImpEX|Java|J2EE|SpringFramework|Ooad|QueryTuning|Soa|Soap|REST|
Urgent hiring  for full time job on roll vacancy,Arush Manpower Solution,Hooghly|Howrah,0-4years,Not Specified,"Available post- Store Keeper, Supervisor, assistant, Helper, computer operator, clerk, CCTV operator, checking supervisor, mechanical and technical field, Executive , Sales and Marketing , HR, Operator, Admin, Office executive, design engineer,",AutomobileEngineer|
Ux Lead,Jarus Technologies India Private Limited,Bengaluru/Bangalore|Pune,4-13years,Not Specified,"We are looking for passionate User Experience Designers/Leads. |   |  You love to conceptualise and solve problems through design, you are good at crafting ideas into design prototypes and articulating them well.",UserDesigner|Wireframes|Prototype|VisualDesign|Mockups|
Technical Leader / .net Lead / Dot Net Lead/ Dot Net developer/ Tech Lead,Virtusa Software Services Private Limited,Hyderabad/Secunderabad,8-15years,Not Specified,Enforce compliance with coding guidelines using code reviews etc.  |     Schedule work to meet completion dates & technical specifications.  |     Ensure that the requirements are adequately defined & designs are fully documented. |     To handle tasks independently.,Aps.Net|C#|Mvc|EntityFramework|MVCframework|SdlcProcess|OopsConcepts|DotNet|.NET|
Technical Lead,Jobs Expert Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"Developing application using React framework · Using Agile project methodology and delivering the accepted features in each sprint · Testing Single Page Application using React, Redux, Node JS, CSS frameworks like Bootstrap, Material UI · Unit testin",CSSMaterialUI|Webpack|babel|Bde|AWS.|ReactJs|Es6|NodeJS|HTML|Jest|Npm|JIRA|Git|SourceTree|Jenkins|MySQL|
