jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Postpaid Sales Trainer Location- Patna,Indore,Delhi,Bangalore, Kolkata",Centum Learning Limited,Delhi|Patna,3-12years,400000 - 500000 INR,"1.Telecom Sales/Telecom Training for atleast 3-4 years |  2.Experience in conducting ILT, VLT, Enterprise Business(Mobility/Data) |  3. Extensive travelling involved |   |",SalesTrainer|ProductTrainer|Training|SalesTrainingManager|Trainer|
Job - Analyst - Investment Banking Operations,Imarticus Learning Private Limited,Coimbatore|Salem,2-5years,Not Specified,"Please read the JD before applying, apply only if you are interested in Investment Banking Operations",InvestmentBanking|CapitalMarket|FixedIncome|Corporatefinance|
Job Role : Operation Designation Analyst - Hyderabad,Imarticus Learning Private Limited,Hyderabad/Secunderabad,0-3years,Not Specified,"Industry : Investment Bank ( Goldman Sachs, JP Morgan, Citi Group, BNY Mellon, Societe Generale, Barclays, BNP Paribas, Bank of America etc..,)",InvestmentBankingOperations|
Admission Counsellor- Immediate Opening!,Ecaffe Learning Private Limited,Noida,1-5years,120000 - 240000 INR,"As an admission counsellor, your day to day responsibilities include handling inquiries and direct visitors independently, following up with interested candidates, sharing course details, counselling the candidates and motivating candidates to join.",Counseling|AcademicCounselor|EducationCounselor|TeleCounselor|TeleCounseling|BusinessDevelopment|
Analyst - Investment Banking Operations,Imarticus Learning Private Limited,Chennai,2-5years,Not Specified,"Job - Analyst - Investment Banking Operations |   |  CTC - 2.5 l/a to 3 l/a |   |  Job Location - Chennai |   |  Role - Investment Banking Operations |   |  Shift - Flexible |   |  Eligibility - B.Com, BBA, MBA (2017 to 2020) pass out",InvestmentBanking|CapitalMarket|FixedIncome|Corporatefinance|
Delhi - Analyst/Teller/Back Office/Relationship Manager,Imarticus Learning Private Limited,Delhi|Gurgaon/Gurugram,Fresher,Not Specified,"Please read the JD before applying, apply only if you are fresher or working in the banking industry. |     Industry: Investment & Retail Bank ( Goldman Sachs, JP Morgan, Citi Group, BNY Mellon, Societe Generale, Barclays, BNP Paribas, Bank of America,etc",Industry:Investment&RetailBank(GoldmanSachs|JPMorgan|CitiGroup|BNYMellon|SocieteGenerale|Barclays|BNPParibas|BankofAmerica|HDFC|ICICI|Kotak|YesBank|IDFCBanketc..|)|
Bangalore - Investment Bank,Imarticus Learning Private Limited,Bengaluru/Bangalore,0-3years,Not Specified,"Please read the JD before applying, apply only if you are fresher or working in the banking industry. |   |  Industry: Investment Bank ( Goldman Sachs, JP Morgan, Citi Group, BNY Mellon, Societe Generale, Barclays, BNP Paribas, Bank of America, etc..,)",Eligibility:BCom|Bba|MBA(2017|2018|2019|2020PassedOut)|
Analyst - Investment Banking Operations,Imarticus Learning Private Limited,Bengaluru/Bangalore,0-3years,150000 - 250000 INR,"Job Location - Bangalore |   |  Role - Investment Banking Operations |   |  Shift - Flexible |   |  Eligibility - B.Com, BBA, MBA (2017 to 2020) pass out |   |  CTC - 2.5 l/a to 3.5 l/a",InvestmentBanking|CapitalMarket|BankingOperations|Analysis|FinancialPlanning|Budgeting|
Job - Analyst - Investment Banking Operations,Imarticus Learning Private Limited,Chennai,2-5years,Not Specified,"Please read the JD before applying, apply only if you are interested in Investment Banking Operations",InvestmentBanking|CapitalMarket|FixedIncome|Corporatefinance|
lucknow - Analyst/Teller/Back Office/Relationship Manager,Imarticus Learning Private Limited,Lucknow,Fresher,Not Specified,"Please read the JD before applying, apply only if you are fresher or working in the banking industry. |   Industry: Investment & Retail Bank ( Goldman Sachs, JP Morgan, Citi Group, BNY Mellon, Societe Generale, Barclays, BNP Paribas, Bank of America,etc",Industry:Investment&RetailBank(GoldmanSachs|JPMorgan|CitiGroup|BNYMellon|SocieteGenerale|Barclays|BNPParibas|BankofAmerica|HDFC|ICICI|Kotak|YesBank|IDFCBanketc..|)|
Hyderabad - Industry : Investment Bank,Imarticus Learning Private Limited,Hyderabad/Secunderabad,0-3years,Not Specified,"Industry : Investment Bank ( Goldman Sachs, JP Morgan, Citi Group, BNY Mellon, Societe Generale, Barclays, BNP Paribas, Bank of America etc..,)",Role:OperationDesignation:AnalystEligibility:BCom|Bba|MBA(2017|2018|2019|2020PassedOut)|
Analyst - Investment Banking Operations,Learning Candid India Private Limited,Bengaluru/Bangalore|Chennai,0-2years,150000 - 250000 INR,"Job Location - Bangalore, Chennai |   |  Role: Operation |    |  Designation: Analyst |    |   Eligibility - B.Com, BBA, MBA (2017 to 2020) pass out |    |   CTC - 2.5 l/a to 3.5 l/a",InvestmentBanking|CapitalMarket|BankingOperations|Analysis|FinancialPlanning|Budgeting|
