jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Full Stack Developer,Conifer Live,Chennai|Hyderabad/Secunderabad,3-7years,Not Specified,The responsibility of the full stack engineer is to be able to operate comfortably with both the backend & frontend of the web product to deliver features & resolve bugs in a timely manner. Developers are expected to conform to code quality standards,DotNet|Javascript|C#|Asp.netMvc|AngularJs|react.js|
Marketing Executive,Tecso Projects Limited,Vadodara,0-3years,Not Specified,Marketing Executive for Education Institution,EducationalInstitute|Marketing|Branding|Advertising|StudentCounselor|
Civil Engineer ( Site)  Road and Bridge project for DRDO,Live Connections,Balasore,5-10years,300000 - 420000 INR,We required a SITE ENGINEER CIVIL For our DRDO Project,SiteEngineerCivil|RaodProjectsProjectEngineer|
Bridge Engineer,Dynamic Projects Pvt Ltd,Kolkata,5-10years,650000 - 720000 INR,Required experience Bridge Engineer with 10 years of experience,SAAPMIDAS|
Senior Architect,Dynamic Projects Pvt Ltd,Kolkata,4-7years,300000 - 360000 INR,"Position for a 4 to 5 years of experienced, senior architect  who have strong conceptualization, visualization & preparation of views",3DMaxDesigner|RevitArchitecture|Sketchup|Autocad|
Sr. Structural Engineer,Dynamic Projects Pvt Ltd,Kolkata,5-10years,600000 - 720000 INR,Required Senior structural engineer,StadPro|Etabs|AutoCad|
Direct Walk in for  HR Recruiter  Talent Acquisition,Dynamic Projects Pvt Ltd,Chennai,0-3years,Not Specified,HR recruiter,HrRecruiter|HumanResource|Recruitment|Hr|HrExecutive|ItRecruiter|HrRecruitment|RecruitmentnonITrecruiter|Recruiter|NonITrecruiter|ItRecruiter|TechnicalRecruiter|RecruitmentExecutive|TechnicalRecruiter|TechRecruiter|RecruitmentExecutive|
Personal Assistant,Dynamic Projects Pvt Ltd,Delhi,0-2years,170000 - 240000 INR,Personal Assistance in travel and bookings |,English|Hindi|Assistant|TravelBooking|
Signaling & Telecommunication Expert,Dynamic Projects Pvt Ltd,Kolkata,5-10years,Not Specified,Required min 5 y experience B.Tech Electrical Engineer,SignalingExpert|TelecommunicationEngineer|TechnicalSupport|
Over Head Electrification (OHE) & Traction Operation Distribution  (TRD) expert,Dynamic Projects Pvt Ltd,Kolkata,5-10years,Not Specified,Required min 5 y experience B.Tech Electrical Engineer,Autocad|ElectricalEngineer|Electricalexecutive|ElectricalMaintenance|Electricalofficer|ElectricalDesignEngineer|overheadelectrification|
Transmission line & Traction Substation  Expert,Dynamic Projects Pvt Ltd,Kolkata,5-10years,Not Specified,Required min 5 y experience B.Tech Electrical Engineer |,Autocad|ElectricalEngineer|Electricalofficer|ElectricalDesignEngineer|Electricalexecutive|
Tendering Executive & Back Office Person,Dynamic Projects Pvt Ltd,Kolkata,3-10years,Not Specified,Required Graduate Engineer or B.A or B.Sc or B.Com for the post of data entry and tendering purpose.,Bca|BAB.ScB.Com|B.Tech|CivilEngineering|TenderManagement|TenderCoordinators|TenderDocumentation|
Electrical Expert related to Railway project,Live Connections,Kolkata,5-10years,Not Specified,Required min 5 y experience B.Tech Electrical Engineer |,Autocad|ElectricalEngineer|Electricalofficer|ElectricalDesignEngineer|Electricalexecutive|ElectricalMaintenance|Electricalincharge|ElementManagementSystem|
URGENT REQUIREMNT FOR STRUCTURAL DRAFTSMAN,Live Connections,Kolkata,4-8years,Not Specified,Draftsman for various structural drawings,CivilDraftsman|AutoCad|Draftsman|
Project  Engineer Electrical,Live Connections,Kolkata,5-15years,Not Specified,Project Engineer Electrical for 20 Months at Govt Org,ElectricalEngineer|ElectricalDesignEngineer|
Project Engineer Civil,Live Connections,Kolkata,5-15years,Not Specified,Project Engineer Civil at Govt Org for 20 months,CivilEngineer|ConstructionEngineer|AutoCad|Projectengineer|
BCA required for computer application at Govt organization,Live Connections,Kolkata,3-5years,Not Specified,Contractual post of 20 months as BCA,Bca|DataEntry|BackOfficeExecutive|ComputerOperator|
Immediate hiring for  ITES/BPO Freshers - Cognizant,Live Connections,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-2years,210000 - 210000 INR,Location : Bangalore / Hyderabad |     No: of positions : 200 |  Qualification: Arts & science (strictly no Engineering / MBA) – No Backlogs  |,Ites|Bpo|ITES/BPO|ItesBpo|ITESBpoKpo|Freshers|GraduateFresher|Graduates|BpoOperations|digitaloperation|Bsc|VoiceProcess|InternationalBpo|Voicesupport|CustomerSupport|NonVoiceBpo|Nonvoice|TechnicalSupport|TechnicalSupportExecutive|
Immediate hiring for  Freshers - Cognizant,Live Connections,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-2years,210000 - 210000 INR,Location : Bangalore / Hyderabad |    No: of positions : 200 |    YOE : Fresher’s (GOOD Comm skills  |,Ites|Bpo|ITES/BPO|ItesBpo|ITESBpoKpo|Freshers|GraduateFresher|Graduates|BpoOperations|digitaloperation|Bsc|VoiceProcess|InternationalBpo|Voicesupport|CustomerSupport|NonVoiceBpo|Nonvoice|TechnicalSupport|TechnicalSupportExecutive|
Direct Walk in for  HR Recruiter  Talent Acquisition  Senior Recruiter,Live Connections,Chennai,0-5years,Not Specified,HR recruiter,HrRecruiter|HumanResource|Recruitment|Hr|HrExecutive|ItRecruiter|HrRecruitment|RecruitmentnonITrecruiter|Recruiter|NonITrecruiter|ItRecruiter|TechnicalRecruiter|RecruitmentExecutive|TechnicalRecruiter|TechRecruiter|RecruitmentExecutive|
