jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Excel Expert,Novateur IT Technologies India Private Limited,Hyderabad/Secunderabad,2-4years,Not Specified,Position:Contract |  Location:Hyderabad |  Company:MNC |  Notice:15 Days,PivotTables|Sumif|Formulas|CellformattingVlookup|MsExcel|Macros|Macros|
Accountant Executive,Divo Tv Private Limited,Chennai,0-2years,Not Specified,"Extensive usage of Ms Excel(AGgregate function, vLookup,pivot table, Macros MIS reporting using Ms Excel) |  Knowledge in Tally |  should have strong analytical skill",Mis|MsExcel|Macros|
RPA Developer,Randstad Offshore Services Private Limited,Hyderabad/Secunderabad,2-8years,Not Specified,"Fine tune performance and operation issues that arise with RPA Bots. Provide problem diagnosis, using appropriate control tools. Liaise closely with CoE group to resolve problems",Peoplesoft|CustomerportalsMacros|Rpa|Vba|SqlScripting|automation|
Anaplan Consultant,C P Careers Private Limited,Mumbai|Noida,1-5years,600000 - 1300000 INR,Engineering Graduate or Commerce Graduate. |  1.5+ years of Anaplan experience (with exposure to minimum 2 end-to-end implementations on |  Anaplan) |  Expert skills of Anaplan modeling |  Ability to optimize the Anaplan Models for performance,AnaplanModelling|Anaplan|Macros|
Accounts Executive - 5 To 8 Years Experience,Tresbien Hr Consultancy,Bengaluru/Bangalore|Mumbai,5-8years,650000 - 1050000 INR,URGENT REQUIREMENT,Tds|PowerPoint|Mis|Word|Email|Accounting|Expenses|Gst|Payments|MISReporting|Tally|Excel|MsExcel|Macros|
MIS Executive (Advance Excel\Python\SQL),Tresbien Hr Consultancy,Mumbai|MumbaiCity,2-4years,250000 - 380000 INR,"More than 5 years experience as MIS executive. Should have handled MIS for management level. he should be logical, analytical. We want him to manage our data authenticity, correctness and MIS so we need a person who has handled a good responsibility.",AdvanceExcel|Mis|Macros|Sql|Python|
MIS Executive (Advance Excel\Python\SQL),2COMS Consulting Private Limited,Mumbai|MumbaiCity,2-4years,260000 - 400000 INR,"More than 5 years experience as MIS executive. Should have handled MIS for management level. he should be logical, analytical. We want him to manage our data authenticity, correctness and MIS so we need a person who has handled a good responsibility.",AdvanceExcel|Mis|Sql|Python|Macros|
SAS Enterprise Miner,2COMS Consulting Private Limited,NaviMumbai,3-5years,Not Specified,Immediate requirement for SAS Enterprise Miner (L3) for Wipro at Belapur Navi Mumbai Location |   |  Role:  SAS Enterprise Miner (L3) |  Experience  : 4+ years |,saseminerL3|SasCertification|SasMacros|
Hiring VBA Developer in a Leading MNC@ Noida in a leading MNC,Divo Tv Private Limited,Delhi|Noida,2-5years,200000 - 800000 INR,Job Description |   Primary Skill : VBA Developer and Macro |    |    |   Resource should have good knowledge of following topics. |     |    |   Should have knowledge about Formula creation and should be able to develop formula dynamically |   Should be able to suggest multiple wa,VBADeveloper|VBapplication|Vba|visualbasicapplication|Macros|Visualbasic|VB|
MIS Executive,Icon Facilities,Chennai,1-4years,Not Specified,Prepare MIS Reports |  Data analysis |  coordination & report submission,PivotTable|MisExecutive|Pivot|MsExcel|Macros|Vlookup|AdvancedExcel|Excel|
Requirement Of Back Office,Sampark,Pune,0-1years,Not Specified,"Post: Back Office Executive |  Salary: 12,000- 15000 |  Skills: MS-Office, Excel ,Power Point, Challan. |   |",Word|PowerPoint|AccessMacros|MIS.|MsExcel|
MIS - Quality Executive - Client of Sampark Search,Metro Jobs Consultants,Gurgaon/Gurugram,1-3years,Not Specified,"Data Entry/ DTP/ Data Conversion - Operator , Operations/ Process - Associate , Other Back End/ Data/ Transaction Processing",Mis|Excel|Macros|MsExcel|
MIS Executive,Prosperspective Hr Solutions LLP,Noida,1-3years,Not Specified,Position: MIS Executive |  Exp: 1-3 Yrs Exp in same profile. |  Job location: Noida Sector-68 |  Salary: 15k-20k per Month (No bar for deserving candidates) |,Mis|Hlookup|PivotTable|Sumifs|Filters|MisExecutive|Excel|Vlookup|Macros|AdvancedExcel|
BI Specialist,Metro Jobs Consultants,Chennai,5-12years,1000000 - 1500000 INR,"This individual will be responsible for the design, develop and implement ETL scripts for movement of data to data, processes to transform structured, unstructured and disparate source data into the target data stores within our technology products.",visualreports|KPIscorecards|webtools|open-source|R|MicrosoftOfficeTools|Dashboards|PowerBi|Powerapps|Python|SqlScripting|macros|Sql|
Immediate Opening For Accounts Executive - 3 To 5 Years Experience,Timing Technologies Private Limited,Delhi|Hyderabad/Secunderabad,2-5years,300000 - 450000 INR,URGENT REQUIREMENT,Tds|PowerPoint|Mis|Word|Email|Accounting|Expenses|Gst|Payments|MISReporting|Tally|Excel|MsExcel|Macros|
"Data Management Specialist,  Data Entry, Data Executive",C P Careers Private Limited,Delhi|Faridabad,1-2years,110000 - 250000 INR,"•	Employment Type: Permanent Job, Full Time  |  •	Location: Nehru Place, Delhi  |",•ExpertinAdvanceExcelandFunctionssuchas(includesVLookup|HLookup|IndexMatch|PivotTable|ImportRange|andQueryFunction|Macros|
Power BI Developer,C P Careers Private Limited,Hyderabad/Secunderabad,4-7years,Not Specified,Looking for a Power BI Developer to join our team,PowerBi|Sql|Macros|Vba|Powershell|Lambda|DataIntegration|
Anaplan Consultant,Search Agency Performance Marketing India Private Limited,Noida|MumbaiCity,1-6years,Not Specified,Opening for Anaplan Consultant For Noida Location,Macros|DataIntegration|Anaplan|
Anaplan Consultant,Technosoft Global Solutions LLP,Noida|MumbaiCity,2-5years,Not Specified,Opening for Anaplan Consultant For Noida Location,Macros|DataIntegration|Anaplan|
"Paid Search Analyst / SEM Analyst (Google Adwords, PPC)",Coral Knowledge Services Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,"The Paid Search Analyst would be responsible for running large online SEM advertising campaigns for US clients on Google, Yahoo and Bing. This individual will plan and optimize campaigns and analyze performance based on client objectives.",PaidSearchAnalyst|SEMAnalyst|GoogleAdwords|Ppc|advertisingcampaigns|bidding|marketingcampaigns|onlinebusinessmarketing|GoogleShoppingcampaigns|Macros|VisualBasic|
SAS DEVELOPER,Calibre Infotech,Chennai,4-7years,Not Specified,"Experience in SAS Macros Validation by writing SAS validation programs, with good documentation skills (or) Ability to understand SAS Macros |    |",SASvalidationprograms|SASMacroprogramming|BaseSas|SasMacros|ClinicalSasProgramming|SasBase|
"Data Entry Operator/ MIS Executive || Pitampura, Rani Bagh || Male candidates only",My Corporate Jobs,Delhi,1-6years,Not Specified,Looking for Male candidates for the post of Data Entry Operator. |  Knowledge of Advance Excel and HTML is a must,"""AdvanceExcel""|""Typing""|""HTML""|""DataEntry""|""ComputerOperator""|""BackOffice""|""Backend""|""MIS""|""MISExecutive""|MISCoordinator|MISanalyst|MISreporting|MisOfficer|MisManager|MisExcel|Excel|AdvancedExcel|MsExcel|Vba|Macros|"
Junior Hr Executive,Soul of Pluto Tech LLP,Coimbatore,1-2years,Not Specified,Should have at least 01 to 02 years of experience |   |  Well versed in Excel |   |  Should have basic knowledge in HR,HrExecutive|Mis|Excel|Macros|MsExcel|
