jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Opening for Freshers As Well As Eperiences of 2yrs candidates can apply,Career Mantra Management Services,Hyderabad/Secunderabad|Pune,0-2years,220000 - 340000 INR,Research & update a sponsorship database Research online through various news articles & official websites Graduation in any filed Good knowledge of MS Office especially Excel & Power Point.Good Communication Skills. Candidates Can Apply here.,MarketIntelligence|DigitalMarketing|Management|Powerpoint.|Excel|
Opening for Freshers As Well As Eperiences of 2yrs candidates can apply,Career Mantra Management Services,Mumbai|Pune,0-2years,220000 - 340000 INR,|  Research & update a sponsorship database Research online through various news articles & official websites Graduation in any filed Good knowledge of MS Office especially Excel & Power Point.Good Communication Skills. Candidates Can Apply here. |,MarketIntelligence|DigitalMarketing|Management|Powerpoint.|Excel|
Qualitative Research Analyst /Associate with a KPO,Quest W LTD,Chennai|Mumbai,3-7years,550000 - 1060000 INR,we are hiring....................,Business|CompetitiveIntelligence|FinancialResearch|MarketIntelligence|IndustryResearch|r&d|MarketResearch|IndustryAnalysis|PrimaryResearch|GlobalSales|BusinessResearch|SecondaryResearch|CompanyProfiling|
"Senior Market Intelligence Manager with NKT, Chennai",White Horse Manpower Consultancy Private Limited,Chennai,5-12years,Not Specified,"Using your strong analytical and project management skills, you turn complex business & market insights into simple and actionable recommendations, supporting the C-level on directional decisions",StrategyConsultant|MarketIntelligenceResearch|MarketAnalytics|
Business Development Manager,SnapHunt Pte Ltd,Bengaluru/Bangalore,2-8years,Not Specified,Business Development Manager,BusinessDevelopmentManager|BusinessDevelopment|Branding&Awareness|MarketIntelligence|ClientServicing|
Qualitative Research Analyst /Associate with a KPO,Unicca Emporis Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-4years,459999 - 780000 INR,we are hiring....................,Business|CompetitiveIntelligence|FinancialResearch|MarketIntelligence|IndustryResearch|r&d|MarketResearch|IndustryAnalysis|PrimaryResearch|GlobalSales|BusinessResearch|SecondaryResearch|CompanyProfiling|
Qualitative Research Analyst /Associate with a KPO,Adil Muhammed Rafeek (Proprietor of Edexel),Gurgaon/Gurugram|Mumbai,1-4years,459999 - 780000 INR,we are hiring....................,Business|CompetitiveIntelligence|FinancialResearch|MarketIntelligence|IndustryResearch|r&d|MarketResearch|IndustryAnalysis|PrimaryResearch|GlobalSales|BusinessResearch|SecondaryResearch|CompanyProfiling|
Qualitative Research Analyst /Associate with a KPO,A V Immigration And Careers Consultancy Private Limited,Gurgaon/Gurugram|Mumbai,1-4years,459999 - 780000 INR,we are hiring....................,Business|CompetitiveIntelligence|FinancialResearch|MarketIntelligence|IndustryResearch|r&d|MarketResearch|IndustryAnalysis|PrimaryResearch|GlobalSales|BusinessResearch|SecondaryResearch|CompanyProfiling|
Qualitative Research Analyst /Associate with a KPO,A V Immigration And Careers Consultancy Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-4years,310000 - 509999 INR,we are hiring....................,Business|CompetitiveIntelligence|FinancialResearch|MarketIntelligence|IndustryResearch|r&d|MarketResearch|IndustryAnalysis|PrimaryResearch|GlobalSales|BusinessResearch|SecondaryResearch|CompanyProfiling|
Business Development Manager,Randstad Offshore Services Private Limited,Gandhinagar,0-5years,300000 - 420000 INR,"Conducting market research, reaching out to potential clients through telephone & email and conducting close follow-up.",BusinessDevelopment|MarketResearch|BrandAwareness|NegotiationSkills|CRM|CareerDevelopment|EnglishLanguage|RelationshipManagement|ArtificialIntelligence|
Qualitative Research Analyst /Associate with a KPO,Randstad Offshore Services Private Limited,Gurgaon/Gurugram|Mumbai,1-4years,459999 - 780000 INR,we are hiring....................,Business|CompetitiveIntelligence|FinancialResearch|MarketIntelligence|IndustryResearch|r&d|MarketResearch|IndustryAnalysis|PrimaryResearch|GlobalSales|BusinessResearch|SecondaryResearch|CompanyProfiling|
"Associate Market Analyst- (Imaging, Printing & Document Solutions)",Green Window Consultancy,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-4years,300000 - 400000 INR,we are hiring,DataOptimization|DataAnalysis|AdvancedCustomerInsight|DataProcessing|MarketAnalysis|ManagementSkills|MarketIntelligence|PrimaryResearchIn|BusinessResearch|SecondaryResearch|DataManagement|DataMining|PredictiveAnalysis|AdvancedAnalytics|
Senior Market Research Analyst,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,3-8years,370000 - 670000 INR,We are hiring..............,IndustryReports|ResearchAnalysis|CompetitiveIntelligence|MarketResearch|Marketing|PrimaryMarketResearch|productmapping|productevolution|BrandDevelopment|CompetitiveAnalysis|pricingstrategy|ProductLaunch|TechnicalWriting|CompanyProfiling|
Business Development Executive,Weone Business Solutions Private Limited,Delhi|Mumbai,0-5years,350000 - 1250000 INR,"Responsible for achieving the sales & collection targets of assigned area from existing customers within given budget. |   |  Identify new customers and penetrate the market. |   |  Supervise territory, directs and contact dealers / distributors for incremental",Sales|marketresearch|businessintelligence|BD|businessdevelopment|Bdm|Bde|Marketing|corporatesales|institutionalsales|TeamManagement|ChannelSales|Distribution|LeadGeneration|headbusinessdevelopment|BusinessResearch|
Business Administration & Digital Marketing Assistant,Synergistic Compusoft Private Limited,Remote,0-5years,400000 - 800000 INR,"Research, organise & help kick-off new business ventures. |  Including tasks like, researching potential business ideas and markets, writing reports with your findings, finding and deciphering data, outreach to partners, scheduling work with designers.",DigitalMarketing|OnlineMarketing|DigitalMarketingManager|MarketResearch|DigitalMarketingHead|Entrepreneurship|IndustryResearch|PrimaryResearch|IndustryAnalysis|MarketIntelligence|CompetitiveIntelligence|BusinessResearch|
Artificial Intelligence Product Designer,Arush Manpower Solution,Bengaluru/Bangalore,1-10years,Not Specified,We are looking for Artificial Intelligence Engineer to our team. He will be Responsible for editing and updating the AI content which has already been created and will be the head of the AI team creating the product. |    |,Nlp|Pca|
