jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Marketing Executive-Guntur,2COMS Consulting Private Limited,Guntur,0-4years,100000 - 300000 INR,Position : Marketing Trainee/ ExecutiveJob Description:  * Marketing the Products  * Visiting the client & presenting the products.  * Generating leads.  * 2 wheeler is mandatory with license.RequirementsQualification : B Sc/B Pharma-,Marketing|
Marketing Executive,Freelancer Divekar Kaniza Ishaq,NaviMumbai|Thane,2-7years,200000 - 350000 INR,Urgent Opening for Marketing Executive-Rabale,Maketing|Sales|Businessdevelopment|CorporateSales|
Marketing Executive,Hudson Agile Ventures Private Limited,Mysore,0-2years,150000 - 430000 INR,Job Description:  |   Interact with prospect leads and build a pipeline along with building strong relationships with prospects. |   Own the experience we give every prospective customer from the first time they interact with us. |   Be responsible for ac,Graduate/Postgraduate.Timings:9-6Preferable:MaleCandidates|
Marketing executive-Tamil Nadu,2COMS Consulting Private Limited,Chennai|Coimbatore,0-4years,100000 - 300000 INR,Position : Marketing Trainee/ ExecutiveJob Description:  * Marketing the Products  * Visiting the client & presenting the products.  * Generating leads.  * 2 wheeler is mandatory with license.RequirementsQualification : B Sc/B Pharma-,Marketing|
Marketing Executive,Plaza Premium Lounge Management Limited,Bengaluru/Bangalore,3-5years,Not Specified,"The candidate is expected to have solid experience in 360 marketing, especially in digital and social. Knowledge in travel trends and behavior in order to strategize and execute an effective marketing communications plan in the respective markets.",MarketingExecutive|MarketingOfficer|MarketingCoordinator|
Marketing Executive-Delhi,2COMS Consulting Private Limited,Delhi,0-4years,100000 - 300000 INR,Position : Marketing Trainee/ ExecutiveJob Description:  * Marketing the Products  * Visiting the client & presenting the products.  * Generating leads.  * 2 wheeler is mandatory with license.RequirementsQualification : B Sc/B Pharma-,Marketing-Pharma|
Marketing Executive-Ujjain,2COMS Consulting Private Limited,Ujjain,1-6years,100000 - 300000 INR,Position : Marketing Trainee/ ExecutiveJob Description:  * Marketing the Products  * Visiting the client & presenting the products.  * Generating leads.  * 2 wheeler is mandatory with license.RequirementsQualification : B Sc/B Pharma-,MarketingExecutive-Ujjain|
Marketing Executive-Karnataka,2COMS Consulting Private Limited,Bengaluru/Bangalore|Mysore|Shimoga,0-4years,100000 - 300000 INR,Position : Marketing Trainee/ ExecutiveJob Description:  * Marketing the Products  * Visiting the client & presenting the products.  * Generating leads.  * 2 wheeler is mandatory with license.RequirementsQualification : B Sc/B Pharma-,Marketing|
Marketing Executive- Dehradun,2COMS Consulting Private Limited,Dehradun,0-5years,100000 - 300000 INR,Position : Marketing Trainee/ ExecutiveJob Description:  * Marketing the Products  * Visiting the client & presenting the products.  * Generating leads.  * 2 wheeler is mandatory with license.RequirementsQualification : B Sc/B Pharma-,Marketing-Pharma|
"Marketing Executive, Marketing Manager, Marketing Head,  Marketing Manager",Manisha Jain (Proprietor M/S Mahima Enterprises),Bengaluru/Bangalore|Pune,0-5years,310000 - 560000 INR,Marketing Executive |            Marketing Manager |            Marketing Head |            Marketing Manager,MarketingExecutive|MarketingManager|MarketingHead|MarketingManager|BusinessAnalyst|SeniorBusinessAnalyst|
"Marketing Executive, Marketing Manager, Marketing Head,  Marketing Manager",Reality Premedia Services Private Limited,Mumbai|Noida,0-5years,310000 - 560000 INR,Marketing Executive |          Marketing Manager |          Marketing Head |          Marketing Manager,MarketingExecutive|MarketingManager|MarketingHead|MarketingManager|BusinessAnalyst|SeniorBusinessAnalyst|
Sales & Marketing Executive Role-,RheinBrucke IT Consulting Private Limited,Hyderabad/Secunderabad,2-3years,180000 - 200000 INR,"Mahima Enterprises is a business that distributes to furnishing stores, architects, interior designers, custom builders across Andhra Pradesh and Telangana. Looking for a Master’s/Bachelor's Degree in Marketing and a minimum 2-3 years of full cycle.",MarketingExecutive|SalesRepresentative|Marketing|Businessdevelopment|Sales|
Digital Marketing Executive,Guires Solutions Private Limited,Pune,2-4years,Not Specified,Looking for Digital Marketing Executive,DigitalMarketing|DigitalMarketingExecutive|SocialMediaExecutive|DigitalMarketingAnalyst|
Digital Marketing Executive,Radial HR Solutions,Chennai,1-3years,300000 - 500000 INR,An European based B2B IT firm is looking for a digital marketing executive for the internal digital marketing team.,DigitalMarketing|EmailMarketing|B2b|EmailCampaign|
Digital Marketing Executive,NVK Staffing Solutions,Chennai,2-7years,Not Specified,Looking for Digital Marketing Executive,SEOanalyst|Digitalmarketer|Digitalmarketingexecutive|Digitalmarketingspecialist|Leaddigitalmarketer|Digitalmarketingleadgenerationexecutive|SMMexecutive|Searchengineoptimizationexe|SeoExecutive|SeoSpecialist|
Digital Marketing Executive,Lakshmiwan Polymers Private Limited,Bengaluru/Bangalore,4-9years,300000 - 700000 INR,Looking for the position of Digital Marketing Executive: Require Candidates with 4yrs of experience in Digital Marketing,DigitalMarketingExecutive|Payperclick|socialmedia|Smm|Sem|SocialMediaMarketing|OnlineMarketing|DigitalMarketing|Ppc|SearchEngineOptimization|SEO|
Digital Marketing Executive,Orissa Doot Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-5years,350000 - 550000 INR,"We are looking for an experienced Digital Marketing Executive to assist in the planning, execution and optimization of our online marketing efforts.",DigitalMarketing|OnlineMarketing|InternetMarketing|Sem|Businessdevelopment|
Marketing Executive,Tecso Projects Limited,Hyderabad/Secunderabad,1-3years,Not Specified,We are looking for Marketing Executive with 1+ years of experience in any IT Hardware & Software industry.,MarketingExecutive|DirectSales|Businessdevelopment|SoftwareSales|SoftwareSolutionSales|SoftwareMarketing|ErpSales|HardwareSales|
Marketing Executive,Eros Inc,Bengaluru/Bangalore,1-5years,30000 - 60000 INR,"Interact and channelize the sales process through customer leads. |  Guide the potential customers through the sales journey - from initial project info, site visit, model house details, sales closure, customer service through the life cycle of the sale",MarketingExecutive|Businessdevelopment|Sales|RealEstate|
Marketing Executive,Orissa Doot Private Limited,OtherIndia,0-3years,Not Specified,Opening for Marketing Executive in Bhubaneswar Location,MarketingExecutive|Businessdevelopment|Marketing|Sales|Selling|Salesoffice|FmcgPackaging|
Marketing Executive,MP Dominic & Co,Vadodara,0-3years,Not Specified,Marketing Executive for Education Institution,EducationalInstitute|Marketing|Branding|Advertising|StudentCounselor|
Marketing Executive,Orissa Doot Private Limited,Mumbai,0-2years,200000 - 350000 INR,This position is for a Marketing Executive. To work in the aspect of Sales & Marketing as Marketing Executive who are ready to take the challenge of the corporate world into Marketing/Management.,Advertising|Branding|Promotion|Marketing|Telemarketing|Telesales|TeleMarketingExecutive|Telephonicsales|Telecaller|
