jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Marketing Assistant,Space Consultancy,Bengaluru/Bangalore,2-3years,229999 - 330000 INR,"•	Maintaining websites and looking at data analytics. |  •	Organizing events and product exhibitions. |  •	Conducting market research and analysis to evaluate trends, brand awareness and competition ventures |",MarketingExecutive|Businessdevelopment|Marketing|
"Marketing Executive, Marketing Manager, Marketing Head,  Marketing Manager",2COMS Consulting Private Limited,Bengaluru/Bangalore|Pune,0-5years,310000 - 560000 INR,Marketing Executive |            Marketing Manager |            Marketing Head |            Marketing Manager,MarketingExecutive|MarketingManager|MarketingHead|MarketingManager|BusinessAnalyst|SeniorBusinessAnalyst|
"Marketing Executive, Marketing Manager, Marketing Head,  Marketing Manager",Orissa Doot Private Limited,Mumbai|Noida,0-5years,310000 - 560000 INR,Marketing Executive |          Marketing Manager |          Marketing Head |          Marketing Manager,MarketingExecutive|MarketingManager|MarketingHead|MarketingManager|BusinessAnalyst|SeniorBusinessAnalyst|
Marketing Executive-Guntur,Freelancer Divekar Kaniza Ishaq,Guntur,0-4years,100000 - 300000 INR,Position : Marketing Trainee/ ExecutiveJob Description:  * Marketing the Products  * Visiting the client & presenting the products.  * Generating leads.  * 2 wheeler is mandatory with license.RequirementsQualification : B Sc/B Pharma-,Marketing|
Digital Marketing,Secutech Automation India Pvt Ltd,Bhubaneswar,0-3years,Not Specified,Opening for Digital Marketing in Bhubaneswar Location,DigitalMarketing|OnlineMarketing|InternetMarketing|Businessdevelopment|SearchEngine|SEO|SearchEngineOptimization|Smo|
Marketing Executive,Hudson Agile Ventures Private Limited,NaviMumbai|Thane,2-7years,200000 - 350000 INR,Urgent Opening for Marketing Executive-Rabale,Maketing|Sales|Businessdevelopment|CorporateSales|
Digital Marketing,2COMS Consulting Private Limited,Bengaluru/Bangalore|Mumbai,2-6years,Not Specified,"Create, Own & Run the Digital Marketing Strategy of the Group",MailChimpIntegration|Salesforce|
Marketing Executive,Antra Inc,Mysore,0-2years,150000 - 430000 INR,Job Description:  |   Interact with prospect leads and build a pipeline along with building strong relationships with prospects. |   Own the experience we give every prospective customer from the first time they interact with us. |   Be responsible for ac,Graduate/Postgraduate.Timings:9-6Preferable:MaleCandidates|
Marketing executive-Tamil Nadu,Atz Properties,Chennai|Coimbatore,0-4years,100000 - 300000 INR,Position : Marketing Trainee/ ExecutiveJob Description:  * Marketing the Products  * Visiting the client & presenting the products.  * Generating leads.  * 2 wheeler is mandatory with license.RequirementsQualification : B Sc/B Pharma-,Marketing|
"Marketing Manager, MBA Marketing",Global Colliance LLP,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-7years,350000 - 750000 INR,"Employment type Permanent |           Industry of the Employer Advertising / MR / PR / Events |           Department / Functional Area of the Job Marketing / Communication, Product Marketing",Marketing|Advertising|MediaPlanning|StrategicMarketing|ChannelDevelopment|Promotions|LeadGeneration|marketforecasting|marketresearch|
