jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software Eng (Dev) III,Dechen Enterprises Private Limited,Hyderabad/Secunderabad,7-9years,Not Specified,Our client is a global leader in the gaming industry with over 12000 employees. We are seeking a seasoned JavaScript Developer to join our team to build triple-A quality casino games. We're building authentic games to be played online in a non-gambli,Html5|ReactNative|Java|J2EE|Javascript|jquery|Angular|Maven|Jenkins|
J2EE Developer or AEM Developer,Millennium Ims Private Limited,Chennai,2-5years,10000 - 1000000 INR,Immediate job opportunity for AEM Developer position_CMM Level 5_Experience 2 to 5 years_Chennai Location_Notice period_Immediate to 30 days.,AEMwithCoreJava|Maven|
Senior QA Engineer,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,6-12years,Not Specified,"Positions - 4 |  Experience - 6+ years |  Qualifications, Skills & Experience:  |  •	BS/MS in Computer Science or equivalent domain |  •	6+ years of experience in Software Development or Quality Engineering |  •	Excellent analytical skills |",Java|Json|Xml|AWS|Api|RESTful|Testng|Maven|Jenkins|
QA Development,Winning Minds LLP,Bengaluru/Bangalore|OtherIndia,5-8years,Not Specified,Requirement for QA Development Roles - 6 Positions |  5+ years of Experience |  Location- Remote or Bangalore |   |,Maven|Jenkins|Selenium|Testng|Java|ApiTesting|Zephyr|Sql|
Java Developer / Java Programmer / Software Developer / Software Programmer / Software Engineer,Job House,Chennai|Noida,3-10years,Not Specified,"Exp- 4 years + |     |    JD : Very good knowledge and work experience in JDK8,SPRING,SOAP based web services,REST web services, |    Knowledge of EJB,JPA,XML.XSD,JMS,Kafka(basic knowledge),JBOSS / Weblogic Tomcat app servers,SVN/GIT,MAVEN,JENKINS,C",Javadeveloper|WeblogicTomcatappservers|SVN/GIT|Soap|Ejb|Jpa|Git|Maven|Jboss|Java|CoreJava|Java|Jboss|Maven|Jenkins|JbossTomcat|
Junior Ruby on Rails Developer - ID 2021-24609,Best infosystems Ltd,Hyderabad/Secunderabad,3-7years,Not Specified,|   |  We are looking for candidates with proven exposure into Ruby on Rails.,"""ContinuousIntegration""|""reactjs""|RubyOnRails|Ruby|Sql|html|css|Git|Maven|Angular|"
Software Engineer,Millennium Ims Private Limited,Jaipur,1-5years,240000 - 1200000 INR,"software engineer,leading IT company |  core java",logritham|CoreJava|SoftwareEngineer|Maven|
Java Full stack,Larsen & Toubro Infotech Limited,Bengaluru/Bangalore,4-10years,Not Specified,"Strong background in Java (11+), Maven/Gradle, Spring Boot, Spring Security, Spring Data, and related frameworks/libraries.",JAVAFULLSTACK|Spring|Boot|Maven|Gradle|
QA Development,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,5-10years,Not Specified,Yrs of Exp : 5+yrs |  Work Location : Bangalore / Pune |  Budget : As per industry standards |  Shift Timings : Rotational (Including Night shifts) |  Looking for early joiners |,UFT/QTP|Selenium+TestNGwithJava|Maven|Jenkins|Postman|Git|Soapui|
OHG ENGINEERING MANAGER,Sampark,Pune,8-10years,Not Specified,"Must have create TOSCA based frameworks on web, API’s & Mobile",agiledelivery|Mobile|ms-tfs|ToscaAutomation|Api|TestManagement|Maven|Testng|
