jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
B Tech Engineer | MBA | MCA | BCA | B Com req in CANADA & AUSTRALIA,Pear Visa Immigration Services Private Limited,Australia|Canada,3-8years,3500000 - 8500000 INR,"Engineers , Master of Business Administration, Master of Computer Applications , Bachelor of Computer Applications |   |  Person should be skilled with at least 3 + year of experience",BCom|Bba|Mba|Bca|MA|Bbm|Bsc|BA|BE|BTech|BTechMechanicalEngineer|
Python Internship in Mumbai,Maxgen Technologies Private Limited,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship in Python,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|Python|
BE B.Tech IT Computer E&tc  MCA,Whitehr Consultancy Services,Hyderabad/Secunderabad|Pune,0-3years,Not Specified,"We have urgent requirement for MNC / PVT LTD client. |   Qualification- Diploma/ BE ( IT, computer, Entc, MCA )",Javadeveloper|UIDeveloper|WebDeveloper|Design|WebDevelopment|Programming|WebDesign|
Python Internship in Ahmedabad,Maxgen Technologies Private Limited,Ahmedabad|Mehsana,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|AcademicProjects|Bsc|B-Tech|Bca|Msc|Projects|BE|SummerIntern|Mca|Python|
Data Science Internship in Mumbai,Maxgen Technologies Private Limited,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
Python Internship in Pune,Maxgen Technologies Private Limited,Pune|Amravati,Fresher,Not Specified,Summer Internship in Python,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|Python|
Data Science Internship in Pune,Maxgen Technologies Private Limited,Pune|Satara,Fresher,Not Specified,Summer Intermship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
Virtual Recruitment Drive l Techno-functional roles l Fresher's,Maxgen Technologies Private Limited,Bengaluru/Bangalore|Chennai,0-2years,310000 - 409999 INR,Virtual Recruitment Drive l Techno-functional roles l Freshers & Experienced |   We are looking to hire Freshers from Computer Science/IT (completed under graduation/post graduation) for techno-functional roles.,ComputerScience|btech|Bca|Java|aws|Python|Scripting|Tcl|Cloud|Mca|
Part Time Work@Home Data Entry Work / Home Based Work earn upto 6k weekly,Whitehr Consultancy Services,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-3years,340000 - 450000 INR,Most Important: Computer / Laptop Or Android Phone Is Compulsory . |        Basic Computer Knowledge. |        Payments -Weekly/Monthly |        Age Limit 18 to 45 |        No Work Pressure |        No Time Bound |    Part Time Jobs |,bca/mca/mba/bcom/graduate/postgraduate/12thpass/workingprofessions/ITprofessions/nurse|
Part time and home-based work for everyone and earn upto 6k per week,Maxgen Technologies Private Limited,Bengaluru/Bangalore|Chennai,0-3years,220000 - 450000 INR,"Urgently required Data Entry Operator,computer Operator  |       Computer / Laptop Or Android Phone Is Compulsory .  |       Basic Computer Knowledge.  |       Freshers are Welcome  |       No Target  |       No Work Pressure  |       No Time Bound  |       Part Time Jobs",Freshers|Bca|Bcom|Bba|btech|Mba|Nurse|workingprofessional|housewives|Graduate|PostGraduate|Mca|
Machine Learning Internship,Maxgen Technologies Private Limited,Ahmedabad|Rajkot,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|BE|Msc|Projects|Mca|MachineLearning|
BE B.Tech IT Computer E&tc  MCA,Maxgen Technologies Private Limited,Mumbai|Pune,0-3years,Not Specified,"We have urgent requirement for MNC / PVT LTD client. |  Qualification- Diploma/ BE ( IT, computer, Entc, MCA )",Javadeveloper|UIDeveloper|WebDeveloper|Design|WebDevelopment|Programming|WebDesign|
Data Science Internship in Mumbai,Maxgen Technologies Private Limited,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
URGENT REQUIREMENT FOR OUTSOURCING BASES;,Maxgen Technologies Private Limited,Mumbai|Pune,0-1years,Not Specified,DEAR CANDIDATE WE HAVE Urgent Requirement for Outsourcing Bases: |    Profile: Jr. Consultant (Statistics) |    Qualification: Graduation with one of the following subject |    1 Economics |    2 Statistics |    3 Sociology |    4 Commerce |    5 Mathematics |    * CPCT Must * |    8002551517  |,Outsourcing|Outbound|CS|M.Techin(CS/IT/SoftwareEngineering)B.E./B.Techin(CS/IT/SoftwareEngineeringORMCA|C.S|Secretarial|
Python Internship in Mumbai,Maxgen Technologies Private Limited,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|AcademicProjects|Bsc|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|python|
Python Internship in Pune,Career Mantra Management Services,Pune|Jalgaon,Fresher,Not Specified,Summer Internship in Python,Internship|LiveProjects|AcademicProjects|Bsc|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|Python|
Data Science Internship in Pune,Maxgen Technologies Private Limited,Pune|Sangli,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
"WANTED MBA, M.COM, MCA     & ENGINEERS  FRESHERS  FOR  PRIVATE  BANKS",Maxgen Technologies Private Limited,Coimbatore|Tiruppur,Fresher,Not Specified,Eligibility to Join The Banks |      |     Age should be below 26 yrs only |     No Educational Gap In-between |     Any Degree Holder From Regular College only Can join |     Interview Process: 3 Level Only |     Notice period Should be below 10 days only |,Engineering|BeMechanical|BECivil|MbaFresher|MbaHr|
Python Internship in Ahmedabad,Maxgen Technologies Private Limited,Ahmedabad|Mehsana,Fresher,Not Specified,Summer Internship in Python,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|Python|
Python Internship in Pune,Maxgen Technologies Private Limited,Pune|Amravati,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|Projects|BE|SummerIntern|Mca|Python|
