jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Mechanical Engineer,Q Visas Immigration,Australia|Canada,2-7years,3010000 - 5310000 INR,"Plan and manage projects, and prepare material, cost, and timing estimates, reports and design specifications for machinery and systems |  Design power plants, machines, components, tools, fixtures, and equipment",MechanicalEngineer|AutomobileEngineer|DesignEngineer|ManufacturingEngineering|InjectionMolding|CncOperator|MaintenanceSupervisor|Mining|ThermalPowerPlant|AutoCad|MaintenanceEngineer|ServiceEngineer|
Mechanical Engineer/Electrical engineer/Electronic engineer,Hopes Technology,Chennai,0-5years,570000 - 880000 INR,"CT.KAVITHA.9787152003.We are urgently requirement wanted for fresher/experience. Researching, interpreting, and applying information, developing solution. Mechanical engineer to be technically minded. Free food and accommodation also provided.",MaintenanceExecutive|MaintenanceTechnician|DesignEngineer|Autocad|ITIDraftsmanship|Maintenance|MaintenanceEngineer|Draftsman|
mechanical engineer,Hopes Technology,Chennai,0-5years,360000 - 760000 INR,"CT.SINDHU.9176429909.We are urgently requirement wanted for fresher/experience. Researching, interpreting and applying information. developing solution. Mechanical engineer to be technically minded.",Production|ProductionManager|QualityControl|Manufacturing|ProductionSupervisor|ProductionEngineer|MaintenanceEngineer|
"Mechanical engineer, Diploma Mechanical Engineer, Service/Maintenance Engineer",Hopes Technology,Chennai|Pune,0-4years,350000 - 650000 INR,"We are having 24X7 rotational shift 1st, 2nd & 3rd. The job description of the candidate is to operate the CNC & VMC Machine for that we will definitely provide them training which is required for that particular job.",Cnc|Vmc|MechanicalEngineering|PreventiveMaintenance|ReportPreparation|FollowUps|
Mechanical Engineer,Freelancer Prem Kumar S,Chennai,0-5years,360000 - 770000 INR,"CT.KAVITHA.7397309985.we are urgently requirement wanted for fresher/experience. Researching, interpreting and applying information. developing solutions, Mechanical engineer to be technically minded. free food and accommodation also provided.",Manufacturing|ProductionSupervisor|ProductionExecutive|QualityAssurance|QualityManager|
Mechanical Engineer,Hopes Technology,Chennai,0-5years,320000 - 740000 INR,"Dear Aspirants, |    We are urgently requirement wanted for FRESHER/EXPERIENCE. A Mechanical Engineer with Research and development ,quality assurance. Skilled in Production and Maintenance. Free food and accommodation provided. Contact SINDHU 9176429909.",MechanicalMaintenance|MaintenanceSupervisorMaintenanceExecutive|ProductionEngineer|ProductionSupervisor|
Mechanical Engineer,Aspire Group of Services,Chennai,0-5years,360000 - 770000 INR,"CT.KAVITHA.7397309985.we are urgently requirement wanted for fresher/experience. Researching, interpreting and applying information. developing solutions, Mechanical engineer to be technically minded. Free food and accommodation also provided,",QualityControl|MaintenanceSupervisor|ProductionIncharge|MaintenanceEngineer|
Mechanical Engineer,Orissa Doot Private Limited,Lucknow,0-1years,120000 - 210000 INR,"Hiring for manufacturing plant in processes involving reactor, centrifuge, boiler, distillation, crystallization, hydrogenation, QA/QC. Candidate will be working in the factory and ensure efficiency in the process, maintainable and repair of plant.",Diploma|MechanicalEngineer|Mechanicaldesignengineer|Maintenance|
Mechanical Engineer,Yashodhara Management And Company,Bhubaneswar,0-2years,Not Specified,Opening for Mechanical Engineer in Bhubaneswar location,MechanicalEngineer|CNGTesting|MaintenanceEngineer|
Mechanical Engineer,Quess IT Staffing (Formerly known as Magna Infotech),Mumbai|MumbaiCity|NaviMumbai|Thane,Fresher,150000 - 250000 INR,"Urgent Job Vacancy For Mechanical Engineer, Required Diploma/BE Mechanical Candidate, Fresher  candidate can apply. |  salary start from 12k to 25k |  interested candidate can call on 8411955806 |  send ur resume on [HIDDEN TEXT]",MechanicalEngineer|
Mechanical Design Engineer,Diraa HR Services,NaviMumbai,4-10years,Not Specified,"The Mechanical Engineer is responsible for design, development and testing of Mechanical hardware based on the mechanical architecture and the mechanical requirements within a project. Development of core and/or application specific mechanical",MechanicalDesignEngineer|ThermalDesign|Telecom|
Mechanical Design Engineer,Sapna Manish Sharma (Proprietor Of JBM India),Coimbatore,1-3years,Not Specified,opening are going on mechanical design engineer,MechanicalDesignEngineer|
Mechanical Maintenance Engineer,Manheer Singh (Proprietor Of BigBoss Decor),Hyderabad/Secunderabad,1-5years,250000 - 350000 INR,Requirement for Mechanical Maintenance Engineer.,MechanicalMaintenance|PreventiveMaintenance|Maintenance|MaintenanceEngineering|
Engineer Trainee - Mechanical,Wright Placements,Hyderabad/Secunderabad,0-1years,150000 - 250000 INR,New Opening For Engineer Trainee - Mechanical.,Autocad|Technical|Projectmanagement|Engineeringprojectmanagement|Mechanical|engineeringdesign|Refinery|MechanicalEngineering|Petrochemical|Solidworks|
Urgent Hiring For Mechanical Engineer,Expertia Ai Technologies Private Limited,Chennai|Coimbatore,Fresher,250000 - 550000 INR,"As a mechanical engineer you'll provide efficient solutions to the development of processes and products, ranging from small component designs to extremely large plants, machinery or vehicles. You'll work on all stages of a product, from research.",MechanicalEngineer|Mechanicaldesignengineer|Electrical|DiplomaMechanical|MechanicalTechnician|MaintenanceEngineer|
A210177-Mechanical / HVAC Design Engineer for Datacenters,Z-Tech Solutions,Hyderabad/Secunderabad,8-12years,Not Specified,Responsible to design the HVAC and Mechanical works of Datacenter,HvacMechanicalEngineer|
Wanted Mechanical Engineer - Freshers,Hopes Technology,Chennai,Fresher,Not Specified,"Openings for Mechanical Engineer Freshers , with basic knowledge in core related terms , and should also be self motivated and good in work Efficiency related knowledge  |               |",MechanicalEngineer|
Mechanical Engineer FRESHER/EXPERIENCE.,Magnify Placements,Chennai,0-5years,360000 - 780000 INR,"CT.GRACY.8015143033.We are urgently requirement wanted for fresher/experience. Researching ,interpreting and applying information. developing solution. Mechanical engineer to be technically minded. Free food and accommodation also provided.",ProductionManager|QualityControl|MechanicalMaintenance|ProductionEngineer|MaintenanceEngineer|
Aeronautical Engineer /Mechanical Engineer / Electrical Engineer - Call 9520909122,Sai Groups of Organization,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-2years,350000 - 620000 INR,"produce specifications for, design, develop, manufacture and install new or modified mechanical components or systems. Mechanical engineers need to be technically minded, able to demonstrate numerical and scientific ability and have problem-solving.",MechanicalEngineer|Electrical|Mechanicaldesignengineer|ElectricalEngineer|Electricalofficer|TeamHandling|GroupLeader|AssistantTeamLeader|Trainer|SubjectMatterExpert|TeamCoach|TeamLeader|
Automobile Engineer /Automotive Engineer/Mechanical Engineer,Career Mantra Management Services,Chennai,0-5years,Not Specified,Urgent job Openings for Automobile Engineers/Automotive Engineer/Mechanical Engineer fresher's also can apply for the job. |      Eligible candidates will be offered spot offer letter,AutomobileEngineer|AutomotiveEngineer|MechanicalEngineer|
Hiring for Mechanical Engineer -BE/Btech Urgent Requirement,Aspire Group of Services,Mumbai|Pune,0-2years,120000 - 450000 INR,"Developing and implementing quality standards. Monitoring and analyzing quality performance. inspecting and testing materials, equipment, processes, and products to ensure quality specifications .Developing and implementing quality control systems.  |",Qc|BE|btech|QualityControl|HiringFreshers|Hr|HrAssistant|PersonnelOfficer|HrManager|HRQualityInitiatives|
Mechanical Engineer(Fresher),The NaukriWala,Lucknow,0-1years,120000 - 220000 INR,"Mechanical engineers need to be technically minded, able to demonstrate numerical and scientific ability and have problem-solving skills. |",MechanicalEngineer|
"Civil Site Engineer, Electrical Engineer, Mechanical Engineer, SITE",Z-Tech Solutions,Bengaluru/Bangalore|Chennai,6-10years,1050000 - 1580000 INR,Please apply here .. ! Eligible candidates will receive a call from our Hr team. |    |,CivilEngineer|SiteEngineer|Civilengg|ConstructionEngineer|Mechanicalengineer|DiplomaCivil|SiteSupervisor|Projectengineer|
