jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
inbound process For Medical Billing,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-4years,140000 - 420000 INR,Candidate should possess excellent oral and written communication skillsCandidate with good customer service skills would be preferredCandidate should have 0-5 year of experience in Customer Support Voice Process. Prior experience in Customer,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
Medical billing process Bpo,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-4years,140000 - 400000 INR,Spot offer Medical billing process Bpo Call Ruby@9342431049,"CustomerService|Customerserviceexecutive|CustomerSupport|customersupportexecutive|""csr""|cso|tsr|scsr|stsr|tso|technicalsupportexecutive|seniorcustomersuppor|"
Medical Billing Senior Executive Accounts Receivable,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,1-2years,Not Specified,Meet the productivity targets of clients within the stipulated time.,AccountsReceivable|Accounting|MedicalBilling|QualityStandards|Collections|statusreports|
Medical Billing,Arise Solution,Ahmedabad,0-2years,150000 - 200000 INR,Medical Billing Process,CustomerService|CustomerSupportExecutive|VoiceProcess|Voicesupport|InternationalBpo|
Medical Billing Process/International Voice/ US Calling - Ahmedabad,Arise Solution,Ahmedabad,0-3years,150000 - 300000 INR,"A/R FOLLOW-UP AND CLAIMS STATUSING - INSURANCE AND PATIENT COLLECTIONS |  CLAIMS ADJUDICATION AND RESUBMISSION |  CREDENTIALING, ENROLLMENT, AND RE-CREDENTIALING |  OUTBOUND / INBOUND CALLING |    If Someone interested Contact on 9687676593",MedicalBilling|UsHealthcare|MedicalCoding|cashposting|Healthcare|ArCaller|MedicalRepresentative|DenialManagement|Medicalrep|PharmaSales|Territorybusinessmanager|Fieldsalesofficer|USShift|
Medical Billing Senior Executive Accounts Receivable Call Rina,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-4years,Not Specified,Meet the productivity targets of clients within the stipulated time.,MedicalBilling|AccountsReceivable|CustomerService|CustomerSupport|qualitystandards|statusreports|
Medical Billing Process/Night Shift/ US Calling - Ahmedabad,Arise Solution,Ahmedabad,0-3years,150000 - 300000 INR,"A/R FOLLOW-UP AND CLAIMS STATUSING - INSURANCE AND PATIENT COLLECTIONS |       CLAIMS ADJUDICATION AND RESUBMISSION |       CREDENTIALING, ENROLLMENT, AND RE-CREDENTIALING |       OUTBOUND / INBOUND CALLING |         If Someone interested Contact on 9687676593",MedicalBilling|UsHealthcare|MedicalCoding|cashposting|Healthcare|ArCaller|MedicalRepresentative|DenialManagement|Medicalrep|PharmaSales|Territorybusinessmanager|Fieldsalesofficer|USShift|
Medical Billing Executive in Lucknow,Aspire Group of Services,Lucknow,0-1years,110000 - 180000 INR,Fresher male candidates can apply |   |  Age :- 18 to 45 |   |  Job Location Lucknow |   |,MedicalBillingMedicalCoding|Healthcare|
Medical Billing Voice Support Rotating Shift  BPO 9972020040,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-3years,140000 - 420000 INR,Back Office Medical Billing Process |   Provide Customer service for Healthcare Domain |   End to end Transaction processing. |   Need to maintain Accuracy in Reports.,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
Medical Billing Executive Call 9643599774,Flight To Sucess Immigration Services Llp,Canada|Germany,2-12years,Not Specified,"Medical Billing executive are in huge demand for Germany / Canada / Hong Kong / Australia |   Obtaining referrals and pre-authorizations as required for procedures. |   Checking eligibility and benefits verification for treatments, hospitalizations, and proc",MedicalBillingExecutive|MedicalBilling|Healthcare|ArCaller|Compliance|
