jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Medical Coder Jobs,Achievers Spot,Chennai|Coimbatore,0-4years,350000 - 400000 INR,Work from Home Jobs For Pharma/Physio/Staff nurse/b pharmacy/bpt /gnm/m pharm/ pharmacist/physiotherapist/Bsc nursing Graduates,MedicalCoding|Pharmacy|Physiotherapy|Nursing|StaffNurse|Biotechnology|Biomedical|Bioinformatics|Biochemistry|Microbiology|Biology|Botany|Pharmacist|Zoology|Nutrition&dietetics|Bhms|LifeScience|paramedical|medicalcoder|Physiotherapist|Dentist|
Medical Coder,Achievers Spot,Chennai|Hyderabad/Secunderabad,1-5years,1100000 - 4500000 INR,We have urgent openings for Medical coders for any certification that too certified coders are needed. |  Trichy Location need ed coders non certified and for chennai & Hyderabad we need certified coders,MedicalCoding|Coding|
Medical Coding Job - Medical Coder Analyst,Achievers Spot,Chennai|Coimbatore,0-4years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments)Codes using ICD-10 CM and CPT code books. Healthcare including Medical Coding and Billi,MedicalCoding|Healthcare|MedicalCoders|Physiot|Biotech|BscBiotechnology|BiotechnologyEngineers|Biotech|Pharmacy|Physiotherapy|Nursing|Gnm|StaffNurse|DGNM|Biomedical|Bioinformatics|Biochemistry|Microbiology|BioloNutrition&Dietetics|Bds|Bhms|
"Medical Coding Jobs - Nursing,ANM,GNM,Female Nurse, Staff Nurse, Midwifery, DGNM, Registered Nurse",Achievers Spot,Chennai|Karaikudi,0-4years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments)Codes using ICD-10 CM and CPT code books. Healthcare including Medical Coding and Billi,MedicalCoding|Pharmacy|Physiotherapy|Nursing|StaffNurse|FemaleNurse|StaffNurse|Midwifery|DGNM|RegisteredNurse|dgnm|femalenurse|LifeScience|paramedical|medicalcoder|
Work From Home Job - Medical Coding - Ct HR Ramya - 9003208596,Esn Technologies India Private Limited,Chennai|Vijayawada,0-3years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments)Codes using ICD-10 CM and CPT code books. Healthcare including Medical Coding and Billi,MedicalCoding|Pharmacy|Physiotherapy|Nursing|StaffNurse|Biotechnology|Biomedical|Bioinformatics|Biochemistry|Microbiology|Biology|Botany|Pharmacist|Zoology|Nutrition&dietetics|Bhms|LifeScience|paramedical|medicalcoder|Physiotherapist|Dentist|
CPC Certified Medical/Surgical Coder,Achievers Spot,Hyderabad/Secunderabad,2-6years,Not Specified,"This position is responsible for coding, chart compliance, and coding denial resolution. The ideal candidate will have CPC Certification and 2+ years’ experience in a hospital, surgical and medical office setting.",CPTICDCPC|
"Medical Coder Jobs - Biotechnology Engineer,Biomedical Engineers,Bioscience,Biotech Freshers",Achievers Spot,Chennai|Salem,0-2years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments) Codes using ICD-10 CM and CPT code books.,MedicalCoding|Pharmacy|Physiotherapy|Nursing|StaffNurse|Biotechnology|Biomedical|Bioinformatics|Biochemistry|Microbiology|Biology|Botany|Pharmacist|Zoology|Nutrition&dietetics|Bhms|LifeScience|paramedical|medicalcoder|Physiotherapist|Dentist|
Hiring Optometry/Home Science/Environmental Science/Veterinary Science /BVSC/MVSC Freshers/Experienc,Achievers Spot,Chennai|Tirupati,0-4years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments)Codes using ICD-10 CM and CPT code books. Healthcare including Medical Coding and Billi,MedicalCoding|Healthcare|Pharmacy|Physiotherapy|ChNursing|Gnm|StaffNurse|DGNM|BVSC|Biomedical|Bioinformatics|Biochemistry|MedicalCoders|Nutrition&Dietetics|Physio|Optometry|HomeScience|EnvironmentalScience|VeterinaryScience|
Medical Coder Job-B pharm/m  pharm/pharmacy/pharmacist/pharma/d pharm/pharm d Grad Wanted,Achievers Spot,Chennai|Salem,0-3years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments) Codes using ICD-10 CM and CPT code books.,MedicalCoding|Pharmacy|Physiotherapy|Nursing|StaffNurse|Biotechnology|Biomedical|Bioinformatics|Biochemistry|Microbiology|Biology|Botany|Pharmacist|Zoology|Nutrition&dietetics|Bhms|LifeScience|paramedical|medicalcoder|Physiotherapist|Dentist|
"Medical Coding Jobs - Pharmacist, Physiotherapist, Microbiologist, Dentist Freshers/Experienced",Achievers Spot,Chennai|Kanchipuram,0-4years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments)Codes using ICD-10 CM and CPT code books. Healthcare including Medical Coding and Billi,MedicalCoding|Pharmacy|Physiotherapy|Nursing|Zoology|Chemistry|OrganicNutrition&dietetics|Bhms|LifeScience|paramedical|medicalcoder|StaffNurse|Biotechnology|Biomedical|Bioinformatics|Biochemistry|Microbiology|Biology|Ch|Physiotherapist|Dentist|
