jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Quality Control Microbiology- Injectable Plant@ Rudrapur,VHB Medisciences Limited,Rudrapur,1-11years,Not Specified,Quality Control Microbiology- Officer/Trainee/Executive/Senior Officer,Microbiologist|Microbiology|QCMicrobiology|QualityControl|Qc|Q.C|
MJR4524A - Assistant Professor (Microbiology) - Near Bangalore,Sehat Health Community Services Private Limited,Bengaluru/Bangalore,0-3years,900000 - 960000 INR,Job Role: Assistant Professor |   |  Experience:  0 - 3 Years |   |  Salary:  75 K / Mo - 80 K / Mo |   |  Nature of Duty: Academic & Clinical |  Accommodation: Accommodation Provided,AssistantProfessor|AssistantProfessorMicrobiology|Microbiology|Microbiologist|MDMicrobiology|DNBMicrobiology|
"Laboratory Assistant ,Bsc  ,msc and male candidate fresher can be apply no 9619022384",first india hr solution,Pune|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,"Laboratory Assistant ,Bsc  ,msc and male candidate fresher can be apply no 9619022384",Biotechnology|Microbiology|Biology|
Retail Phlebotomist - Noida (DMLT / MLT / B.Sc. MLT Certificate is mandatory.) 9619022384,first india hr solution,Noida,0-1years,Not Specified,Retail Phlebotomist - Noida (DMLT / MLT / B.Sc. MLT Certificate is mandatory.) 9619022384,Dmlt|Microbiology|Biotechnology|Biotech|MolecularBiology|BloodCollection|
hiring for Laboratory Assistant (Delhi) call me 9619022384,first india hr solution,Delhi|Gurgaon/Gurugram,0-1years,Not Specified,hiring for Laboratory Assistant (Delhi) call me 9619022384,Biotechnology|Microbiology|Biochemistry|Genetics|Biotech|Biology|Chemistry|Botany|
"urgent opening in Delhi location ( B.sc ,M.sc or dmlt lab assistance) call me 9619022384",first india hr solution,Delhi,0-1years,Not Specified,"urgent opening in Delhi location ( B.sc ,M.sc or dmlt lab assistance) call me 9619022384",LabAssistance|LabIncharge|Biotechnology|Biotech|Biology|Microbiology|
Hiring for Laboratory Assistant for Delhi location  call me urgent 9619022384,first india hr solution,Delhi,0-1years,Not Specified,Hiring for Laboratory Assistant for Delhi location  call me urgent 9619022384,LabAssistance|LabIncharge|Biotechnology|Microbiology|Biochemistry|Biology|
urgent hiring for Scientific Officer - Pune  (Laboratory Assistant Job at) call me 9619022384,first india hr solution,Mumbai|Pune|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,urgent hiring for Scientific Officer - Pune  (Laboratory Assistant Job at) call me 9619022384,Biotechnology|Microbiology|Biotech|
"Medical Coding Fresher Jobs - BSc Microbiology,MSc Microbiology ,Microbiologist Freshers/Exp Wanted",Achievers Spot,Chennai|Chittoor,0-4years,350000 - 400000 INR,Medical Coding is the process of conversion of text information related to healthcare services into numeric Diagnosis (Medical Problems) and Procedure (Treatments)Codes using ICD-10 CM and CPT code books. Healthcare including Medical Coding and Billi,MedicalCoding|Healthcare|MedicalCoders|Physio|Btech|BscBiotechnology|BiotechnologyEngineers|Biotech|Pharmacy|Physiotherapy|Nursing|Gnm|StaffNurse|DGNM|Biomedical|Bioinformatics|Biochemistry|Microbiology|Biology|Nutrition&Dietetics|Bds|Bhm|
Quality Control Microbiology- Injectable Plant,VHB Medisciences Limited,Rudrapur,1-11years,Not Specified,Opportunity for QC Microbiologist-Rudrapur location,QualityControl|Qc|Q.C|Microbiology|Microbiologist|
Hiring For Biotechnology Candidates,Wright Placements,Bengaluru/Bangalore|Hyderabad/Secunderabad,Fresher,260000 - 480000 INR,"As a Biotechnologist you'll study the chemical, genetic and physical attributes of cells, tissues and organisms in order to develop new technologies, processes and products that will address some of the biggest problems facing society.",Biotechnology|Biologist|Biochemistry|Genetics|Biotech|Biology|Microbiology|Chemistry|Botany|
Microbiology BSC,Icon Facilities,Pune,0-3years,Not Specified,Urgent opening for Microbiology BSC,Biotechnology|Biochemistry|Biomedical|BioMedicalEngineer|Biology|Bioinformatics|
"B.Pharma, M.Pharma. M Sc Microbiology",Subrata Mondal (Proprietor Of Cafe Industry),Delhi|Hyderabad/Secunderabad,2-5years,480000 - 650000 INR,fresher's apply fast,Microbiologist|Freshers|Graduates|GraduateFresher|Undergraduates|HighSchoolPass|Zoology|Medical|Biochemistry|Nursing|Biochemistry|Medical|Healthcare|Pharma|Clinical|Health|Surgical|Hospital|
QC Microbiologist,Esther Jeevitha (Proprietor of Morgan Techno India),Ahmedabad,1-5years,240000 - 400000 INR,Requirement QC Microbiologist.,Qc|Microbiology|MediaPreparation|FinishedProducts|
Quality Control Microbiologist,Pleco Migration Private Limited,Mumbai,0-5years,200000 - 420000 INR,Requirement of Quality Control Microbiologist.,Microbiologist|Microbiology|QualityControlMicrobiologist|QualityControl|
Microbiologist,Axceltrees Consulting Private Limited,Canada|HongKong,2-7years,3000000 - 4500000 INR,Microbiologist  |    |    |   Call Priya - 8800604691,Microbiology|Microbiologist|
Quality Controller (Microbiologists) - Meat and meat products for Riyadh Saudi Arabia,I Skills Solutions,SaudiArabia,5-10years,700000 - 800000 INR,Quality Controller (Microbiologists) - Meat and meat products. |   |  Job Location- Riyadh Saudi Arabia.,microbiologists|Microbiology|QualityController|Iso22000|HACCPLevel4|FoodMicrobiology|Haccp|meat|SAUDIARABIA|KSA|RIYADH|Qa|
"Hiring Microbiology, Biochemistry, Biotechnology, Biomedical- Medical Coder Job",Achievers Spot,Chennai|Coimbatore,0-3years,220000 - 440000 INR,"Position : Medical Coder |                                           |                                          Job Description: |                                           |                                          Medical Coding is the process of converting Verbal Descriptions into numeric or alpha numeric by using ICD 10-CM, CPT & HCPCS.",Medicalcodingjob|MedicalCoderjob|Biotechjob|biotechnologyjob|microbiologyjob|Nursingjob|staffNurseJob|Pharmacyjob|dentistjob|physiotherapistjobs|biochemistryjobs|Anatomy|Physiology|Pathology|Icd|Cpt|LifeScience|Paramedica|
