jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Microsoft Dynamics Crm,Allgrow Technologies (Opc) Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,Must have experience in Microsoft Dynamics  CRM,Navision|Dynamics|MicrosoftDynamics|Nav|MicrosoftDynamicsNavision|
Microsoft Technical Engineer,Kaapro Management Solutions Private Limited,Ahmedabad,2-7years,Not Specified,Role Summary 	You will work with household name organisations helping them benefit from the latest Microsoft has to offer for project & portfolio management (PPM). You will work as the Technical Engineer on Microsoft PftW & Power App,Developermicrosofttechnologies|
MS Dynamics Navision Developer,Inspire People Consultancy,Hyderabad/Secunderabad,2-10years,Not Specified,"Hi , |  Greetings from Inspire People Consultancy |  We have an excellent Opening with one of our IT Company. |",Navision|MicrosoftDynamics|Nav|MicrosoftDynamicsNavision|
O365 Engineer- L2,CCT Digisol Private Limited,Ahmedabad,3-4years,550000 - 650000 INR,"Be responsible for creation, Implementation, and management of technologies such as Microsoft Office 365  |   Email and Apps |   Azure  Hosting and Microservices |  Exchange Online  Webmail |  Office Online  Productivity Apps",O365|MicrosoftOffice365|
MS Dynamics,Infuse Consulting India Private Limited,Pune,2-4years,Not Specified,"Finance, Supply Chain, Human Resources, Payroll, Expense Management. Design test cases from business processes and technical documentation. Execute test cases, log the defects and drive the defect fixes to a resolution. API testing experience.  |",MicrosoftDynamics|MSDynamics|
Microsoft Lync Support,ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Bengaluru/Bangalore,1-2years,Not Specified,"L1 support on Business Skype - Supporting.Troubleshooting skills - user access, conf call etc.",MicrosoftLyncSupport|Mpls|TechSupport|Technicalsupport|Qos|Vpn|Desktopsupport|
NAV Technical Consultant / Business Central Technical Consultant,Allgrow Technologies (Opc) Private Limited,Bengaluru/Bangalore,0-1years,Not Specified,Must have completed NAV Technical Consultant / Business Central Technical Consultant course,Navision|Dynamics|MicrosoftDynamics|Nav|MicrosoftDynamicsNavision|
NAV Technical Consultant / Business Central Technical Consultant,Allgrow Technologies (Opc) Private Limited,Bengaluru/Bangalore,0-1years,Not Specified,Must have completed NAV Technical Consultant / Business Central Technical Consultant course,Navision|Dynamics|MicrosoftDynamics|Nav|MicrosoftDynamicsNavision|
Data Engineer with Microsoft Stack,Best infosystems Ltd,Bengaluru/Bangalore|Chennai,6-12years,Not Specified,5+ years of experience in SSIS,BIML|MicrosoftStack|DataEngineer|SSIS|C3|TSQL|
Project Manager,Vitalhunt Global Solutions Private Limited,Hyderabad/Secunderabad,10-17years,509999 - 2410000 INR,Position : Project Manager |  Experience : 10+ Years |  Location : Hyderabad |  Shift Time : 3:30 AM or 4:00 AM to 12:30 PM or 1 PM (8:30 AEST),MicrosoftDynamics|Pmp|Erp|
