jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
O365 Engineer- L2,CCT Digisol Private Limited,Ahmedabad,3-4years,550000 - 650000 INR,"Be responsible for creation, Implementation, and management of technologies such as Microsoft Office 365  |   Email and Apps |   Azure  Hosting and Microservices |  Exchange Online  Webmail |  Office Online  Productivity Apps",O365|MicrosoftOffice365|
Hiring for Ground Staff Profile.,Lakshya,Bengaluru/Bangalore|Delhi,Fresher,Not Specified,We are hiring for the ground staff executives...,Communication|PriorExperienceandKnowledge|Analytics|AbilityToLearnQuickly|OrganizationalSkills|MicrosoftOffice|
Data Entry Operator,Minanshika Softech Solution Private Limited,Mohali|Chandigarh,0-2years,120000 - 220000 INR,Full time office based job. Fresher and Experience can apply.,Word|PowerPoint|Typist|Excel|MsExcel|MsOffice|ComputerOperator|MicrosoftOffice|
Work from Home Jobs l Typing @ Rs.200 /page @ 9088213433,SDL Multilingual Solutions Private Limited,Delhi|Mumbai,0-5years,120000 - 480000 INR,"Typing, Excel Numeric, Copy-Paste Form Filling, Handwriting Project",DataEntryOperator|HrExecutive|HrManager|Recruitment|ItRecruiter|BackOffice|Nonvoice|AccountsExecutive|Mis|InformationTechnology|Computeroperator|Tally|MsOffice|MicrosoftOffice|
"Hiring for Data Entry Operator l Work from Home Jobs l Typing, Excel, Copy-Paste @ 9088213433",Efficient Connections,Hyderabad/Secunderabad|Kolkata,0-5years,240000 - 600000 INR,"Typing, Excel Numeric, Copy-Paste Form Filling, Handwriting Project",DataEntryOperator|HrExecutive|HrManager|Recruitment|ItRecruiter|BackOffice|Nonvoice|AccountsExecutive|Mis|InformationTechnology|Computeroperator|Tally|MsOffice|MicrosoftOffice|
Work from Home Jobs l Excel Numeric Entry @ Rs.10 /Row l Earn upto Rs.40K @ 9163740654,Sri Balaji Associates,Ahmedabad|Pune,0-5years,240000 - 600000 INR,"Typing, Excel Numeric, Copy-Paste Form Filling, Handwriting Project",DataEntryOperator|HrExecutive|HrManager|Recruitment|ItRecruiter|BackOffice|Nonvoice|AccountsExecutive|Mis|InformationTechnology|Computeroperator|Tally|MsOffice|MicrosoftOffice|
"Hiring for Data Entry Operator l Work from Home Jobs l Content Writing, Excel Entry @ 9163740654",Yellow Umbrella Group,Bengaluru/Bangalore|Chennai,0-5years,240000 - 600000 INR,"Typing, Excel Numeric, Copy-Paste Form Filling, Handwriting Project",DataEntryOperator|HrExecutive|HrManager|Recruitment|ItRecruiter|BackOffice|Nonvoice|AccountsExecutive|Mis|InformationTechnology|Computeroperator|Tally|MsOffice|MicrosoftOffice|
Vacancy for HR Executive (Female) at Barrackpore & Naihati - (No Target + Fixed Salary + ESI + PF),Spectrum Medical Ind. Pvt. Ltd.,Kolkata|Howrah,0-5years,100000 - 140000 INR,"No target Job, Basic Salary + Incentive + Bonus + ESI + PF + Salary A/C",HrExecutive|Recruitment|HumanResource|DataEntry|BackOffice|FrontOfficeExecutive|Administration|MicrosoftOffice|
DTP Specialist - Night Shift  at RWS Group,Outworks Solutions Private Limited,Mumbai,1-7years,Not Specified,Work closely with DTP lead and project manager with involvement in client conference calls explaining DTP issues with the project. Support lead DTP to meet ship dates for localised products. Be responsible for DTP jobs of small accounts. Understand a,Indesign|IndesignOperator|DTP|DtpOperator|DesktopPublishing|MicrosoftOffice|
Computer Operator,Minanshika Softech Solution Private Limited,Indore,0-5years,Not Specified,We need a full time computer operator for our marketing office. Candidate should be well versed with MS Office and English communication.,MarketingCommunication|MicrosoftOffice|
