jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgent requirement for Reporting and Monitoring analyst_Chennai,Norwin Technologies India Private Limited,Chennai,1-4years,Not Specified,Work Location: Chennai |  Two way cab facility |  PF & gratuity benefits |  Health insurance,MisReports|MsExcel|
Data Entry Operator,Lakshya,Mohali|Chandigarh,0-2years,120000 - 220000 INR,Full time office based job. Fresher and Experience can apply.,Word|PowerPoint|Typist|Excel|MsExcel|MsOffice|ComputerOperator|MicrosoftOffice|
Accountant Executive,Divo Tv Private Limited,Chennai,0-2years,Not Specified,"Extensive usage of Ms Excel(AGgregate function, vLookup,pivot table, Macros MIS reporting using Ms Excel) |  Knowledge in Tally |  should have strong analytical skill",Mis|MsExcel|Macros|
Data Entry Operator,Aspire Group of Services,Lucknow,0-2years,100000 - 150000 INR,Maintain the records Confidential. |  Verify data and correct database.,DataEntryOperator|Word|Internet|Excel|MsExcel|
Telesales  Telemarketing  Telesales Executive  Telecaller,Hi Tides Consulting,Ludhiana,1-2years,210000 - 250000 INR,"Mandatory Skills :  candidates with good convincing skills & knowledge of E-mail & MS- Excel. |   Responsibilities – |   1.	Generating and qualifying leads from cold calling |  2.	Managing, tracking and following up on leads by calling them |  3.	Conduc",Email|WebBrowsing|Mis|emailclients|onlinesupport|Excel|MsExcel|
Back Office Executive |Data Entry Computer Operator |Fresher,Aspire Group of Services,Lucknow,0-1years,Not Specified,We are Hiring for Data Entry Operator/computer Operators who provide support with daily administrative tasks in our company |  Responsibilities  : |  *Maintain database on regular basis. |  *Scan And Print documents. |  *Verify data and correct database. |,DataEntry|PowerPoint|ComputerOperator|MsExcel|
Accountant,Alok N Thuse (Proprietor of S759 Labs),Mumbai,1-5years,Not Specified,"Managing all financial transactions. Accountant responsibilities include auditing financial documents and procedures, reconciling bank statements and calculating tax payments and returns.",Accounting|MsExcel|
"Hiring For Billing Operator (Tally, Busy software )",Aspire Group of Services,Delhi,2-6years,130000 - 240000 INR,Handle Billing Make Invoice Manage Regularly Production Details Manage All Employee Details And All Sale & Purchase Details .... |,Busy|gstbilling|Stock|Purchase|invoice|AccountAssistant|tally|Excel|MsExcel|
Fresher Required For Computer Operator,Eteam Info Services Private Limited,Lucknow,0-1years,160000 - 290000 INR,"Maintain database on regular basis. |  Good knowledge of MS Office Word, Excel. Must have good command over excel - V lookup, Hookup, overall formulas in excel. |  Knowledge of internet and safe browsing practices. |   |",DataEntryOperator|PowerPoint|ComputerOperator|MsExcel|Excel|
Copy Writer,Aspire Group of Services,Bengaluru/Bangalore,3-6years,Not Specified,"Role: Copy Writer |  Payroll: eTeam |  Loc: Bangalore (Now WFH) |  4-5 years professional copywriting exp with solid portfolio of work |  Proficiency in MS Word, Excel, PowerPoint & Adobe Acrobat Pro |  B2B exp. Prior exp in Marketing Technology, will be beneficial",CopyWriter|Marketing|MsWord|Powerpoint|AdobeAcrobat|B2b|MsExcel|
Urgent Hiring For Data Entry Operator ( Fresher ),Novateur IT Technologies India Private Limited,Lucknow,0-1years,130000 - 260000 INR,"Dear Candidate, |  We have Urgent Opening for Data Entry Operators in Lucknow. |  Data Entry Operator |  location : Lucknow  |  Experience : 0 to 1 Yrs |  qualification : Any Graduation |  gender: Female/male",DataEntryOperator|TypingSpeed|BackOffice|MsExcel|MsOffice|
Excel Expert,Aspire Group of Services,Hyderabad/Secunderabad,2-4years,Not Specified,Position:Contract |  Location:Hyderabad |  Company:MNC |  Notice:15 Days,PivotTables|Sumif|Formulas|CellformattingVlookup|MsExcel|Macros|Macros|
Back Office Executive| Backend | data Entry | IN LUCKNOW LOCATION,Alok N Thuse (Proprietor of S759 Labs),Lucknow,0-1years,130000 - 250000 INR,We are looking for Data entry Operator who can excellently maintain all the data for our company You will be handed with all our company data and your job will be to maintain the records You will be maintaining data records and doing data collection.,Backend|BackOffice|Operations|Excel|MsExcel|
Payroll Accountant,Rudraksha Fire Security Services,Mumbai,1-5years,200000 - 400000 INR,"Your primary responsibility as Payroll Accountant will be to issue employee payments, considering deductions and withholdings. You’ll prepare payroll schedules and records.",Accounting|finaFinance|Taxation|MsExcel|
Backend Operations,Azine Technologies,Delhi|Noida,1-5years,Not Specified,"Typing Letter Drafting & Note Sheets. |     Prepared Report of Highways Related as per Reporting Mana ger (Admin.) |     Maintain Highways related File of as per Current Project. |     Prepared Courier Letter or Couriers & send to Concern RO (Regional Office),",MsWord|MsExcel|
Web Researcher,Coincap Systems & Services Private Limited,Vadodara,0-1years,100000 - 150000 INR,"A web researcher is part of project management team that generates specific data needed for any project in a competitive, flexible and timely manner.",SearchEngines|MsExcel|DataManagement|
Accounts Executive - 5 To 8 Years Experience,Divo Tv Private Limited,Bengaluru/Bangalore|Mumbai,5-8years,650000 - 1050000 INR,URGENT REQUIREMENT,Tds|PowerPoint|Mis|Word|Email|Accounting|Expenses|Gst|Payments|MISReporting|Tally|Excel|MsExcel|Macros|
IMPLEMENTERS,Amart Interiors,Mumbai|MumbaiCity,1-2years,130000 - 200000 INR,IMPLEMENTERS / JR. IMPLEMENTERS for implementing COINCAP-ERP. Candidate must have exposure to implementing any commercial application. Excel and Accounts background will be added advantage.,MsexcelandFluencyoverEnglish|Windows|
