jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
MSSQL DBA,Simple Logic IT Private Limited,MumbaiCity,3-8years,Not Specified,"- Install, configure & maintain MSSQL Standalone & Clustered databases |  - Migration of Databases from 2005/2008/2008 R2 to 2014/2016/2012 |  - Performance Optimization Instance and QUERY level |  - Backup and restore Management |",MSSQLDataBaseAdministrator|SSIS|Replication|Clustering|PerformanceTuning|Mssql|
.Net Lead,Sigma Consultancy Services,Remote,5-9years,700000 - 1000000 INR,looking candidate for .Net lead,.NETCore|C#.net|HTML|Javascript|Mssql|
Tech Lead,Virtusa Software Services Private Limited,SriLanka,7-10years,Not Specified,Tech Lead - MS-BI (SSIS/SSRS) Developer,SQLserverintegration|SSIS|Msbi|SQLserver|Ssrs|Mssql|
Automation Tester,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,5-10years,Not Specified,Automation Testers |  Experience - 5+ years |  Tool - Selenium and TEST NG |  Location - Bangalore/Pune |,Selenium|Testng|ApiTesting|Json|Mssql|Java|C#|C++|
"MSSQL developer,Databas design,development, 3-5 years, upto 13 LPA, Bangalore",Angel And Genie,Bengaluru/Bangalore,3-5years,Not Specified,"MSSQL developer,Databas design,development, 3-5 years, upto 13 LPA, Bangalore,Candidates who can join in 15 days only are preferred.",MSSQLdeveloper|Databasdesign|Development|MsSqlServer|
Immediate opening for AWS Devops Engineer for a leading Cloud company in Bangalore,JB Consultants,Bengaluru/Bangalore,3-8years,Not Specified,Mandatory Skills:  |  • IT: 3 years  |  • AWS & Python: 3 years  |  Education:  |  • Bachelor's (Required)  |  Location: Bangalore,MonitorandManage|aws|MySQL|Mssql|MongoDB|AwsCloud|agile|python|Itil|Ec2|S3|Vpc|Route53|CloudFront|RDS|Lambda|
"Software Developer (ASP.NET, VB Coding, MSSQL server)",Quench Techno Valley,Coimbatore|Tiruppur,2-5years,Not Specified,Looking for software developer with minimum 2 years of programming experience in Asp.net(vb coding).,VBcoding|SoftwareDeveloper|Asp.Net|VB.NET|SQLServer|
Sr. Software Engineer/Developer/Programmer,Aarav Consultancy,Mumbai|MumbaiCity|NaviMumbai|Thane,3-6years,Not Specified,Urgent opening for Sr. Software Engineer/Developer/Programmer for Mumbai(Mulund)Location.,ASP.NETWebForms|.NETCore|MSSQLwithPL/SQL|ORACLEwithPL/SQL|MYSQLwithPL/SQL|C#|Javascript|JQuery|
C# Developer,MLogica Computech India Private Limited,Pune,5-10years,Not Specified,"Technical expertise in Software Development Life Cycle entailing requirement analysis, time & cost estimation and high-level design |",C#Developer|C#|Oracle|Sybase|Postgres|Mssql|MySQL|
Asp.Net Mvc Developer,Gretis India Private Limited,Hyderabad/Secunderabad,0-1years,120000 - 180000 INR,"MVC ASP.NET Developer |  Delivering a high-quality application |  Integrating with front-end developers  |  Ensuring a required level of performance |  MVC, ASP.NET, MSSQL Server, HTML, CSS, CSharp, JavaScript, JQuery",Mvc|ASP.NET|MssqlServer|HTML|CSS|Csharp|Javascript|JQuery|
Jr Java Developer,Talentsol Consulting,Hyderabad/Secunderabad,2-4years,Not Specified,One of our product client in Hyderabad hiring for Jr Java Developer,JPA/Hibernate|Mssql.|Java|Spring|SpringBoot|Webservices|MySQL|
.Net Developer for Bahrain,Vinirma Consulting Private Limited,Bahrain,4-9years,Not Specified,"Urgent hiring for Net Developer for Bahrain.C# Programming language |  • Web Services Development (ASMX, WCF)",ASMX|ASP.NetWebForms|JavaScript.|.NET|Wcf|Asp.netMvc|Mssql|Oracle|Html5|Css3|
SR .Net Developer --Immediate joiner,Sysmedac Technologies India Private Limited,Chennai,4-8years,400000 - 800000 INR,"Must to have - 4 to 8 Yrs of Strong Core Dot NET,C#,MVC",.NetDeveloper|.NetANDC#|MVCAngularJs|ASP.NET|C#|AspDotnet|AspDotNet|SQLServerDeveloper|Mssql|
"Urgent - Senior Data Analyst - IT Startup in HYD - KEY SKILLS: MSSQL, PYTHON, MongoDB, R, restAPI",Ktrian Solutions Private Limited,Hyderabad/Secunderabad,3-4years,Not Specified,"Interpret data, analyze results using statistical techniques and provide reports & analytics. |   Develop and implement databases, data collection systems, data analytics, and other strategies that optimize statistical efficiency and quality.",Segmentation|DataAnalysis|DataCollection|MySQL|DataMining|Php|MongoDB|Json|DataAnalytics|Python|
Dot Net Developer,Nibhandana Human Resources & Consulting Limited Liability Partnership,Faridabad,2-4years,Not Specified,"In Depth knowledge VB.Net, C# ,MVC ,Webservice, WebAPI(Rest ,RPC), knowledge of JSON.  |  Should have knowledge in MSSQL and MySQl. |",VB.Net|C#|Mvc|WebServices|Api|RESTful|Mssql|Mysql|
Full stack developer .Net Developer,Cybage Software Private Limited,Bengaluru/Bangalore,3-10years,Not Specified,Full stack developer experience in developing .NET applications . |  knowledge of ASP.NET MVC & My SQL,MySQLorMSSQL|Mvc|Jquery|
Cybage Software hiring For Mssql Support: Pune,Ktrian Solutions Private Limited,Pune,2-7years,Not Specified,"3+ years of overall experience in MS SQL Server 2005, 2008, 2008 R2 , 2012 and SQL Server 2016 databases. |",RelationalDatabases|Mssql|MsSqlServer|SQLServer|
Job Opening for Angular / Nodejs Developer,Vinirma Consulting Private Limited,Faridabad,3-5years,229999 - 590000 INR,"In Depth knowledge of Node.js. |   Hands on experience with HTML,CSS and Ajax. |   Development experience designing object oriented Javascript. |   Knowledge of web libraries and frameworks such as NodeJS. |",Mysql|Mssql|Javascript|HTML|CSS|Angular|Node.js|AJAX|
Java developer for Qatar,Renovision Automation Services Private Limited,Qatar,4-5years,Not Specified,Urgent hiring for Java developer.4-5 years of domain experience in designing development and architecture of Web-based applications and infrastructure required in a fast-paced environment desired.,Insurance|Plsql.|Java|Oop|CoreJava|Jee|Json|Mssql|
Node JS Developer,Sunsea E Services Private Limited,Bengaluru/Bangalore,3-6years,Not Specified,"Primary: NodeJS, Typescript , Loopback |  Good to have: MSSQL 2016, CI / CD DevOps , Gitlab , Harbor ,  Jenkins,  Jira , Kubernetes,  Docker, sonarqube (any other code quality tool ) |",Primary:NodeJS|LoopbackGoodtohave:MSSQL2016|CI/CDDevOps|Harbor|sonarqube(anyothercodequalitytool)|Typescript|Gitlab|Jenkins|Jira|Kubernetes|Docker|
AWS Developes/ Engineers,Corevance Systems Private Limited,Chennai|Hyderabad/Secunderabad,3-5years,550000 - 740000 INR,We are looking for AWS Cloud Developers from PAN India  to one of our clients,AWSCloudtechnologies|CI&CDtoolslikeJenkins|Mysql/PostgreSQL/MSSQL|Abache|Github|Docker|Ansible|Nat|
.Net Developer,iQuest Management Consultants Private Limited,Hyderabad/Secunderabad,1-8years,200000 - 1000000 INR,"We are looking to hire 6 experienced Net Developers with experience between 1 year to 8 years to help us keep growing. If you're hard-working and dedicated, Corevance systems is an ideal place to work. Apply today! |",DotNet|.NET|Javascript|jQuery|Json|Mssql|DotNetTechnologies|
