jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
SEO Intern required,Career Net Solutions,Delhi,1-6years,Not Specified,"The SEO Intern will assist the Marketing Manager in daily design, web and social media tasks. The intern will have the opportunity to develop a solid understanding of online marketing, content creation and off-site promotion. |     |    Its Unpaid Internship",SeniorSEOExecutive|seointern|seointernship|Internships|Internships|seo|SEOAssociate|SeoContentWriters|SEOTools|SeoExecutive|SeoAnalysis|SeoExecutive|
Office Assistant (Female),Career Net Solutions,Delhi,0-5years,Not Specified,"The recruiting, interviewing, and screening responsibilities of HR recruiters can be further broken down by daily responsibilities, which include: |  Partnering with hiring managers to determine staffing needs |  Screening resumes |",OfficeAssistant|OfficeCoordinator|OfficeExecutive|OfficeAdministration|FrontOfficeExecutive|BackOffice|Backend|BackOfficeExecutive|Backofficeoperations|Operations|Computeroperator|
HR Recruiter,Career Net Solutions,Delhi,1-6years,Not Specified,"Should have knowledge on full recruitment life cycle including job posting, sourcing, screening, interviewing, salary negotiating, documenting, induction and on-boarding activities. |     |",HrRecruiter|HrExecutive|HrAssistant|HrCoordinator|Recruitment|RecruitmentConsultant|Staffing|Hiring|TalentAcquisition|Hr|RecruitmentExecutive|
PHP LARAVEL Developer,Career Net Solutions,Delhi|Gurgaon/Gurugram,3-10years,Not Specified,"Position: PHP LARAVEL Developer |  Experience Required: 3 Year + |  Salary : 7,00,000 to 1,00,0000 LPA |  Job Location: Gurgaon",phplaraveldeveloper|Phpdeveloper|PhpMysql|PhpLaravel|PHPprogrammer|Codeigniter|CorePhp|
SEO Intern required,Career Net Solutions,Delhi,1-6years,Not Specified,"The SEO Intern will assist the Marketing Manager in daily design, web and social media tasks. The intern will have the opportunity to develop a solid understanding of online marketing, content creation and off-site promotion. |     |    Its Unpaid Internship",SeniorSEOExecutive|seointern|seointernship|Internships|Internships|seo|SEOAssociate|SeoContentWriters|SEOTools|SeoExecutive|SeoAnalysis|SeoExecutive|
Senior SEO Executive (Female),Career Net Solutions,Delhi,2-6years,Not Specified,Optimizing copy and landing pages for search engine optimization. |   |  Performing ongoing keyword research including discovery and expansion of keyword opportunities. |   |  Researching and implementing content recommendations for organic SEO s uccess. |,Sem|InternetMarketing|OnlineMarketing|SearchEngine|GoogleAdwords|Ppc|Cpc|PayPerCliCk|SEO|SearchEngineOptimization|LinkBuilder|Smo|
"Company Secretary for Automotive Component Manufacturing Company, Gurgaon",HR Net Consultants Private Limited,Gurgaon/Gurugram,5-10years,Not Specified,We are looking for Company Secretary for Automotive Component Manufacturing Company for Gurgaon Location.,CompanySecretary&ComplianceOfficer|
Dot Net Developer,Career Net Solutions,Delhi|Noida,1-6years,200000 - 600000 INR,"Deep knowledge of the .NET 2.0/3.5/4.0 Framework, including Visual Studio 2005/2008/2010, VB.NET/C#.NET, ASP.NET, MVC, ASMX and WCF Web Services, WEB API, AJAX, JavaScript and ADO.NET",DotNetDeveloper|.NetDeveloper|Asp.netDeveloper|TRAI|Asp.net2.o|.NET|Asp.net|C#|
Dot Net Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"If you are a Java/PHP/.net developer & have good understanding of web technologies, and want to switch to Ruby on Rails or iOS or Android development.",dotnetdeveloper|.NetDeveloper|dotnetdeveloperC#|Dotnet.Net.Net|Dotnet|AspDotnet|ASP.NET|
HR Recruiter,Career Net Solutions,Delhi,1-6years,Not Specified,"Should have knowledge on full recruitment life cycle including job posting, sourcing, screening, interviewing, salary negotiating, documenting, induction and on-boarding activities. |   |",HrRecruiter|HrExecutive|HrAssistant|HrCoordinator|Recruitment|RecruitmentConsultant|Staffing|Hiring|TalentAcquisition|Hr|RecruitmentExecutive|
Flutter Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"- 2-5 years of experience on developing native applications on iOS, Android |     |    - 2+ years of experience in building native apps using either of React Native, Ionic, Cordova |     |    - Minimum of 1+yrs of experience in developing in Flutter.",flutterdeveloper|flutterandroiddeveloper|flutteriosdeveloper|
Collections Manager,Career Net Solutions,Gurgaon/Gurugram,8-14years,800000 - 1100000 INR,"Experience in B2B Sales, Collections, Credit Control and Operations.  |  Should have led teams (Min 10-15 Members) for at least 2 years. |  Interested candidates should be comfortable with traveling and field role.",b2bmanager|b2bcollections|collectionsmanager|arcollections|Accountreceiveable|
Business Development Executive,Career Net Solutions,Delhi,1-6years,Not Specified,"Business Development Executives / Medical Representatives Ambitious, livewire youth looking for a fast paced, performance oriented growth in Pharmaceutical marketing.",BusinessDevelopmentExecutive|Sales|Marketing|marketinexecutive|Sales&Marketing|BusinessDevelopment|Selling|
Flutter Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"- 2-5 years of experience on developing native applications on iOS, Android |    |   - 2+ years of experience in building native apps using either of React Native, Ionic, Cordova |    |   - Minimum of 1+yrs of experience in developing in Flutter.",flutterdeveloper|flutterandroiddeveloper|flutteriosdeveloper|
Web Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"Tailoring user experience |   Bringing a designers concept to life with HTML, CSS, and JavaScript/JQuery |   Production, modification, and maintenance of websites and web application user interfaces |   Experience with responsive and adaptive design.",WebDeveloper|HTMLDeveloper|Html5|CSS|Javascript|Xml|AJAX|
Sales executive on commission basis,Career Net Solutions,Delhi,0-5years,Not Specified,Contact companies potentially requiring candidates for their companies. |  Launch follow-up phone call campaigns to introduce our company to prospects |  This is a commission-based position .  |  No monthly base salary.,Marketing|businessdevelopment|LeadGeneration|ClientServicing|ClientAcquisition|MarketDevelopment|Sales|VendorManagement|salesexecutive|
Ecommerce Executive,Career Net Solutions,Delhi,1-5years,Not Specified,Will be responsible for managing & driving the online business on Amazon marketplace. |   Will be responsible for uploading new Listings on Amazon on weekly basis and ensuring catalogue hygiene of the uploaded catalogue.,Ecommerce|E-Commerce|Online|Ecom|B2C|ecommercedevelopment|socialmedia|onlinelisting|onlinesales|OnlineMarketing|InternetSales|OnlineSelling|DigitalSales|ecommerceexecutive|ecommerceofficer|
Sales Executive - Medical Pharma,Career Net Solutions,Delhi,1-6years,Not Specified,"To engage in COLD CALLING & PROMOTION of Products assigned with decision makers & users (Doctors, Operation Theatre (OT) Staff (Head Nurses & Brothers) in Hospitals, Private Clinics & Medical Colleges. |    Travel to the assigned areas",Sales|SalesExecutives|Marketing|Relationshipmanager|Selling|BD|Insurance|DirectSales|AccountManager|BusinessDevelopmentExecutive|
Work from home (Seo internship),Career Net Solutions,Delhi,0-5years,Not Specified,"The SEO Intern will be handling web and social media tasks. The intern will have the opportunity to develop a solid understanding of online marketing, content creation and off-site promotion. |",seointernship|LeadGeneration|Sem|InternetMarketing|OnlineMarketing|SearchEngine|seo|SearchEngineOptimization|LinkBuilder|Smo|
Dot Net Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"If you are a Java/PHP/.net developer & have good understanding of web technologies, and want to switch to Ruby on Rails or iOS or Android development.",dotnetdeveloper|.NetDeveloper|dotnetdeveloperC#|Dotnet.Net.Net|Dotnet|AspDotnet|ASP.NET|
SEO Intern required,Career Net Solutions,Delhi,1-6years,Not Specified,"The SEO Intern will assist the Marketing Manager in daily design, web and social media tasks. The intern will have the opportunity to develop a solid understanding of online marketing, content creation and off-site promotion. |    |   Its Unpaid Internship",SeniorSEOExecutive|seointern|seointernship|Internships|Internships|seo|SEOAssociate|SeoContentWriters|SEOTools|SeoExecutive|SeoAnalysis|SeoExecutive|
HR Manager,Career Net Solutions,Faridabad|Palwal,5-10years,Not Specified,Purpose of the Position: – The purpose of this position is to handle all the issues and daily activities of the department. To take initiative and close any requirement / indent generated by user department in time bound manner. It also requires adhe,HrManager|HrExecutive|RecruitmentHead|StaffingManager|TalentAcquisition|RecruitmentManager|ResourceManager|
Store Manager for Electronics Gadgets/Camera & Accessories in Hyderabad,HR Net Consultants Private Limited,Hyderabad/Secunderabad,3-10years,Not Specified,We are looking for Store Manager for an Electronic Gadgets/Camera & its accessories in Hyderabad.,StoreManager|Retailstore|Storekeeper|StoreOperations|StoreOfficer|StoreSupervisor|RetailManager|
Dot Net Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"Experience: 6 Mont + |  Location- Tilak Nagar, New Delhi  |  Salary: Depending on experience and skills  |  Urgent opening for Dot Net Developer having 1+ years of experience.  |  Job Description - Excellent Object Oriented Programming Skills in C#. - Hands-on",DotNetDeveloper|.NetDeveloper|Asp.netDeveloper|dotnetdeveloper|.NetDeveloper|.NETFramework|ASPFramework|VBFramework|.NET|DotNetDevelopment|Dotnet|DotNet|VB.NET|DotNetFramework|C++|ASP.NET|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
SEO Intern required,Career Net Solutions,Delhi,1-6years,Not Specified,"The SEO Intern will assist the Marketing Manager in daily design, web and social media tasks. The intern will have the opportunity to develop a solid understanding of online marketing, content creation and off-site promotion. |     |    Its Unpaid Internship",SeniorSEOExecutive|seointern|seointernship|Internships|Internships|seo|SEOAssociate|SeoContentWriters|SEOTools|SeoExecutive|SeoAnalysis|SeoExecutive|
Office Assistant (Female),Career Net Solutions,Delhi,0-5years,Not Specified,"The recruiting, interviewing, and screening responsibilities of HR recruiters can be further broken down by daily responsibilities, which include: |  Partnering with hiring managers to determine staffing needs |  Screening resumes |",OfficeAssistant|OfficeCoordinator|OfficeExecutive|OfficeAdministration|FrontOfficeExecutive|BackOffice|Backend|BackOfficeExecutive|Backofficeoperations|Operations|Computeroperator|
HR Recruiter,Career Net Solutions,Delhi,1-6years,Not Specified,"Should have knowledge on full recruitment life cycle including job posting, sourcing, screening, interviewing, salary negotiating, documenting, induction and on-boarding activities. |     |",HrRecruiter|HrExecutive|HrAssistant|HrCoordinator|Recruitment|RecruitmentConsultant|Staffing|Hiring|TalentAcquisition|Hr|RecruitmentExecutive|
PHP LARAVEL Developer,Career Net Solutions,Delhi|Gurgaon/Gurugram,3-10years,Not Specified,"Position: PHP LARAVEL Developer |  Experience Required: 3 Year + |  Salary : 7,00,000 to 1,00,0000 LPA |  Job Location: Gurgaon",phplaraveldeveloper|Phpdeveloper|PhpMysql|PhpLaravel|PHPprogrammer|Codeigniter|CorePhp|
SEO Intern required,Career Net Solutions,Delhi,1-6years,Not Specified,"The SEO Intern will assist the Marketing Manager in daily design, web and social media tasks. The intern will have the opportunity to develop a solid understanding of online marketing, content creation and off-site promotion. |     |    Its Unpaid Internship",SeniorSEOExecutive|seointern|seointernship|Internships|Internships|seo|SEOAssociate|SeoContentWriters|SEOTools|SeoExecutive|SeoAnalysis|SeoExecutive|
Senior SEO Executive (Female),Career Net Solutions,Delhi,2-6years,Not Specified,Optimizing copy and landing pages for search engine optimization. |   |  Performing ongoing keyword research including discovery and expansion of keyword opportunities. |   |  Researching and implementing content recommendations for organic SEO s uccess. |,Sem|InternetMarketing|OnlineMarketing|SearchEngine|GoogleAdwords|Ppc|Cpc|PayPerCliCk|SEO|SearchEngineOptimization|LinkBuilder|Smo|
"Company Secretary for Automotive Component Manufacturing Company, Gurgaon",HR Net Consultants Private Limited,Gurgaon/Gurugram,5-10years,Not Specified,We are looking for Company Secretary for Automotive Component Manufacturing Company for Gurgaon Location.,CompanySecretary&ComplianceOfficer|
Dot Net Developer,Career Net Solutions,Delhi|Noida,1-6years,200000 - 600000 INR,"Deep knowledge of the .NET 2.0/3.5/4.0 Framework, including Visual Studio 2005/2008/2010, VB.NET/C#.NET, ASP.NET, MVC, ASMX and WCF Web Services, WEB API, AJAX, JavaScript and ADO.NET",DotNetDeveloper|.NetDeveloper|Asp.netDeveloper|TRAI|Asp.net2.o|.NET|Asp.net|C#|
Dot Net Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"If you are a Java/PHP/.net developer & have good understanding of web technologies, and want to switch to Ruby on Rails or iOS or Android development.",dotnetdeveloper|.NetDeveloper|dotnetdeveloperC#|Dotnet.Net.Net|Dotnet|AspDotnet|ASP.NET|
HR Recruiter,Career Net Solutions,Delhi,1-6years,Not Specified,"Should have knowledge on full recruitment life cycle including job posting, sourcing, screening, interviewing, salary negotiating, documenting, induction and on-boarding activities. |   |",HrRecruiter|HrExecutive|HrAssistant|HrCoordinator|Recruitment|RecruitmentConsultant|Staffing|Hiring|TalentAcquisition|Hr|RecruitmentExecutive|
Flutter Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"- 2-5 years of experience on developing native applications on iOS, Android |     |    - 2+ years of experience in building native apps using either of React Native, Ionic, Cordova |     |    - Minimum of 1+yrs of experience in developing in Flutter.",flutterdeveloper|flutterandroiddeveloper|flutteriosdeveloper|
Collections Manager,Career Net Solutions,Gurgaon/Gurugram,8-14years,800000 - 1100000 INR,"Experience in B2B Sales, Collections, Credit Control and Operations.  |  Should have led teams (Min 10-15 Members) for at least 2 years. |  Interested candidates should be comfortable with traveling and field role.",b2bmanager|b2bcollections|collectionsmanager|arcollections|Accountreceiveable|
Business Development Executive,Career Net Solutions,Delhi,1-6years,Not Specified,"Business Development Executives / Medical Representatives Ambitious, livewire youth looking for a fast paced, performance oriented growth in Pharmaceutical marketing.",BusinessDevelopmentExecutive|Sales|Marketing|marketinexecutive|Sales&Marketing|BusinessDevelopment|Selling|
Flutter Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"- 2-5 years of experience on developing native applications on iOS, Android |    |   - 2+ years of experience in building native apps using either of React Native, Ionic, Cordova |    |   - Minimum of 1+yrs of experience in developing in Flutter.",flutterdeveloper|flutterandroiddeveloper|flutteriosdeveloper|
Web Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"Tailoring user experience |   Bringing a designers concept to life with HTML, CSS, and JavaScript/JQuery |   Production, modification, and maintenance of websites and web application user interfaces |   Experience with responsive and adaptive design.",WebDeveloper|HTMLDeveloper|Html5|CSS|Javascript|Xml|AJAX|
Sales executive on commission basis,Career Net Solutions,Delhi,0-5years,Not Specified,Contact companies potentially requiring candidates for their companies. |  Launch follow-up phone call campaigns to introduce our company to prospects |  This is a commission-based position .  |  No monthly base salary.,Marketing|businessdevelopment|LeadGeneration|ClientServicing|ClientAcquisition|MarketDevelopment|Sales|VendorManagement|salesexecutive|
Ecommerce Executive,Career Net Solutions,Delhi,1-5years,Not Specified,Will be responsible for managing & driving the online business on Amazon marketplace. |   Will be responsible for uploading new Listings on Amazon on weekly basis and ensuring catalogue hygiene of the uploaded catalogue.,Ecommerce|E-Commerce|Online|Ecom|B2C|ecommercedevelopment|socialmedia|onlinelisting|onlinesales|OnlineMarketing|InternetSales|OnlineSelling|DigitalSales|ecommerceexecutive|ecommerceofficer|
Sales Executive - Medical Pharma,Career Net Solutions,Delhi,1-6years,Not Specified,"To engage in COLD CALLING & PROMOTION of Products assigned with decision makers & users (Doctors, Operation Theatre (OT) Staff (Head Nurses & Brothers) in Hospitals, Private Clinics & Medical Colleges. |    Travel to the assigned areas",Sales|SalesExecutives|Marketing|Relationshipmanager|Selling|BD|Insurance|DirectSales|AccountManager|BusinessDevelopmentExecutive|
Work from home (Seo internship),Career Net Solutions,Delhi,0-5years,Not Specified,"The SEO Intern will be handling web and social media tasks. The intern will have the opportunity to develop a solid understanding of online marketing, content creation and off-site promotion. |",seointernship|LeadGeneration|Sem|InternetMarketing|OnlineMarketing|SearchEngine|seo|SearchEngineOptimization|LinkBuilder|Smo|
Dot Net Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"If you are a Java/PHP/.net developer & have good understanding of web technologies, and want to switch to Ruby on Rails or iOS or Android development.",dotnetdeveloper|.NetDeveloper|dotnetdeveloperC#|Dotnet.Net.Net|Dotnet|AspDotnet|ASP.NET|
SEO Intern required,Career Net Solutions,Delhi,1-6years,Not Specified,"The SEO Intern will assist the Marketing Manager in daily design, web and social media tasks. The intern will have the opportunity to develop a solid understanding of online marketing, content creation and off-site promotion. |    |   Its Unpaid Internship",SeniorSEOExecutive|seointern|seointernship|Internships|Internships|seo|SEOAssociate|SeoContentWriters|SEOTools|SeoExecutive|SeoAnalysis|SeoExecutive|
HR Manager,Career Net Solutions,Faridabad|Palwal,5-10years,Not Specified,Purpose of the Position: – The purpose of this position is to handle all the issues and daily activities of the department. To take initiative and close any requirement / indent generated by user department in time bound manner. It also requires adhe,HrManager|HrExecutive|RecruitmentHead|StaffingManager|TalentAcquisition|RecruitmentManager|ResourceManager|
Store Manager for Electronics Gadgets/Camera & Accessories in Hyderabad,HR Net Consultants Private Limited,Hyderabad/Secunderabad,3-10years,Not Specified,We are looking for Store Manager for an Electronic Gadgets/Camera & its accessories in Hyderabad.,StoreManager|Retailstore|Storekeeper|StoreOperations|StoreOfficer|StoreSupervisor|RetailManager|
Dot Net Developer,Career Net Solutions,Delhi,1-6years,Not Specified,"Experience: 6 Mont + |  Location- Tilak Nagar, New Delhi  |  Salary: Depending on experience and skills  |  Urgent opening for Dot Net Developer having 1+ years of experience.  |  Job Description - Excellent Object Oriented Programming Skills in C#. - Hands-on",DotNetDeveloper|.NetDeveloper|Asp.netDeveloper|dotnetdeveloper|.NetDeveloper|.NETFramework|ASPFramework|VBFramework|.NET|DotNetDevelopment|Dotnet|DotNet|VB.NET|DotNetFramework|C++|ASP.NET|
