jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
System Admin & Network Engineer,Comfyi Solution,Chennai,0-7years,Not Specified,To work as a hardware & network engineer to troubleshoot in real time desktop. Walk in immediately to attend the interview to the below mentioned address.,"Hardware|""systemadmin""|O/S|Tcp/ipProtocol|WindowsOperatingSystem|""technicalsupport""|NetworkingEngineer|"
job opportunity | End client: IBM,Outworks Solutions Private Limited,Pune,3-5years,Not Specified,"Design and deploy company LANs, WANs, and wireless networks, including servers, routers, firewalls, load balancers hubs, switches, UPSs, and other hardware. |  Configure, tests, and maintains LAN/WAN equipment and related services.",NetworkEngineer|NetworkAdministrator|NetworkAdmin|Networking|Networksupport|NetworkAdmin|
Wanted System admin/network admin,Diraa HR Services,Coimbatore,0-5years,110000 - 440000 INR,Involves ensuring that the peripheral systems are in proper working condition. IT system administrators have to quickly arrange for replacement or resolve the issues in case of any hardware failure. They have to System Administrator job description,SystemAdministrator|SystemAdmin|NetworkAdmin|NetworkingAdministrator|Networking|
Network Engineer/ Network/Network Active Manger/Gurgaon/Short notice period joiner,3 Minds ESolutions Private Limited,Gurgaon/Gurugram,5-13years,Not Specified,Role:Network Engineer |  Location: Gurgaon |  Position:Fulltime |  Exp 6+Years |  Short notice period |   |  · 5 to 7 years of Experience in physical layer/Frame-relay/ATM/IP. |  · Intermediate Networking skills  |  · 2-3 years of Experience on Cisco Switches family. |   |,sdwan|NetworkEngineer|NetworkAdministrator|Networking|NetworkAdmin|Networking|Cisco|Lan|Juniper|Firewall|
Network Engineer/Data Center Network Engineer,3 Minds ESolutions Private Limited,Chennai,5-15years,Not Specified,URGENT HIRING FOR NETWORK ENGINEER - DATA CENTER FOR CHENNAI LOCATION.,NetworkingManager|NetworkEngineer|NetworkAdministrator|NetworkAdmin|DataCenterManager|NetworkingAdministrator|
Network infrastructure - system Admin,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,"Network and System Administrator with skills to build and run large scale, distributed, reliable and resilient 24/7 core network infrastructure services",NetworkInfrastructure|Networking|Tcp|IpRouting|
"Network Engineer,Hiring for Abroad",Cloud Visa Immigration LLP,Australia|Canada,2-6years,1600000 - 5000000 INR,Ensures smooth transmission of data by configuring networks that fulfill the objective of the organization.,Hardwarenetworkingmale|NetworkEngineer|NetworkAdministrator|NetworkAdmin|Networking|Systemadministrator|Networksupport|Networksecurity|
Network Administrator,Esther Jeevitha (Proprietor of Morgan Techno India),Indore,1-6years,250000 - 450000 INR,Requirement for the post of Network Administrator.,SysAdmin|Administration|NetworkAdministrator|SystemAdministrator|NetworkAdmin|SystemEngineer|WindowsAdmin|
Opportunities for Network Administrator in Australia,A V Immigration And Careers Consultancy Private Limited,Australia|Canada,9-14years,1600000 - 3400000 INR,"Computer Netwrok Professionals research, analyse and recommend strategies for network architecture and development, implement, manage, maintain and configure network hardware and software, and monitor and optimise performance, and troubleshoot.",Installation|NetworkOperations|softwaredatabaseapplications|NetworkAdministrator|NetworkAdmin|Configuration|Servers|Routers|Troubleshoot|networkinfrastructure|NetworkProgramming|
Opportunities for Network Administrator in Australia,A V Immigration And Careers Consultancy Private Limited,Australia|Canada,3-8years,1600000 - 3400000 INR,"Computer Netwrok Professionals research, analyse and recommend strategies for network architecture and development, implement, manage, maintain and configure network hardware and software, and monitor and optimise performance, and troubleshoot.",Installation|NetworkOperations|softwaredatabaseapplications|NetworkAdministrator|NetworkAdmin|Configuration|Servers|Routers|Troubleshoot|networkinfrastructure|NetworkProgramming|
